dataset;session;speaker;speech_turn
song_exploder_transcripts;khruangbin;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“So We Won’t Forget” by KHRUANGBIN)
song_exploder_transcripts;khruangbin;Hrishikesh;Khruangbin is a band from Houston, Texas, who ﬁrst formed in 2010. NME called them the “low key superstars” of psychedelic music. They’ve released three albums. The most recent is called Mordechai, it came out in June 2020. In the past, most of Khruangbin’s songs have been instrumental, or if they did have vocals, they’d be minimal. Their new album is diﬀerent. It features vocals and lyrics prominently, and in this episode, the three of them explain their philosophy on vocals, and their process of writing lyrics. I spoke to each of them to get their perspective on how they made the song “So We Won’t Forget.” (“So We Won’t Forget” by KHRUANGBIN)
song_exploder_transcripts;khruangbin;Laura;This is Laura Lee.
song_exploder_transcripts;khruangbin;Mark;My name is Mark Speer and I play guitar.
song_exploder_transcripts;khruangbin;DJ;My name is DJ and I play drums for Khruangbin. (Music fades out)
song_exploder_transcripts;khruangbin;Laura;We wrote everything musically, you know, in terms of guitar, bass, and drums, we wrote at the farm in Burton, Texas. We've always recorded there since the beginning. For us it's the perfect place to write because there's minimal distractions out there. It's very quiet, no wiﬁ on the property, wide open Texas landscapes, cows, lots of grass, trees, a really good place to center yourself. It's where the vast majority of all of our songs were written. But I don't do my best work in a sort of like jammy situation. I like my own time. I like to be in my own head with each song.
song_exploder_transcripts;khruangbin;Laura;I was listening to this song called “Khushi” by this Pakistani singer, Nazia Hassan.
song_exploder_transcripts;khruangbin;Laura;It was really funky on the bottom but the vocals were really sweeping and pretty and like light. (“Khushi” by NAZIA HASSAN) (“Khushi” by NAZIA HASSAN) (“Khushi” by NAZIA HASSAN)
song_exploder_transcripts;khruangbin;Laura;I wanted to have a song that made me feel the way that song did. (Music fades out)
song_exploder_transcripts;khruangbin;Laura;So the song started with bass. And we kind of hand stuﬀ oﬀ back and forth. And so everybody in the band has their own time with each song. I went in just kind of like, “Okay, this is what she's doing. This is where I want to be. This is the space that I need to take up to support that bassline.”
song_exploder_transcripts;khruangbin;DJ;And I'd tried this thing with ghost notes with some drags on the snare. It kind of create a feel. Once you learn something, it sounds diﬀerent than when you're trying to ﬁgure it out. You know, that searchy sound, that part of the process is actually what we capture when we record the instrumental part in the barn. You want to sound unsure, you want the raw like, “this is just me coming up with this in the moment” sound. (Bass)
song_exploder_transcripts;khruangbin;DJ;(Drums join) (Drums)
song_exploder_transcripts;khruangbin;DJ;(Drums and bass)
song_exploder_transcripts;khruangbin;Mark;I remember plugging the guitar in and just trying diﬀerent stuﬀ because like the bass and drums already sounded really good to me but I also had no idea melodically what I wanted to do. So I just kind of started oﬀ playing this kind of ﬁngerstyle guitar part, directly inspired by Western Central African guitar players. (Electric guitar joins drums and bass)
song_exploder_transcripts;khruangbin;Mark;I love that kind of polyrhythmic, polyphonic music. I think it's some of the most beautiful in the world, I kind of wanted to do something like that. (Electric guitar along with drums and bass)
song_exploder_transcripts;khruangbin;Mark;So I wanted to like have that sort of melancholy guitar, melody on top of this like disco, minimal vibe. That's how it started. (Barn recording ends, “Very cool dudes” heard in the distance)
song_exploder_transcripts;khruangbin;Laura;There's a really nice balance between us of novice and expert. Mark and DJ are both very experienced players. They've been playing professionally for a long time and a lot of that professional time was in church. And the guys that play gospel, those guys have chops. When the three of us ﬁrst started hanging out, Laura wasn't even playing bass yet, which is so weird even when I think about it. I used to be really insecure about not being as good as they were, technically, but I've learned that my naiveté is actually a strength. I'm always surprised at what Laura comes up with because it's just a diﬀerent approach to melody and rhythms. (Electric guitar, bass and drums) We'll go in and we'll learn a song. And then our engineer, Steve, hits record. Usually, the magic is around take two or take three. The bass, guitar, and drums are all recorded live in the barn for this whole album because that's how you catch the feeling or the groove. There's something that you miss when you're tracking things individually. And I totally understand that if you track a guitar in an isolated place that you're going to get a cleaner, more editable thing. But then, there's a sort of magic that's lost, and for my own creation, I just, I want as much of the magic as I can get.
