dataset;session;speaker;speech_turn
song_exploder_transcripts;phoebe-bridgers;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Scott Street” by PHOEBE BRIDGERS)
song_exploder_transcripts;phoebe-bridgers;Hrishikesh;This episode contains explicit language.
song_exploder_transcripts;phoebe-bridgers;Thao;Phoebe Bridgers is a singer-songwriter from Los Angeles. In September 2017, she released her debut album, Stranger in the Alps. One of the breakout songs from that album was “Scott Street,” a song Phoebe co-wrote with her drummer, Marshall Vore. In this episode, Phoebe and Marshall break down how the song went from an unﬁnished cassette recording, to an acoustic demo, to the ﬁnished album version. (“Scott Street” by PHOEBE BRIDGERS)
song_exploder_transcripts;phoebe-bridgers;Phoebe;I’m Phoebe Bridgers.
song_exploder_transcripts;phoebe-bridgers;Marshall;This is Marshall Vore, drummer of Phoebe Bridgers. (Music fades out)
song_exploder_transcripts;phoebe-bridgers;Phoebe;We met in like late 2014, became fast friends, hung out every day. We started talking about music.
song_exploder_transcripts;phoebe-bridgers;Marshall;I remember we were just hanging out a lot, and then you would just be having an idea or something and you’d be like, “What do you think of this?” Or I would do the same thing like, “I have this idea, what do you think of that?” And it seemed like some songs ended up coming out of that, together.
song_exploder_transcripts;phoebe-bridgers;Phoebe;And so we started writing a lot of songs and, this one, it’s an idea that Marshall had.
song_exploder_transcripts;phoebe-bridgers;Marshall;I like had a guitar and was sitting on Phoebe’s bed playing the chords. (Cassette demo guitar chords)
song_exploder_transcripts;phoebe-bridgers;Marshall;I had just got a cassette machine and I thought it was cool, so there’s a cassette demo. (Cassette demo vocals along with guitar: “Walking Scott Street, feeling like a stranger / Open heart, open container”) (Cassette demo vocals guitar)
song_exploder_transcripts;phoebe-bridgers;Marshall;I just kind of had these lyrics from my phone, which were the ﬁrst opening lyrics of the song. I ﬁrst started writing those lyrics in 2014. I was walking from my apartment to my friend’s house, and I was just singing what was happening. I grabbed my mail [laughter] on the way out. And in between us was an Arco gas station where we would buy stuﬀ. (Cassette demo vocals along with guitar: “Got a stack of mail and a tall can / It’s a shower beer, it’s a payment plan”) (Cassette demo vocals guitar)
song_exploder_transcripts;phoebe-bridgers;Marshall;And that’s pretty much all that there was, just a few lyrics and then a little tag that is, “Do you feel ashamed?” (Cassette demo vocals along with guitar: “Do you feel ashamed?”) (Cassette demo vocals guitar)
song_exploder_transcripts;phoebe-bridgers;Phoebe;And I like fell in love with it, but it was really only like half a song.
song_exploder_transcripts;phoebe-bridgers;Marshall;It was like something that I would play around the house what little bit was there, and then it wasn’t until much later that Phoebe sort of threw a lasso around it and made it into something usable. You grabbed a guitar and we just hashed the rest of it out. (Second demo acoustic guitar)
song_exploder_transcripts;phoebe-bridgers;Phoebe;I like made up completely diﬀerent chords that I thought were cooler. (Second demo vocals along with acoustic guitar: “Walking Scott Street, feeling like a stranger / Open heart, open container”) (Second demo acoustic guitar)
song_exploder_transcripts;phoebe-bridgers;Phoebe;And then that tag, the “Do you feel ashamed” lyric, you were kind of thinking of that as like a pre-chorus and then it would like open up into some big chorus. But I told him not to. I really like songs where it makes the listener kind of ﬁll in the blanks. And I just felt like some big chorus would italicize the subtext in a way that I didn’t like. And then, he was like, “Okay, okay, but just like hear me out,” [laughter] and played it again. It was like, “Do you feel ashamed when you hear my name,” and then he goes, (Second demo acoustic guitar ends)
song_exploder_transcripts;phoebe-bridgers;Marshall;“I hope you, doooooo!” [Laughter] So ridiculous. And that was exactly what I meant. Any commentary on what was just said felt like completely unnecessary and actually kind of took away from the point to me. So I like kind of stopped you from like over-writing it. Deﬁnitely. There was a lot of like moments [laughter] that were not very understated or pretty. But the “Do you feel ashamed” lyric comes from a place when I had this like really crazy time in my life. I was 25, I played a show and I was standing by the curb waiting for the van to pick me up. And then a ﬁght broke out, and my leg was broken. Basically, these guys tripped over me and they snapped my leg in half and everybody ran away. So there was like an entire year where I didn’t walk or play music or do anything. And I just started dating someone. (Second demo acoustic guitar)
