dataset;session;speaker;speech_turn
song_exploder_transcripts;jamila-woods;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“BALDWIN” by JAMILA WOODS)
song_exploder_transcripts;jamila-woods;Thao;Jamila Woods is a singer, songwriter, and poet from Chicago. She’s released two albums, and she’s collaborated with artists like Chance the Rapper, Noname, and Macklemore. In May 2019, she put out her second album, LEGACY! LEGACY!, to critical acclaim. NME called it one of the albums of the year, Rolling Stone called it a “revelation,” and Pitchfork named it “Best New Music.” In this episode, Jamila and her producer Slot-A break down a song from that album, called “Baldwin,” named after the late author and civil rights activist James Baldwin. (“BALDWIN” by JAMILA WOODS)
song_exploder_transcripts;jamila-woods;Jamila;My name is Jamila Woods, and I'm a singer and musician poet. (Music fades out)
song_exploder_transcripts;jamila-woods;Jamila;(Synth) This song, it was inspired by James Baldwin's Letter to My Nephew. I was working as a teaching artist at a nonproﬁt, Young Chicago Authors, teaching poetry and I often would turn to reading James Baldwin. The whole essay is written to his nephew. And he's kind of giving him perspective and advice about the world, like navigating the world as a black man. (“A Letter to My Nephew” by JAMES BALDWIN: “There is no reason for you to try to become like white men and there is no basis whatsoever for their impertinent assumption that they must accept you. The really terrible thing, old buddy, is that you must accept them, and I mean that very seriously. You must accept them and accept them with love, for these innocent people have no other hope. They are in eﬀect trapped in a history which they do not understand and until they understand it, they cannot be released from it. They have had to believe for many years, and for innumerable reasons, that black men are inferior to white men.”)
song_exploder_transcripts;jamila-woods;Jamila;And part of it, he says, is like, “It's going to cost us more to meet injustice or oppression or prejudice with that same energy of hatred.” And so, kind of tasking us to meet it with love and compassion instead, which I thought was very beautiful, but also very diﬃcult to kind of put into practice. (Synth ends)
song_exploder_transcripts;jamila-woods;Jamila;(Sample)
song_exploder_transcripts;jamila-woods;Jamila;So for this song, I started out by playing around in GarageBand. I'm not a producer, but I really want to hone those skills. And so I was trying to make more beats for myself. I started with that sample. It was this SWV song that I really liked, called “I’m So Into You.” (“I’m So Into You” by SWV)
song_exploder_transcripts;jamila-woods;Jamila;SWV is a 90s R&B group. I just really loved the beat of that song and wanted to ﬂip it into something diﬀerent. So I just ripped the audio from YouTube and looped that part and then started writing over that. (Demo vocals along with sample: “All my friends / Say I should love you anyway / My friend James / Says I should love you anyway / And that’s okay / Ooo / Baby making it hard for me”)
song_exploder_transcripts;jamila-woods;Jamila;In that ﬁrst version of the song, it was more like, being frustrated at the fact that so many white people around me would be like, “Oh, well, I have a black friend, so I’m good.” Or, you know, “I listen to rap music, so that's all I have to do to kind of show that I'm good with black people.” (Demo vocals along with sample: “You could put my face in a magazine / You can sell my shade at a Walgreens / That don’t mean, that don’t mean you’re good”)
song_exploder_transcripts;jamila-woods;Jamila;You know, like that idea of being “good.” These ways in which it’s like, “Oh, look, CVS has a whole aisle of hair products now.” Like I mean, cool, but [laughter] that doesn't mean that corporation is supporting black lives in a tangible way. So, it was kind of like this macro and micro tongue-in-cheek critique of what does it really mean to be for black people. (Sample fades)
