dataset;session;speaker;speech_turn
song_exploder_transcripts;eric-nam;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Love Die Young” by ERIC NAM)
song_exploder_transcripts;eric-nam;Hrishikesh;Eric Nam is a Korean-American pop singer from Atlanta. He currently lives in Seoul, South Korea, where he’s found fame as a K-pop star. He was named “2016 Man of the Year” by GQ Korea, and Forbes named him one of their “30 Under 30” for Asia. But Eric’s success in Korea has been complicated a little bit by what he wants to do with his career versus what he’s felt he was allowed to do. As his career as an artist has evolved, he’s gotten closer and closer to making the music he wants to make. In November 2019, Eric released Before We Begin, his ﬁrst album entirely in English. In this episode, Eric Nam and producer Rabitt break down a song from that album called “Love Die Young.” (“Love Die Young” by ERIC NAM)
song_exploder_transcripts;eric-nam;Eric;My name’s Eric Nam. (Music fades out)
song_exploder_transcripts;eric-nam;Eric;I've been in Korea for about eight years now. And it's kind of like an accident that happened, and I ended up becoming a K-pop singer. And [laughter] I think it took everybody by surprise because originally, I was supposed to be a strategy consultant at Deloitte. And life happens, and I ended up on a TV show similar to X Factor in Korea, got to the top ﬁve, signed a record deal, quit my job, and then I started putting out albums. My stuﬀ is very pop Western inﬂuence and Western-driven. And in Korea, there weren't a lot of acts that were really pushing that sound. Since the onset of my career, you know, I walk into the label and they're like, “What do you want to do?” I was like, “I want to do like Bruno Mars, Maroon 5, right in the center of the road top 40 pop.” And they literally looked at me like, “What is that? Who is that?” They were baﬄed because they were like, “Nobody's doing that. Why would we do that?” They were like, “You're going to just do Korean-Korean music.” And being so hungry to be a part of the industry and wanting to put out an album, I think I made compromises early so I could say, “We'll try it the Korean way.” (“Love Song” by ERIC NAM)
song_exploder_transcripts;eric-nam;Eric;“I’ll do what you want.” (“Love Song” by ERIC NAM)
song_exploder_transcripts;eric-nam;Eric;You know, the American system is like, “We see your color, we see your talent, and like we want you to be you.” But in Korea, a lot of it is like, “You're a blank slate, and whatever we make you into, we want you to be that.” And a big part of the struggle that I had in Korea was like my pronunciation isn’t perfect. And so they would say, “We don't understand what you're saying because your pronunciation isn't great. You can't emote the way we need you to emote.” So they would also say, “You sound too white. You sound like butter.” They always say butter, as in like, to be the most American thing because we always cook everything in butter. So like, “Then why are you making me do this type of music? We should be doing stuﬀ that's more authentic to my upbringing and to what I feel comfortable in.” It was like at a point where I was like, “These songs just aren't cutting it for me. Like I don't feel comfortable, and it's just not true to who I am.” But it took years for us to get to that point. And so I think it's just a matter of time for people to get used to, “Oh, Eric Nam is now singing fully in English now.” This song came on the back half of a songwriting trip I was doing. I've been lucky enough to have time to come to LA and to write with songwriters. And I just kind of have sessions set up for me throughout the week. Sometimes I’ll do 2 a day, and I'm just in and out trying to meet new people, write, and try to see who I really connect with from a songwriting perspective. In this case, the main producer on this is Rabitt. I met Eric three years ago. My girlfriend actually introduced us. She set that session up. She's in A&R, and she just said there's this really cool Korean artist who she believes is going to cross over to America, and she thought that it was a really cool project to be a part of. Well when we ﬁrst started doing “Love Die Young,” I think this was our third or fourth song. So we've already kind of known each other for a little bit, and we just kind of vibe out, see what he kind of wants to talk about that day. The only thing that I was feeling was exhaustion and burnout, and a lot of stress. I had just ﬁnished tour in Europe, and I was just exhausted. I walked in and I said, “I just want to write a sad ballad, and I want it to be piano-heavy and just make people want to cry or like feel like they got punched in the face with emotions.”
song_exploder_transcripts;eric-nam;Rabitt;So we started on the piano. I had so much, I think, pent up inside of me of just feeling burdened by all the things that I have to do and that I had to do. And that really hit me at the end of that tour because I was like, “What would happen if I stop working? What would happen if I just like fell over and like passed out because I was just exhausted and like I couldn't work forever?”
song_exploder_transcripts;eric-nam;Eric;He invited Charlie Snyder and Jackie Young into the session as well.
song_exploder_transcripts;eric-nam;Rabitt;Charlie and Jackie are two songwriters that I've worked with previously. We started putting down words, and diﬀerent lines, and trying to play with what ﬁts and what doesn't and like, “Does this really speak to what the message wants to be?” And instead of it being very like “I'm burned out,” we wanted it to make it into like a love song inspired from a place of like one or the other feeling exhausted from the relationship. And so that's how we got the ﬁrst line of the song. (First verse vocals along with piano: “What happens when it’s over / When we’ve breathed our last breath / And we’ve loved each other to death / Can you tell me what happens?”)
song_exploder_transcripts;eric-nam;Eric;So, in this sense of the song, it's about a relationship. But when I take a step back and I look into what it really means to me, it's about passion. It's about inspiration, and your career, and life. (Piano)
song_exploder_transcripts;eric-nam;Eric;(Piano ends)
song_exploder_transcripts;eric-nam;Eric;(Piano ends)
song_exploder_transcripts;eric-nam;Eric;In Korean, there's this word, it’s called “Han,” and it’s like this deep yearning and like, it has to do with passion, it has to do with, for me, the way I think of it, it's an intensity across diﬀerent emotions. And there is like a lot of heightened drama in Korean ballads. So, in the pre-chorus, the ﬁrst line is, “Flowers in your hair now on our grave, and a little bit of pressure is all it takes. Should’ve known we'd shatter, that we'd break.” And it's that type of rawness and that intensity that to me feels kind of like Han. (Pre-chorus vocals along with piano: “Flowers in your hair now on our grave / A little bit of pressure is all it takes / Should’ve known we'd shatter that we'd break, break / Oh”) I sang that melody with like the ﬂowers really falling and the melody falling together, it kind of just made sense, and everybody was like, “That's it.” And with the guitar coming in there, it gives us like a steadying factor as like the melody itself is like this falling down cascading kind of thing. (Pre-chorus vocals along with acoustic guitar: “Maybe I’m the one that we should blame / For never thinking we’d end up this way / I don’t need answers I need you to stay, stay”) This song starts out seeming like it's going to be just a ballad, like a really sad ballad, but then it picks up after the ﬁrst hook, and we have like a bass and some percussive instruments that really drive it forward. (Drum beat along with bass and percussion)
song_exploder_transcripts;eric-nam;Rabitt;I always ﬁnd ballads tricky, it's kind of hard to make ballads sound diﬀerent. So I wanted to add some rhythm to it and I thought it’d be cool to have like an organic percussive element. And I love the sound of muted piano. I have the board of the piano taken out because it looks really cool, but it also records better like that. So I put my hand on the strings of the piano. And you just kind of mute it and then you play a note. And I think I recorded that on my phone. (Phone recording of muted piano) (Phone recording of muted piano)
song_exploder_transcripts;eric-nam;Eric;It’s like this muted, weird, clunky piano sound. I was like, “How is this going to turn into a song?”
song_exploder_transcripts;eric-nam;Eric;But he has a way of just kind of taking that. He threw it into Ableton.
