dataset;session;speaker;speech_turn
song_exploder_transcripts;porter-robinson;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Get Your Wish” by PORTER ROBINSON)
song_exploder_transcripts;porter-robinson;Hrishikesh;Porter Robinson is a Grammy-nominated electronic artist and DJ from North Carolina. In 2014, his ﬁrst album hit #1 on Billboard’s Dance chart, he was named MTVU’s Artist of the Year, and one of the top DJs in the world - but then, he got stuck. He didn’t release his second album for seven years, until April 2021. In this episode, he talks about what he was grappling with in those intervening years, and how all of that became part of his song “Get Your Wish.”
song_exploder_transcripts;porter-robinson;Porter;My name is Porter Robinson. (Music fades out)
song_exploder_transcripts;porter-robinson;Porter;I ﬁrst started touring internationally at the ages of 18 and 19. I was just like a nerdy kid in high school and I had been making beats on the computer purely for fun with no expectation of success ever. But Friday afternoons, I would get out of school and I would go get on a plane, and I would do a show that Friday night. I’d do a show Saturday night and ﬂy home Sunday. And people were writing about what I was doing, like the ﬁrst whiﬀs of success that, you know, the adults are proud of you. I would be lying if I said it didn’t shape my identity in some serious ways. I really was addicted and I was really wrapped up in the kind of sense of self worth that I got from that. “Get Your Wish” was written around this time where I was basically saying like, I’m not sure that I want to be successful in music. I’m pretty sure that the attention that I’ve gotten so far has been bad for me. But I wanted to make music so badly. (Piano stem)
song_exploder_transcripts;porter-robinson;Porter;(Piano stem ends)
song_exploder_transcripts;porter-robinson;Porter;It’s a real place of comfort for me to just be touching an instrument because it’s so much easier for me to toy around on the piano than it is for me to have a conversation with somebody. So just a ton of my time at home is spent sitting in front of the piano and it generates a lot of ideas in the end for me. I put on this metronome app on my phone.
song_exploder_transcripts;porter-robinson;Porter;And I placed my phone down on my piano.
song_exploder_transcripts;porter-robinson;Porter;And I just played this incredibly syncopated thing. (Metronome) (Phone placed on piano) (Piano riﬀ) (Piano riﬀ fades out)
song_exploder_transcripts;porter-robinson;Porter;That was on the 15th of October 2018.
song_exploder_transcripts;porter-robinson;Porter;The piano where I record almost all of my demos is my mom’s childhood piano that she had growing up and it’s the ﬁrst piano I ever saw in my entire life. The way that I placed my phone down onto the piano, it created this (Porter mimics a short percussive beat with his mouth) (Sound of phone placed down on piano)
song_exploder_transcripts;porter-robinson;Porter;I have probably two thousand voice memos that begin almost identically of me putting my iPhone into this little slot on this piano, so like I hear a similar sound to that all the time. But that sound just sat perfectly over the metronome. (Sound of phone placed down on piano looped over the metronome)
