dataset;session;speaker;speech_turn
song_exploder_transcripts;sharon-van-etten;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Seventeen” by SHARON VAN ETTEN)
song_exploder_transcripts;sharon-van-etten;Thao;This episode contains explicit language. Sharon Van Etten is a singer and songwriter who’s put out ﬁve albums. She’s also an actress - she’s in The OA and Twin Peaks. Her most recent album, Remind Me Tomorrow, came out in January 2019. In this episode, Sharon breaks down a single from that album called “Seventeen.” She shares the original demo she made with the song’s co-writer Kate Davis, and we’ll hear from producer John Congleton, who helped craft Sharon’s new, more electronic sound. We’ve also got a new segment that we’re introducing for the ﬁrst time called This is Instrumental. So stick around after the full song to hear the conversation I had with Sharon about her current favorite instrument. But ﬁrst, here is Sharon Van Etten on how she made the song “Seventeen.” (“Seventeen” by SHARON VAN ETTEN)
song_exploder_transcripts;sharon-van-etten;Sharon;My name is Sharon Van Etten. (Music fades out)
song_exploder_transcripts;sharon-van-etten;Sharon;When I started writing “Seventeen,” I was spending more time in New York and exploring other sides of being a creative person. Meeting with other writers and trying to collaborate on songs together, which I've never done before because I'm a solo writer usually. I like to be by myself and make mistakes when no one's looking [laughter]. But as a writer you get stuck sometimes. And I felt like to challenge myself as an artist, I needed to work with other people to hear what they have to oﬀer me because I wanted to learn. I was just introduced to this songwriter Kate Davis, and I liked her energy a lot. And we were about to be set up on like a blind date, which those writing sessions can sometimes feel like. I get nervous going into those sessions so I usually have a tool to help get things started if you don't really know somebody. And I had this idea for a song. It came from walking around New York and walking by a place that I used to know as one thing and it turned into something else. And then you start thinking about your time and where you're from and how things have changed. And I just kind of spiraled into this idea. I sent her a very meandering version of a demo of this idea. And originally it was more of a country kind of dirge. (Demo)
song_exploder_transcripts;sharon-van-etten;Sharon;(Demo ends)
song_exploder_transcripts;sharon-van-etten;Sharon;I tracked all the instruments on the demo, very elementary style drums and guitar and bass. And I had the choruses kind of set, but I didn’t really know what I wanted to say quite yet. So when she came, we kind of walked through the song and talked about what it meant to her and what it meant to me and ﬁnished writing the lyrics together. And then instead of me singing the song, I had her perform the song for me. (Demo vocal: “Downtown hotspot used to be on this street / I used to be seventeen, I used to be seventeen”)
song_exploder_transcripts;sharon-van-etten;Sharon;So she sang the whole demo. Because I know how I perform, I know my range, I know where I play it safe. And I wanted to see if there was something in there I didn't hear before. When I ﬁrst started writing, it was more being bitter about the changes that I've seen, because I’ve been in New York for 15 years and seeing one of your favorite venues close or an old apartment being run down. Zebulon was a music venue in Williamsburg and the ﬁrst place when I moved there that I hung out at regularly. And you knew that you were going to run into one of your friends there. It was like a community center for the neighborhood, you know. It was a really special spot, and it's a restaurant now, and that is just the New York story. But Kate was arriving to the song with fresh eyes, and being the younger version of me in a weird way. She is bright eyed, bushy-tailed, and excited about life. And she's newer to New York than I am and hasn't seen the kind of changes that I have seen. And she sang this one part with such intensity that it changed what the song meant to me at that point. (Demo bridge: “I know what you’re gonna be / I know that you’re gonna be / You’ll crumble it up just to see / Afraid that you’ll be just like me”)
song_exploder_transcripts;sharon-van-etten;Sharon;I had tears in my eyes when she sang that part because I felt we were really connecting on the song together, but with very diﬀerent perspectives. The lyrics are: “I know what you’re gonna be / I know that you’re gonna be / You’ll crumble it up just to see / Afraid you’ll be just like me.” And she belted it for her life [laughter], you know. Like everything was at stake, it felt like. But she kind of did it with a smile on her face too, and that changed the way that I looked at those lines. You know, just an older sibling or your mother telling you all these things that you don't really believe yet. (Demo ends)
song_exploder_transcripts;sharon-van-etten;Sharon;So the demo was done, and it is one of those songs that has risen through all the other demos as being the song that's going to make the record. But I got really into synthesizers, and in context of all the other songs that I started writing, I didn't know how it was going to ﬁt in sonically. I got nervous the song wasn’t going to make the record because it was this country kind of song. But John Congleton, the producer, still saw something really special in it. What I really liked was the sentiment of the song. The idea like sort of talking to your former 17 year old self, and well it’s just a really well-written song. I’m John Congleton, record producer guy person. Congleton and I had talked in the past, and his name was brought up to me to work on the last record, but I wanted to be pretty hands on in the production and I wasn't ready to let go of the songs. But I was in a moment in my life where I just wanted to make things as simple as possible and have somebody make the decisions for me. I had already written the songs and if I was going to record the record myself, then I would have made this record sound like my last record, which I'm proud of it, but I wanted to do something diﬀerent.
song_exploder_transcripts;sharon-van-etten;John;We got coﬀee ourselves one morning and we talked a little bit about music and she described to me what she wanted the record to be.
song_exploder_transcripts;sharon-van-etten;Sharon;He asked me what I was looking for, and asked me what my inﬂuences were for this record. The references were Portishead, (“Wandering Star” by PORTISHEAD)
song_exploder_transcripts;sharon-van-etten;Sharon;Suicide, (“Ghost Rider” by SUICIDE)
song_exploder_transcripts;sharon-van-etten;Sharon;and Nick Cave. (“Jesus Alone” by NICK CAVE) (Music fades)
song_exploder_transcripts;sharon-van-etten;Sharon;I wanted these songs to feel really strong and anthemic and powerful. All with a kind of underlying goth darkness. A lot of drones, a lot of bass, a lot of dark sounds. And when I told him, his eyes just lit up. I feel like that would scare most people, especially knowing my music. But he got excited, and I felt like he almost took it as like a challenge like a dare or something.
song_exploder_transcripts;sharon-van-etten;John;The version that I’d heard as a demo was a pretty ﬂeshed out version. But done in much more of an Americana style. Like a song that Sharon would have done in her early days, but she did not want anything on the record to be something that sounded like Americana, or something maybe that she had done in her past. I knew that the ﬁrst thing to do would be to try to get it out of that feel. It was like a half-time kind of thing but I felt like it should have a double-time feel so I just told McKenzie who played drums on that song, and he started basically playing a solid, like bass drum pulse, just that “doo doo doo doo.” (Bass drum pulse)
song_exploder_transcripts;sharon-van-etten;John;And then he added the backbeat,
song_exploder_transcripts;sharon-van-etten;John;I pointed to him and I said “That’s great!” And we just started recording. And then I laid down a basic keyboard progression, just so people could see how the song was laid out. (Demo)
song_exploder_transcripts;sharon-van-etten;John;(Backbeat) (Drums)
song_exploder_transcripts;sharon-van-etten;John;(Drums end) (Keyboard)
song_exploder_transcripts;sharon-van-etten;John;And then I put a bunch of drones and atmospheres. (Drones along with atmospheres)
song_exploder_transcripts;sharon-van-etten;John;Basically, so when the band would play, they would be informed by this sort of like menacing, sinister vibe that Sharon had sort of described she wanted. (Drones along with atmospheres)
song_exploder_transcripts;sharon-van-etten;Sharon;I love all the wild, I mean, I don't know what to call them, but like all the squeals. (Squeal-like noises along with drones and atmospheres)
song_exploder_transcripts;sharon-van-etten;Sharon;Like it just feels like ﬁreworks in a wild way, musical ﬁreworks.
song_exploder_transcripts;sharon-van-etten;John;That is something I made with a guitar and a bunch of pitch pedals. Totally just messing around and I just grabbed a couple phrases that I liked, and just threw it in the song in random places. (Squeal-like noises along with drones and atmospheres)
song_exploder_transcripts;sharon-van-etten;Sharon;When I was getting notes back from the mixes, I remember someone said, “Can you turn the velociraptor down a little bit [laughter]?” I don't think I turned it down though [laughter]. (Squeal-like noises along with drones and atmospheres end) (Piano)
song_exploder_transcripts;sharon-van-etten;John;The piano was recorded as sort of a harmonic guide for the band, and it was something that we maybe weren’t even sure if we were going to use, but there’s a funny thing that happens whenever you have sort of all this alien texture surrounding something that’s very sort of pedestrian and almost sort of working class. It gives like a lot of gravitas to both sounds. (Piano along with squeal-like noises, drones and atmospheres)
song_exploder_transcripts;sharon-van-etten;Sharon;One of my favorite things about the process for this record was that I didn't want to bring my musicians in for a change. I had a great time making my last record, Are We There. But emotionally having all your friends involved and wanting to have your ideas heard, but then also the balancing of letting the musicians express themselves too. You're kind of walking a line when you're working with friends, it's intense. So he brought in all the musicians, and I walk in, and they're already playing the song. And they're just running it through, and it sounds amazing. (Full instrumental)
song_exploder_transcripts;sharon-van-etten;John;The vibe at that point was like, “I’m going to work with the band and get this thing sort of percolating so all she has to do is come in and react.”
song_exploder_transcripts;sharon-van-etten;Sharon;It was pretty mind-blowing, I know that I could have at any moment said, “I don't like this” or “let's try this,” but there was never a moment where I had to say that.
song_exploder_transcripts;sharon-van-etten;John;She trusted me so much, which as a producer is such a gift. So there’s a live performance of the drums and the cymbals really come in at very speciﬁc moments. (Cymbal hit along with drum beat) In rock music to me, a lot of times, cymbals are like curse words, and if you use curse words all the time, people just ignore you. But if you never curse, and out of nowhere you scream, “Fuck,” I assure you everyone will notice that you’ve done something, and to me that's the same way I like to think about cymbals. And halfway through the song there’s like a breakdown where the backbeat kind of goes away. (Drums)
song_exploder_transcripts;sharon-van-etten;John;(Bass drum)
song_exploder_transcripts;sharon-van-etten;John;And then there’s a second drum kit that comes in that’s an overdub. (Second drum kit along with bass drum)
song_exploder_transcripts;sharon-van-etten;John;That was done by Brian Reitzell. He’s hitting like a big concert bass drum and doing like these sort of extra rhythms on cymbals, so it kind of gives it this more frenetic, energetic, anxious feeling, coming out of that section. (Drums end)
song_exploder_transcripts;sharon-van-etten;Sharon;My touring singer, Heather Woods Broderick, she sings on the whole record. (Heather’s vocals: “Downtown hotspot halfway up the street / I used to be free, I used to be seventeen”)
song_exploder_transcripts;sharon-van-etten;Sharon;She has a really good ear and sometimes when we're singing together, we get lost because our voices compliment each other so well that we don't know who's singing which part. (Harmonized vocals: “Follow my shadow around your corner”)
