dataset;session;speaker;speech_turn
song_exploder_transcripts;lianne-la-havas;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Can’t Fight” by LIANNE LA HAVAS)
song_exploder_transcripts;lianne-la-havas;Hrishikesh;Lianne La Havas is a singer and songwriter from London. She’s been nominated for a Grammy and a Brit award, and in 2020, she released her third album. In this episode, she breaks down her song “Can’t Fight,” and traces its evolution - along with her own evolution - over several years.
song_exploder_transcripts;lianne-la-havas;Lianne;My name is Lianne La Havas. (Music fades out)
song_exploder_transcripts;lianne-la-havas;Lianne;The idea ﬁrst came into my head about seven or eight years ago. My boyfriend at the time was a bass player and he was showing me all these videos of diﬀerent bass players that he liked. And Victor Wooten came up, and this song he had called “Me & My Bass Guitar.” (“Me & My Bass Guitar” by VICTOR WOOTEN) It's just the most amazing use of the bass. So basically my boyfriend was teaching me a version of it that could be played on guitar. So I was having loads of fun like playing the guitar in a new way. Then yeah I remember just sitting alone, as I do in my house with a cup of tea and I just started playing a nice chord that I liked. But I had the muscle memory from learning this Victor Wooten piece. So then a sort of hammer-on, percussive riﬀ started happening with the chord that I liked. When I write a guitar part, it can't be anything that doesn't challenge me. Because I like feeling that challenge when I'm singing and playing. It kind of evokes writing in me. It makes me more likely to want to write to something.
song_exploder_transcripts;lianne-la-havas;Lianne;(Guitar riﬀ)
song_exploder_transcripts;lianne-la-havas;Lianne;(Guitar riﬀ fades out)
song_exploder_transcripts;lianne-la-havas;Lianne;I started playing guitar when I was 18 years old, so just over 13 years ago now. The only reason I didn't learn guitar as an actual child was because I didn't believe, from what I saw, that any girls were playing guitar. It was mostly boys that I saw playing guitar. So that made me not wanna do it, but I saw girls playing piano and it felt accessible to me, and so that became my hobby, and my outlet. And then it wasn't until 18 inspired by women, playing guitar, I just, I wanted to learn everything. And it just made me really love it so much. You know I remember when I ﬁgured out the ﬁrst rhythm that I learned, I just remember being so deeply satisﬁed in a new way. I said, if I can do that with this rhythm, it means I can do that with another rhythm and another one and another one. So as I started writing more and more songs, I used to try and look for a new rhythm for every song that I wrote, so that none of them would be the same. (Guitar riﬀ resumes)
song_exploder_transcripts;lianne-la-havas;Lianne;(Guitar riﬀ ends)
song_exploder_transcripts;lianne-la-havas;Lianne;I don't like waste, if there's a piece of guitar or melody or some words that haven't been used yet in something, then I've got this idea that I'm gonna use everything up before I make a new thing. But basically, it was just that one chord, just something I play when I’m practicing or when I’m warming up because it just feels nice under the ﬁngers. And it stayed like that for all these years [laughter] until I was in a session with Mura Masa and it was just ﬁguring out where we should start. Mura Masa, or Alex, is a wonderful chap. I discovered his music ﬁve years ago, and I was like, who the hell is that? That’s amazing. I love the sound. I love the rhythm. So I just asked to meet him. And I ended up doing a session with him. And there was like immediate trust. And when I played him that riﬀ, that's when he said, “Oh, we should record that. We should make something out of that.” So he took my guitar and then started overdubbing another part on top of my riﬀ. The bit that goes (Lianne sings the bassline)
song_exploder_transcripts;lianne-la-havas;Lianne;or something like that. (Bass along with the guitar riﬀ)
song_exploder_transcripts;lianne-la-havas;Lianne;I guess he found the bassline, and when he did that it signaled what the rest of the chords should be, and that's what made it a verse. It's as simple as that, because for seven years I had had that riﬀ not knowing what to do with it but as soon as you put a couple of bass notes on it, it turns it into another thing. So I was ﬁnally able to stand outside of it and work with it. (Bass along with guitar riﬀ end)
song_exploder_transcripts;lianne-la-havas;Lianne;The chords on the chorus stand out (Chorus guitar arpeggios)
song_exploder_transcripts;lianne-la-havas;Lianne;because one of them was a chord that I had just learnt. And this chord is my new favorite chord. It’s the ﬁrst chord of that.
song_exploder_transcripts;lianne-la-havas;Lianne;I don't know the name of it. This is my big, dirty secret that I'm hiding. I'm sorry, jazz police. (Chorus guitar arpeggios continue) (Chorus guitar arpeggios end)
song_exploder_transcripts;lianne-la-havas;Lianne;I’m sorry. Now I'm just thinking about all of the jazz people who were just shouting at their phones [laughter], telling me what this chord is. Please send me a tweet @LianneLaHavas. Thank you. (Chorus guitar arpeggios resume)
song_exploder_transcripts;lianne-la-havas;Lianne;It just feels like a huge relief, meeting someone like Alex. When you meet someone who gets you, it’s just a really big deal. I remember doing the chorus and the melody, we were even sort of accidentally both singing the same thing in the same place. (Vocal mumbles along with chorus guitar arpeggios and strings)
song_exploder_transcripts;lianne-la-havas;Lianne;I think the ﬁrst time I thought about lyrics was probably when we were humming to ourselves, getting the track into a good place to be sung on. But at the time of writing this song, I was going through - I'm just gonna say it - I was in a very toxic relationship. And it was very hard for me in a lot of ways. I just felt a bit powerless, in many respects. (Chorus guitar arpeggios)
song_exploder_transcripts;lianne-la-havas;Lianne;It took a lot of my energy. It took a lot of my conﬁdence away. And there was deﬁnitely a lot of uncertainty, whether we would stay together or whether we wouldn't, or basically I tried to leave many times and couldn't or for whatever reason, it was very hard and I would always go back, but this is the kind of beginning of noticing, “hang on. Something is terribly wrong here. Why do I feel so helpless? Why am I always anxious?” And I guess this song was like the last inkling of the positive, like when I was still looking at it through rose tinted lenses, when, to me, in my head, it wasn't as toxic as it actually was. I had some space basically when I had this session with Alex. Safe space, I guess, you know, I didn't have anything to prove to anyone. So the concept of “Can't ﬁght,” it was like, there's still a part of me that thinks of it fondly. And perhaps I should give it one more chance. And so that is basically where the premise came from for the rest of the lyric. (Chorus lead vocals: “I can’t ﬁght away this love / I knew that I should give you up / I tried to run but got my heart stuck / I can’t ﬁght away this love / Can’t ﬁght away this love”)
