dataset;session;speaker;speech_turn
song_exploder_transcripts;nakhane;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“New Brighton” by NAKHANE ft. ANOHNI)
song_exploder_transcripts;nakhane;Thao;This episode contains explicit language. Nakhane is a singer and songwriter from Johannesburg, South Africa. His ﬁrst album, Brave Confusion, won the South African Music Award for best alternative album in 2014. He starred in the award-winning ﬁlm “The Wound,” which was shortlisted for the Oscar for Best Foreign Film. Nakhane’s second album, You Will Not Die, was originally released in 2018, and then released in the US in 2019, as a deluxe version. The deluxe version includes this song, “New Brighton,” featuring guest vocals from Anohni. In this episode, as Nakhane breaks the song down, he talks about his complicated relationship with Christianity, why the song wasn’t on the original version of the album, and what it was like to work with one of his musical heroes. (“New Brighton” by NAKHANE ft. ANOHNI)
song_exploder_transcripts;nakhane;Nakhane;This is Nakhane. (Music fades out)
song_exploder_transcripts;nakhane;Nakhane;I actually wrote New Brighton on the 31st of December 2013. It was New Year's Eve, and my family had gone to my Aunt's house, and I decided to not celebrate New Year's Eve with them because I wanted to write music. Before then, I’d written my ﬁrst album on an acoustic guitar with just voice, recorded on a cell phone, because I didn’t have recording equipment. But for the ﬁrst time I had my own laptop, because I toured my ﬁrst album, and had a little bit of money. And I bought a laptop, an electric guitar, a hard drive and a microphone. I knew from the onset that I wanted to make something more electronic, and the ﬁrst demo was so experimental. (Demo)
song_exploder_transcripts;nakhane;Nakhane;It opens up with soundscapes and me recording myself dropping a plate on the ﬂoor. (Sound of plate hitting the ﬂoor)
song_exploder_transcripts;nakhane;Nakhane;But the song actually started with that guitar line. (Demo guitar line)
song_exploder_transcripts;nakhane;Nakhane;The lyrics for the song had been written that afternoon. My aunt and I had gone to buy ﬁsh [laughter] at the harbor, and she was playing hymns in the car, and I had this idea of writing a song with the words, “And all the seraphim and all the cherubim,” because one of the hymns had those words. And I remember just sitting there thinking, “Oh my God, this would be such a great motif in a song.” (Vocals along with synth pad: “And all the seraphim / And all the cherubim”)
song_exploder_transcripts;nakhane;Nakhane;The seraphim and the cherubim are angels. These are angels that are supposed to protect not only the people of God, but also to send messages. And then there was a question, “Did they avert their eyes to all that was going on?” And then you can’t ask that question without looking at Apartheid, without looking at slavery, without looking at the church as a tool for colonialism. (Vocal lines with echos along with pad: “And all the seraphim)
song_exploder_transcripts;nakhane;Nakhane;So these people that God has delegated to protect his people, the angels, “Where the fuck are you bros? When people were enslaved, where were you? Why aren’t you protecting us from your own people?” And that may sound like naive but I do think that it’s the ﬁrst question that you ask yourself when you start to question your beliefs. And I knew that the song was going to be about some walking away from something, which was the church. And so, for the ﬁrst time in my life as a songwriter, I wasn’t using biblical imagery as a belief system, because I was a Christian. But I became apostate and I left the church. And this was very painful for me. (Demo) (Demo fades out)
song_exploder_transcripts;nakhane;Nakhane;That December before I wrote the song, I said to my mom, it was the morning, and we were sitting in bed, you know, drinking coﬀee, and she was like, “Nakhane, I just need you to explain to me, are you an atheist now?” And I was like, “I don’t know!” I was trying to explain to her that I’m in an in-between state. And I said to her, “But mom, the dutch arrived in 1652 in South Africa, and they converted us to Christianity.” And I said to her, “We didn't start existing then, there’s thousands and thousands of years of history before all these people arrive. Are you saying to me that all our ancestors were going to hell up until these people arrived?” She said, “Well, no. And I don’t know why, I can’t give you a neat answer, but of course not.” And I said, “Then there must be more.” And that song, I guess, started there. (Demo guitar line)
