dataset;session;speaker;speech_turn
song_exploder_transcripts;tame-impala;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“It Might Be Time” by TAME IMPALA)
song_exploder_transcripts;tame-impala;Hrishikesh;This episode contains explicit language. Tame Impala is the project of Kevin Parker, a songwriter, multi-instrumentalist, and producer from Perth, Australia. Since putting his ﬁrst EP out in 2008, he’s been nominated for two Grammys and won eight of Australia’s ARIA Awards. Multiple Tame Impala albums have been named Best of the Year. And as a producer, he’s collaborated with Lady Gaga, Mark Ronson, The Weeknd, and more. The most recent Tame Impala album is The Slow Rush, which came out in February 2020. For this episode, Kevin chose to take apart the song, “It Might Be Time.” (“It Might Be Time” by TAME IMPALA)
song_exploder_transcripts;tame-impala;Kevin;My name is Kevin Parker, I’m from Tame Impala. (Music fades out)
song_exploder_transcripts;tame-impala;Kevin;I'd just started working on this album, and I had no idea what the album was gonna sound like. So I started working on this song, and it was deﬁnitely just a creative trying whatever phase, which I think is important. These songs were coming oﬀ the back of doing a bunch of collabs, so this is kind of when I was starting to get back into working by myself again, which was nice. I guess jamming with other people, there can be kind of an anxiety that it’s not going anywhere. One of the reasons I like to work alone is that it doesn't matter if you spend 12 hours and get nowhere. You just have to kind of separate yourself from the end result being perfect. (Keyboard)
song_exploder_transcripts;tame-impala;Kevin;I remember the ﬁrst kind of jam I had with myself. (Keyboard along with vocals)
song_exploder_transcripts;tame-impala;Kevin;I was just playing around with some chords on a keyboard. I kind of like it to be a sound I haven't used before, because I feel like it's a more kind of fertile ground for thinking of new things, you know having a new sound. Because if you use the same sound twice, I think you kind of gravitate to the same thing you've done before. And then I just kind of jumped on the drums, just recorded over the top of that. (Drum beat along with keyboard)
song_exploder_transcripts;tame-impala;Kevin;Just slowly trying to ﬁnd something. (Drum beat along with keyboard and vocals)
song_exploder_transcripts;tame-impala;Kevin;I like to think that things that I arrive at musically and sonically are serendipitous, happy accidents. And this album I wanted to allow that to happen even more. (Drum beat along with keyboard and vocals fade out)
song_exploder_transcripts;tame-impala;Kevin;But I like to have drums sounding good oﬀ the bat, because a bad drum sound for me is just the least inspiring thing, like I can't work on a song. Even when I just record drums for messing around, it’s still kind of this like sound that I’ve dialed in. (Drum beat) (Chorus keyboard riﬀ)
song_exploder_transcripts;tame-impala;Kevin;So after this demo, I found a little bit that I liked and made that into a chorus.
song_exploder_transcripts;tame-impala;Kevin;And then I kind of built the song around that. (Drums along with keyboard riﬀ)
song_exploder_transcripts;tame-impala;Kevin;And what's funny is the ﬁnal drums on the song are actually those drums, from the same demo, just chopped up and processed. (Processed drums)
song_exploder_transcripts;tame-impala;Kevin;It’s got a real kind of like late 90s, chopped up drum break sound but like smashed. (Processed drums)
song_exploder_transcripts;tame-impala;Kevin;The raw stem for those drums are really dry. It's kind of funny switching between the two.
song_exploder_transcripts;tame-impala;Hrishikesh;How does that happen? How do you get it to sound like you're playing the (Dry drum stem followed by processed drums) drums 8000 times harder?
song_exploder_transcripts;tame-impala;Kevin;Just lots of tricks [laughter]. (Drums end)
song_exploder_transcripts;tame-impala;Kevin;That question in itself, making the drums sound like that, accounts for most of my life in the studio.
song_exploder_transcripts;tame-impala;Kevin;The sounds in this song I love on their own. Almost everything in the chorus is distorted except the keyboard part. Bass is distorted, the drums are distorted, that like lead line that comes in is distorted.
song_exploder_transcripts;tame-impala;Kevin;And it has one of the gnarliest synth basses I've made.
song_exploder_transcripts;tame-impala;Kevin;Like if you solo that and the drums, that's the best way to know if you're feeling it or not. (Drums along with synth bass and distorted lead) (Processed drums) (Distorted lead) (Synth bass) (Keyboard riﬀ)
song_exploder_transcripts;tame-impala;Kevin;I like to write a melody over chords that are stuck in my head. I mean like get them rock solid into your head. The important thing is to like digest the chords ﬁrst. So I replayed them on just like a spaced out synthesizer. (Synth)
song_exploder_transcripts;tame-impala;Kevin;And I made an eight minute loop of it and I just had it going all day every day, all around the world, wherever I was. I'll be sort of walking around. I'll just have it blasting in the studio, doing what I'm doing, dancing around, I don’t know. And I don’t know what possessed me but I just started singing. (Chorus vocals: “You ain’t as fun as you used to be”)
song_exploder_transcripts;tame-impala;Kevin;The hook kind of sounded like someone teasing someone, na, na, na, na, na, na, na, na, na. You know! (Chorus vocals: “It ain’t as fun as as it used to be, no”)
song_exploder_transcripts;tame-impala;Kevin;So then I thought it could be cool to make it like your own subconscious teasing you, and that's where like, “It might be time to face it,” came from. (Chorus vocals: “It might be time to face it”) (Drum pattern)
song_exploder_transcripts;tame-impala;Kevin;I had this idea for a clip of someone going around trying to live their life, and these like almost gremlin-like kids just jumping out from behind corners when they're trying do something cool. You know, they're like trying to skateboard down a hill or something and then like these kids run out and just like kick the skateboard out [laughter], you know? And sing that chorus lyric to them, because that's kind of how I saw it, is like internal gremlins, you know what I mean. (Chorus full track: “It might be time to face it / You ain’t as cool as you used to be, no)
