dataset;session;speaker;speech_turn
song_exploder_transcripts;laura-marling;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Song for Our Daughter” by LAURA MARLING)
song_exploder_transcripts;laura-marling;Hrishikesh;Before we start, I want to mention that, in this episode, there’s some discussions of themes that might be diﬃcult for some: sexual harassment and assault, as well as a mention of rape and suicide. Please use your best discretion. Laura Marling is a singer and songwriter from London. She won the Brit Award for Best British Female Solo Artist - she’s been nominated ﬁve times for that, along with the Mercury Prize, and the Grammy for Best Folk Album. Since 2008, she’s released seven albums. The most recent is called Song for Our Daughter. It’s also the name of the song that she takes apart in this episode. I spoke to Laura while she was in her home studio in London. (“Song for Our Daughter” by LAURA MARLING)
song_exploder_transcripts;laura-marling;Laura;My name is Laura Marling. (Music fades out)
song_exploder_transcripts;laura-marling;Laura;This is the longest I've ever taken to write a record. You know, I started very young. I put out my ﬁrst album when I was 17, and I'm now 30. When I was young, in a really wonderful way, and I think everybody experiences this when they're young, you're kind of a functioning narcissist [laughter], in that you have this experience of the world, in which you are the central character. And I think that's wonderful, because I think that is full of color and vibrancy and it's a very necessary experience when you’re young. But there was maybe an accumulation of events that led to this sort of next rite of passage as a person. I metabolized a few experiences that I'd had as a younger woman that were very complex and in some ways un-digestible. The experience of somebody trampling a boundary that you weren't even aware needed to be policed. And the sort of traumatic eﬀect of that experience can have the eﬀect of taking you out of the naive space. It really pushes you out of that time where you feel like the center of your own movie, and it makes you this kind of vulnerable, you feel like there are no boundaries. There is nothing protecting you, you know, it's all in your mind, any sense of safety. And I think I felt a tremendous sense of unity in those experiences, because I think a lot of young women go through them. But I came to a point in my life where the experiences had led up to me being able to cope with what they were, and move through them in a satisfying way. About a year after I made my last album, I was in France with my partner, and we were staying in a sort of cabin outside Toulouse. And he's also a musician, and he has this very strange habit of playing the same chord sequence over and over and over and over again, until he's kind of perfected the playing of it. And that chord sequence ended up seeping into my unconscious, and I ended up writing a song with it, without ever having asked him what the chord sequence was. (Acoustic guitar)
song_exploder_transcripts;laura-marling;Laura;(Acoustic guitar)
song_exploder_transcripts;laura-marling;Laura;(Acoustic guitar)
song_exploder_transcripts;laura-marling;Laura;So he's got a co-writing credit on this track, which is nice. I've got a Martin M-32, and it's a 1986 Brazilian rosewood guitar, and it's my sort of pride and joy. I always take that with me wherever I go. When a song comes easy, I feel like I'm surgically attached to the guitar until it's done. So I will go over and over and over, I'll start singing nonsense over the top of it. And it will mutate into what will end up being the song. So it's, it’s not like it comes out perfect, but it comes out in the course of 24 hours, I'd say. (Second verse demo vocals along with acoustic guitar: “I’ve lately got to thinking about my daughter growing old / All of the bullshit that she might be told”)
song_exploder_transcripts;laura-marling;Laura;I do not have a daughter. I have no children. Like all people, I felt the kind of biological, chemical urge to have children. I have goddaughters and I have nephews, and, you know, there's still every possibility that I might have children at some point. But my rational brain is very ambivalent about it. I think the inspiration for “Song for Our Daughter,” you know, somewhere at the back of my mind, existed in my experience of having read this book by Maya Angelou called Letters to my Daughter. It’s a series of kind of essays written to a non-existent daughter that are an accumulation of her experiences in life and how they've contributed to how she conducts herself. And the implied openness of Maya Angelou's book that it could be read by me, and the lessons could be for me (Acoustic guitar) (Acoustic guitar ends)
song_exploder_transcripts;laura-marling;Laura;and I can interpret them in any way I can, I ﬁnd that incredibly moving. I have been fortunate enough in the last couple of years to have a studio in my basement. So I spent a long time in my studio experimenting with sounds, trying to ﬁnd things that accentuated the emotional moments and indulging in lushness a bit. So the demo's all me, playing everything. (Chorus full demo: “You can’t remember what I said / And the book I left by your bed / The words that will outlive the dead”) Another kind of inﬂuence on the song is a very tragic, it's a story from sort of Roman antiquity, it's called the Rape of Lucretia. And it's about this young noblewoman who, the evening before her wedding, is raped. And no one believed her. And in that time they believed if you'd been any way kind of sullied, your blood would turn black. And so she rode into court one morning and she stabbed herself in the chest, and of course her blood was black and she died. I came across that story and was kind of struck by its contemporary relevance. All over contemporary culture is this very contentious meeting between experience and law, and how diﬃcult it is for traumatized women to correctly, by in terms of the language of law, express their experience. They're just not very well understood, and that frustration is sad. (Second verse demo vocals: “From the blood on the ﬂoor / maybe now you believe her for sure”) With a demo like that, a kind of highly ﬂeshed out demo. It's like painting, you know, impasto, whatever they say, you know, kind of very thick brush strokes, and then you take it to a sort of master classical painter and they do it in far more detail. So I sort of have a core musical team that I work with a lot. The longest serving member of my musical team is a guy called Nick Peeney, who's an amazing jazz bassist.
song_exploder_transcripts;laura-marling;Laura;(Bass)
