dataset;session;speaker;speech_turn
song_exploder_transcripts;foushee;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Deep End” by FOUSHEÉ)
song_exploder_transcripts;foushee;Hrishikesh;This episode contains explicit language. The story of how the song “Deep End” came into existence and became a hit is kind of wild. One person who really didn’t see it coming is the person who created it, Fousheé. She’s a singer and songwriter from New Jersey. You might have seen her competing on The Voice in 2018. Soon after that, she got asked to make a pack of vocal samples for the music platform Splice, where users can download samples and include them in their own songs, royalty-free. Coming up, Fousheé tells the story of what happened with one of those samples, and how that led to her making “Deep End.” “Deep End” has now been streamed over 385 million times. Fousheé became the ﬁrst Black female artist to hit the Top 10 Alternative Chart in over 30 years. Here’s Fousheé breaking down the twists and turns that went into making “Deep End.” (“Deep End” by FOUSHEÉ)
song_exploder_transcripts;foushee;Fousheé;My name is Fousheé. (Music fades out)
song_exploder_transcripts;foushee;Fousheé;When I got oﬀered to do the sample pack, it was right after I got done shooting The Voice. I was just eliminated from The Voice and I was like, “Fuck [laughter]. What now?” And I was so heartbroken, but really, that ended up being for the better. I met someone from Splice, the sample pack company, and he asked me to do a pack of like 250 samples. He’s like, “If you have extra vocals on your computer, you know, anything unused,” and I was like, “Okay, this is cool like I can make money, and just release this thing, it's like a residual income.” Usually, a sample pack is “ooh’s,” “ah’s,” you know, maybe a word or two. There’s not hooks on there but I thought, you know like, “What do producers need? They need hooks so, you know, I'm going to make [laughter] a dope ass pack from scratch.” (Sample pack hook: “I been trying not to go oﬀ the deep end / I don’t think you wanna give me a reason / I been trying not to go oﬀ the deep end / I don’t think you wanna give me, me”)
song_exploder_transcripts;foushee;Fousheé;It was like diﬀerent variations of vocal samples. So the next one will be [sings harmony: “I've been trying not to go oﬀ the deep end / I don't think you wanna give me a reason”] and then I did some [sings: *ooh*] you know probably a low and that would be like 6 or 7 samples. Writing is a very intimate thing but when I came up with those lines, I wasn't thinking about anything, I was trying not to overthink it, and I was just trying to have fun with it. And once the pack came out, I just walked away,
song_exploder_transcripts;foushee;Fousheé;and did my own thing. My job here is done. Once people use the pack, they don't have to credit the artist because typically people don't make hooks. It was just a diﬀerent scenario, it backﬁred on me [laughter]. One of my friends sent me a YouTube link and she’s like, “Is this you?” (“Deep End Freestyle” by SLEEPY HALLOW ft. FOUSHEÉ)
song_exploder_transcripts;foushee;Fousheé;And I clicked it and it was the “Deep End Freestyle” by Sleepy Hallow. (“Deep End Freestyle” by SLEEPY HALLOW ft. FOUSHEÉ) (Piano) (Piano ends)
song_exploder_transcripts;foushee;Fousheé;(Music ends)
song_exploder_transcripts;foushee;Fousheé;I think a month had passed and it was like at a million something views. I didn't really understand what was going on until I saw [laughter] the YouTube video and like read the comments. The way that they use it kind of highlighted the vocals. People were like, where can they ﬁnd the person singing the sample? A lot of people were like, “I'm here for the girl singing.” They were kind of answering the questions on their own, and like tracing back to diﬀerent versions of people using the sample and thinking those were the original. [Laughter] Someone was like, “Hi, I made the original. This is the original I have it right here.” It was like just impossible to cut through all this chatter because so many people were giving wrong information. So, after a lot of peer pressure from my family, I made that TikTok video just saying it was me. (Audio from TikTok video)
song_exploder_transcripts;foushee;Hrishikesh;In the TikTok video, Fousheé is playing guitar and singing, and there’s text over it that reads: “The irony of this is I'm actually the original singer in this song but no one knows or believes me and it's legit making me go oﬀ the DEEP END.”
