dataset;session;speaker;speech_turn
song_exploder_transcripts;panda-bear;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Dolphin” by PANDA BEAR)
song_exploder_transcripts;panda-bear;Thao;Panda Bear is musician Noah Lennox. He’s a founding member of the experimental, genre-defying band Animal Collective, and as a solo artist, he’s released six albums. In February 2019, Panda Bear released the album Buoys, and in this episode, he and his co-producer Rusty Santos break down the opening song, “Dolphin.” You’ll hear the original demo, and how they drew inspiration from music from all over the world. (“Dolphin” by PANDA BEAR)
song_exploder_transcripts;panda-bear;Panda;This is Panda Bear. (Music fades out) (“Tezeta” by MULATU ASTATKE) (“Tezeta” by MULATU ASTATKE) (“Tezeta” by MULATU ASTATKE) (Music fades out)
song_exploder_transcripts;panda-bear;Panda;“Dolphin” was ﬁrst written on a guitar. And I hadn’t really played a guitar in a long time. But there’s a song, “Tezeta,” by a guy named Mulatu Astatke.
song_exploder_transcripts;panda-bear;Panda;And that was kind of my springboard, the guitar in that song.
song_exploder_transcripts;panda-bear;Pana;If you listen to the song, I feel like you can hear the inspiration for “Dolphin.”
song_exploder_transcripts;panda-bear;Panda;The vocal line mimics the saxophone. (Demo)
song_exploder_transcripts;panda-bear;Panda;I made demos in my practice space, in Lisbon, Portugal, where I live. Just going through the song and making little adjustments to it and going, “Doo doo doo,” like that kind of stuﬀ. (Demo) (Demo fades)
song_exploder_transcripts;panda-bear;Panda;I always had some sort of electronic element to the music. I always wanted that to be there, to steer it away from just being like a straight singer-songwriter type of thing. I wasn't super interested in doing that. And it's a big reason that I wanted to work with Rusty. Hey, it's Rusty Santos. I'm an engineer, producer, mixer based in Los Angeles, California. Rusty recorded the Sung Tongs record by Animal Collective with us. Sung Tongs is a record that we recorded in 2003, and then I hadn't really seen him. I'd stayed in touch with him, we would email once in a while. And I was always admiring the stuﬀ he was working on. And then I remember my friend in Lisbon sent me a photo of her and Rusty. And I thought to myself, “They're somewhere else in the world, like at a festival or something like that.” But she's like, “No, he's here in Lisbon.” So I was like, “Let's hang out.” I hadn't seen him in forever. And he told me then he was doing a bunch of like latin trap productions. (Latin trap production)
song_exploder_transcripts;panda-bear;Panda;And immediately I was like, “I'd like to push it somehow into that sort of space.” (Latin trap production fades out)
song_exploder_transcripts;panda-bear;Panda;We had a vocal take and the guitar. (Guitar)
song_exploder_transcripts;panda-bear;Panda;Those were kind of like the ﬁrst elements that we put in there. (Vocals along with guitar: “To the sea”)
song_exploder_transcripts;panda-bear;Rusty;Noah told me that water was a major theme of the record. (Vocals along with guitar: “To the end of the road”)
song_exploder_transcripts;panda-bear;Rusty;So I think that really just dialed it in right there, was like, “This record was about water.”
song_exploder_transcripts;panda-bear;Panda;We had a thing called the Digitakt. It’s more like a sampler than a drum machine, but there’s a lot of stock drum machine-y type sounds in it. Just a quick and easy way to get really basic rhythmic stuﬀ going. And my friend Liz, who I work with on music, she gave input on the arrangement. There was like kind of snare-y sound initially, and then Liz suggested a water drop sound. (Water drops along with guitar)
song_exploder_transcripts;panda-bear;Panda;And that really becomes sort of the deﬁning characteristic of the song. There's a lot of suggested rhythm as if like the rhythmic structure was there and then we just removed it from the song, like there's almost no kick drum on the record. So I feel like the rhythms are more implied than represented. (Digitakt)
song_exploder_transcripts;panda-bear;Panda;(Beat joins)
song_exploder_transcripts;panda-bear;Panda;(Music ends) (White noise)
song_exploder_transcripts;panda-bear;Rusty;So this is white noise. Comes from just like a straight up white noise sample, (White noise sample)
song_exploder_transcripts;panda-bear;Rusty;and then, automation. So, automating the frequency sweeps, (Frequency sweeps)
song_exploder_transcripts;panda-bear;Rusty;automating the volume. So, turning it up, and it hits a reverb and you have the reverb trails going out. (Volume automation along with reverb trails)
song_exploder_transcripts;panda-bear;Rusty;And it sounded like the ocean. (White noise)
song_exploder_transcripts;panda-bear;Panda;(White noise fades out) Like a lot of things on the record, it's both organic and synthetic in that it sounds like the ocean but it's engineered, and the sound of the record comes from the interplay of those two themes.
song_exploder_transcripts;panda-bear;Panda;Another thing that Rusty was super into was 808 samples.
song_exploder_transcripts;panda-bear;Rusty;When you think of 808, you think of like big energy, like turning it up. (808 along with electronic kick drum) But in the case of this, the 808 is used in a way that I never used them before, which is pretty subtle. Those samples sort of deﬁne all the low-end stuﬀ that's going on in the record. There's no like basslines really, it's all just pitched and tuned samples of 808's for the most part. It’s kind of like a cloud to me, almost like a pillow that the rest of the production sort of sits on. At that point, we knew it was going to be the ﬁrst song on the record. And we didn’t just want to start it with the drum sequence. So we were looking for some sort of introductory sound.
song_exploder_transcripts;panda-bear;Rusty;(808)
song_exploder_transcripts;panda-bear;Panda;(808)
song_exploder_transcripts;panda-bear;Panda;(Galaga)
song_exploder_transcripts;panda-bear;Panda;That's from Galaga.
song_exploder_transcripts;panda-bear;Rusty;Deﬁnitely from Galaga, yeah [laughter].
song_exploder_transcripts;panda-bear;Panda;Old video game like when there were big cabinets in arcades and stuﬀ. It's from that.
song_exploder_transcripts;panda-bear;Rusty;It's very laser like. (Galaga)
song_exploder_transcripts;panda-bear;Rusty;One of the things I talked to Rusty about before going into the studio was wanting to do a vocal that was more kind of intimate and singular. (Vocals: “Could it be?”)
song_exploder_transcripts;panda-bear;Panda;I didn’t want to do a whole bunch of harmonies. (Vocals: “Has it always been so, so quiet?”) I remember doing the vocal takes and hearing the stuﬀ with the Auto-Tune and the vocal production that Rusty was doing, and feeling like excited about where it was going. When I looked back at the project, the vocals are called “Scratch 1” or something, meaning like that was supposed to be a scratch take, and it never left the main vocal.
song_exploder_transcripts;panda-bear;Panda;Well that's always the trick right?
song_exploder_transcripts;panda-bear;Rusty;Yeah
song_exploder_transcripts;panda-bear;Panda;You always tell the performer, “Just lay one down-
song_exploder_transcripts;panda-bear;Rusty;“Just as a practice.”
song_exploder_transcripts;panda-bear;Panda;“Just as like a blueprint,”
song_exploder_transcripts;panda-bear;Rusty;Yeah, yeah. And on the second voices, we pitched them down by 7, and when those hit the Autotuner, it sounds very synthetic. (Pitched down vocals)
song_exploder_transcripts;panda-bear;Rusty;Those second voices are all taken from the main vocals. It’s all one vocal take. So the harmonies are all just made from the pitch-shifting. (Vocals along with pitched down vocals: “To the end of the road”)
song_exploder_transcripts;panda-bear;Rusty;Auto-Tune was originally made for modelling the ocean ﬂoor for depth ﬁnding. It was taken from ships. So the person who made Auto-Tune was already in this kind of maritime mindset, thinking aquatically. It just really ﬁts the vibe so good of the song. (Vocals along with pitched down vocals, guitar and white noise: “I would always be there when you need it”) (Guitar along with white noise)
song_exploder_transcripts;panda-bear;Panda;In terms of the lyrics, I was just thinking about what makes us do certain things and how those impulses, if left unchecked, can kind of lead us down unsavory roads. And for a couple albums, I like to talk about human beings as animals and I just ﬁgured the dolphin was a sort of good symbol for that. The emotion I wanted to have injected into the music was something really kind of caring and embracing, and loving, even though that sounds kind of cheesy, but I felt like there was people getting into divisive feelings, mainly in politics but also in other places in the world. So I wanted to make something that was kind of like a salve for that sort of movement. It's kind of like a love letter to weirdos, and yeah that’s, that’s it. (Music ends) (“Dolphin” by PANDA BEAR)
song_exploder_transcripts;panda-bear;Thao;And now, here is “Dolphin,” by Panda Bear, in its entirety.
