dataset;session;speaker;speech_turn
song_exploder_transcripts;slipknot;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Unsainted” by SLIPKNOT)
song_exploder_transcripts;slipknot;Thao;This episode contains explicit language. Slipknot is a Grammy-winning metal band from Des Moines, Iowa, who ﬁrst formed in 1995. They’ve sold over 30 million records. In this episode, guitarist Jim Root breaks down how Slipknot made the song “Unsainted,” from their 2019 album We Are Not Your Kind. (“Unsainted” by SLIPKNOT)
song_exploder_transcripts;slipknot;James;My name is James Root and I play guitar in a band called Slipknot. (Music fades out)
song_exploder_transcripts;slipknot;James;(Guitar)
song_exploder_transcripts;slipknot;James;(Guitar fades out)
song_exploder_transcripts;slipknot;James;This song is an amalgamation of some stuﬀ that I had written at home, some riﬀs, and then some jams that I do with our drummer. You know, ideas that we’d come up with while we were touring. That melody line is what birthed that tune. I always have melodies rolling through my head and I don’t always, I don’t really know where they come from. In order to kind of reel it all in, I would go out to Los Angeles and work with our producer, Greg Fidelman, who's very inﬂuential in helping me sort all the things in my brain out and make sense of them. Sometimes I end up forgetting them, but, you know, this is the beneﬁt of having a Greg Fidelman and time to work in a studio because you can just sit there and you can get all these melody lines out, and eventually they evolve into a song like “Unsainted.” I've purposefully made it a point not to become a schooled guitar player because I feel like I would become too logical with it and think, “Oh, I can't do that because that's an augmented this,” or, “That's a ﬁfth of that and that doesn't ﬁt with this scale,” or whatever you know. I feel like it needs to be more organic. Essentially a song will tell you where it wants to go and what it needs. You may have to, you know, give it a little push or help it here and there, but this one, (First guitar riﬀ)
song_exploder_transcripts;slipknot;James;all the riﬀs (Second guitar riﬀ)
song_exploder_transcripts;slipknot;James;that came in separately (Third guitar riﬀ)
song_exploder_transcripts;slipknot;James;all ﬁt together so well. (All guitar riﬀs together) (Drums join) (Guitars fade) (Drum ﬁll) (Drums end)
song_exploder_transcripts;slipknot;James;We have Jay Weinberg on Drums.
song_exploder_transcripts;slipknot;James;You can kind of get the gist of what something's going to be like, when Jay actually starts putting real drums to it, that sort of starts to bring everything to life.
song_exploder_transcripts;slipknot;James;We would just do like jam sessions where Jay and I would just, he'd just play a beat and I'd just riﬀ over the top of it (Guitar riﬀ over drum beat)
song_exploder_transcripts;slipknot;James;or I'd come up with a riﬀ and he would just do a bunch of diﬀerent beats underneath the back of it. (Guitar riﬀ over a diﬀerent drum beat)
song_exploder_transcripts;slipknot;James;He was able to really [laughter], you know, explore the room and just try a little bit of everything, whether it's four-on-the-ﬂoor beats or blast beats
song_exploder_transcripts;slipknot;James;or tom beats. (Drums along with keg) (Drums fade out) (Drum beat) (Blast beat) (Tom beat)
song_exploder_transcripts;slipknot;James;(Keg ends)
song_exploder_transcripts;slipknot;James;(Keg)
song_exploder_transcripts;slipknot;James;(Keg ends) But then when it came time to track, that's when we really honed in on what the parts should be. That's Clown playing the keg. Shawn Crahan. He is the percussionist and mastermind behind our artwork and the vision of Slipknot, essentially. And he knows diﬀerent places to hit kegs to get diﬀerent notes out of something that is a container for beer [laughter]. You know that's an important part of what Slipknot is, is the percussion, and depending on how he plays the keg, it can either give it kind of an industrial vibe or it can give it a really ambient, sort of dark, moody vibe. (Lower notes produced on the keg)
song_exploder_transcripts;slipknot;James;It deﬁnitely adds a layer to our band that not a lot of bands have.
song_exploder_transcripts;slipknot;James;One of the things I've tried to achieve as a songwriter, not just a guitar player, is to be able to write songs that have diﬀerent elements but to have them ﬂow seamlessly. For the middle breakdown, we do a thing where everything drops out. It's one guitar doing like a full-step bend down.
song_exploder_transcripts;slipknot;James;and then the other guitar comes in with a minor third harmony above it.
song_exploder_transcripts;slipknot;James;And then I come in with a melody half way through.
