dataset;session;speaker;speech_turn
song_exploder_transcripts;billie-eilish;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. Before we get started, a note about the content of this episode. It contains explicit discussion of suicide and suicidal thoughts. So please take care when listening. Also, if you or someone you love is having thoughts of suicide, conﬁdential help is available for free. You can call the National Suicide Prevention Lifeline at 800-273-TALK. That’s 800-273-8255. You can also text the crisis text line, just text HELLO to 741-741. You’re not alone. (“Everything I Wanted” by BILLIE EILISH)
song_exploder_transcripts;billie-eilish;Hrishikesh;Billie Eilish started releasing music when she was 14 years old. Her debut album came out last year, when she was 17. It debuted at Number 1 on Billboard, it went triple platinum, and won ﬁve Grammys. Billie made that record with her brother and creative partner, and producer and artist Finneas. While working on that album, they also started writing this song, “Everything I Wanted,” which came out as a single in November 2019. It was Billie’s second top ten hit, and it went double platinum too. I spoke to both Billie and Finneas about how the song was made and in this episode, you’ll hear the original voice memo they made while writing, and the two of them explain why the song was almost never ﬁnished. (“Everything I Wanted” by BILLIE EILISH)
song_exploder_transcripts;billie-eilish;Billie;My name is Billie Eilish.
song_exploder_transcripts;billie-eilish;Finneas;My name is Finneas. I am a co-writer and producer on this song. (Music fades out)
song_exploder_transcripts;billie-eilish;Billie;So the ﬁrst night that we wrote it was I think September 2018.
song_exploder_transcripts;billie-eilish;Finneas;We were at the tail end of working on Billie's debut album, and we were having that sort of second guessing moment, where we thought, “Do we have every song for this album? Should we try writing one or two more?”
song_exploder_transcripts;billie-eilish;Finneas;(Piano riﬀ)
song_exploder_transcripts;billie-eilish;Finneas;And I literally had had a dream the night before that I had jumped oﬀ like a building or something, I jumped oﬀ something in my dream and I basically had died in my dream. And the whole dream was me watching how everything went after I died like I was there for it, and I could see everything and I was looking at my life through like, my nonexistence, just seeing how it was going. I remember in the dream there were newspapers that said like, “Problematic 16-year-old Billie Eilish has ﬁnally killed herself.” And my best friends were like, doing an interview and they were like, you know, “Oh we never really liked her, like we’re pretty glad that she died.” So it was deﬁnitely like one of those dreams that was like everything you’ve been thinking put into a horrible, horrible reality [laughter]. I couldn’t think of anything else, it was the only thing that was on my mind. So I was very, very caught up and distracted and distant the entire day. And I couldn’t stop thinking about it, I couldn’t stop like feeling it, and being scared and like worried, and so we just sat down, and I told Finneas about it, and we just like had to write about it. I don’t know, it just, it needed to be said.
song_exploder_transcripts;billie-eilish;Finneas;Billie has been, you know, not only my primary collaborator for the last ﬁve years, but my most intertwined creative relationship. Finneas is like my best friend in the world and has been, and I deﬁnitely would have talked about it with Finneas, even if we hadn’t been making music at all. Having Finneas listen and also know me in a way that I don’t know me, has really been important for our creative process. I think one of the beneﬁts of Billie being such an assertive person and having such a clear cut vision, is that when I am working on music production for her, I know the color palette that something should be. So I crafted what became almost the entire instrumental of the song. What I try to do with instrumentals is like have something that feels organic and human, and then put it on its edge and play it in a way that might be a little atypical. So you know, just a piano for the ﬁrst 20 seconds of the song - how can I make that unique? And so that was when the sidechain compression idea came to me. (Sidechain compression on piano)
song_exploder_transcripts;billie-eilish;Finneas;Side-chaining in this song's case, it's a compression plugin put on the piano and then conﬁgured to react not to the piano itself, but to the information of another track, in this case, a kick drum.
