dataset;session;speaker;speech_turn
song_exploder_transcripts;pj-morton;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Say So” by PJ MORTON ft. JOJO)
song_exploder_transcripts;pj-morton;Hrishikesh;PJ Morton is a singer, songwriter, and producer. He’s been nominated for 10 Grammys, including Best R&B album three years in a row. In 2020, he won the Grammy for the Best R&B song for his track, “Say So,” which is a duet with the singer JoJo, a platinum-selling artist in her own right. But that version of “Say So” almost didn’t come to exist. In this episode, PJ takes us through his original voice memos, the demos, and the isolated pieces of the ﬁnal studio recording, as he tells the story of how “Say So” was created, then disappeared, and then got re-created, and ended up becoming one of his biggest songs. (“Say So” by PJ MORTON ft. JOJO)
song_exploder_transcripts;pj-morton;PJ;My name is PJ Morton.
song_exploder_transcripts;pj-morton;Hrishikesh;“Say So” came out in 2019, but PJ had his ﬁrst idea for it on February 14th 2015. (Music fades out)
song_exploder_transcripts;pj-morton;PJ;Valentine’s day. I had a really bad writer’s block. Maybe one of the worst of my life. Well I should say, usually my form of writer’s block is I can’t write a song for myself. Sometimes, I can still, as a songwriter, write for other artists. But when I say writer’s block, I mean I can’t get my own thoughts out. But I would get these melodies and everything I heard, I would like, get it down because I’m like maybe this could break it. (Voice memo of PJ humming melodies) [Laughter] So I hear myself playing the bass notes and stuﬀ because sometimes I need to give myself context of what the melody, what the - it’s so funny listening back to that.
song_exploder_transcripts;pj-morton;PJ;(Voice memo of PJ humming melodies ends) To be totally honest, I didn’t wanna be an artist in the beginning. I wanted to be just a musician, I wanted to play for people on tour. That was my biggest dream initially. And then I started to write and produce, and that’s what I wanted to be, I wanted to be Quincy Jones. I wanted to write songs for other people. And what happened was I would write these songs, and they didn't ﬁt anybody. And it was just coming from me, and I was like, “All right, well, if a melody is so much me that it can't ﬁt someone else, then maybe you know it's just meant for me.” (Acoustic demo) Because I had that idea for the song, I brought the band into the studio, let me see if this inspires me to actually write it. So we went in there and I just tried to start to build the song still without any lyrics or words. I'm playing that lead yeah. Some type of Moog. For me, as a keyboard player ﬁrst, sounds inspire me. The sounds, telling me how to sing it. (Acoustic demo ends)
song_exploder_transcripts;pj-morton;PJ;Those melodies determine what I say. (Voice memo vocals brainstorm: “If you love me / Just say so”)
song_exploder_transcripts;pj-morton;PJ;It's hard to listen to [laughter]. (Voice memo vocals brainstorm: This is no competition / Not keeping score”) Totally diﬀerent words there. I had the “say so,” I knew I wanted to say that. That was such a simple concept to me, if you love me, you know, just say so. I usually start at the chorus you know just because that is the grand idea for me. So once I had the chorus, then I started to say, “Okay, well, why am I asking her to just say so, you know?” So I started doing those verse voice notes. (Verse voice memo: “It’s getting hard for me to hold my own / Cause no one wants to be in love alone”)
song_exploder_transcripts;pj-morton;PJ;I've wanted somebody to just say it to me where it's like, “I know we're here, but you're not really communicating. Are you feeling how I'm feeling, you know?” And it's something that I naturally felt connected to. ‘Cause I know how that feels to want somebody to just express their feelings. (Acoustic demo) As a writer, what you're trying to always shoot for is coming from a speciﬁc place that's speciﬁc to what you feel, and you write it according to you. But you know, a bunch of people can relate to it. And that's what got me to that ﬁrst verse, which is “it's getting hard for me to hold my own. Nobody wants to be in love alone.” (Fuller demo with drum samples: “It’s getting hard for me to hold my own / Nobody wants to be in love alone”) I did an old school thing and did a maxi single. And it had the song, “First Began,” “Sticking to My Guns,” and it had “Say So.” I put it on there as the third song, almost like I don't think it's as good as everything else. And then I think for me “Say So” was really kinda my throwaway. I knew the song spoke to me, but from a production standpoint, it just wasn't as strong as everything else that I was working on. (Maxi single version) (Maxi single version stops) And when I listened to that version, it's like in the way. The drums are in the way a little bit for me, even all the extra background vocals. It was just kinda in the way of this very simple message. So I pulled the whole thing. Just a memory man, it was just gonna be a memory. But what made me go back to it, because I was kinda done with it, ‘cause I ripped the song from everywhere. So if you didn't buy it at the time, you don't have that ﬁrst version. But I remember being in Australia and somebody requested it, and it was so long after that, that I didn't even remember all the words. I tried to sing it for this couple because they said they got engaged on the song or something. I'm like, “Really, that song?” And I would always see people referencing it, “Where's that song “Say So?” I used to listen to that all the time.” So I was like, “I gotta take another look at it.” And that's when I started from scratch really.
song_exploder_transcripts;pj-morton;PJ;(Piano) I just wanted to see if this was even worth my time. So I set my phone up at the piano and started to say, “All right, let's see what we're trying to say.” (Vocal-piano brainstorm voice memo) (Voice memo plays verse then ends) Sometimes I'll build a whole track and build a song and then go to the piano and see if it still speaks to me with nothing, with none of that production. It was just like all right, let me give it the space it deserves so you can hear these simple words I'm trying to say to you. And I think it started to change for me immediately once I did that sort of diﬀerent rhythm. It felt more like a conversation when I started to re-imagine it. I want somebody else to be saying this. I want there to be perspective here. I want it to feel like two people going through this actually. I was thinking of diﬀerent singers to see who could work for this and you think that a lot of people could just sing that, because it feels simple but it's not really. And so I knew it had to be a real singer. You know it wasn't just somebody who was popping at the time. It was like, “No, I need somebody who can really emote and get this message across.” And I had only met JoJo in person maybe one time prior to that. We didn't really know each other. I've always been a fan of her voice. But there was a story of her getting out of her deal, ﬁnally, that she had been stuck in for 10 years or something like that. And I was listening to her voice and I'm like, “Oh, you know what, she would be perfect for this.” My name is JoJo. I think he asked for my email and said that there was something that he wanted to send me. Just “Hey, let me know if you like this and if you’d be interested in singing this with me.” And ﬁrst listen, I just loved the song. Then once I was like, “yeah!” Then we talked about, you know, who takes what part and how we could do it.
