dataset;session;speaker;speech_turn
song_exploder_transcripts;jon-batiste;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“We Are” by JON BATISTE)
song_exploder_transcripts;jon-batiste;Hrishikesh;Jon Batiste is a pianist, songwriter, and composer from New Orleans. He’s been nominated for multiple Grammys, and just won the Golden Globe and got an Oscar nomination for the soundtrack to the Pixar ﬁlm Soul, which he composed along with Trent Reznor and Atticus Ross. Jon is also a recipient of the American Jazz Museum’s lifetime achievement award, and on weeknights, you can see him as the bandleader on The Late Show with Stephen Colbert. In March 2021, he put out his new album, We Are. But the title track from it actually came out much earlier last year in June 2020.
song_exploder_transcripts;jon-batiste;Jon;We put the song out during the Black Lives Matter protest before it was even ﬁnished being mixed and mastered.
song_exploder_transcripts;jon-batiste;Hrishikesh;In this episode, Jon talks about how he drew from his roots, both at a personal level and at a cultural level, and wove all of it into the song.
song_exploder_transcripts;jon-batiste;Jon;I’m Jon Batiste. (Music fades out)
song_exploder_transcripts;jon-batiste;Jon;"So I started working on this song in September of 2019 with Kizzo, a great producer from the Netherlands, and Autumn Rowe. We met up in New York City. And this is pre-COVID, my life is busy - I'm doing the Late Show, I'm writing the score for Soul. I have so many diﬀerent things going on at the same time, but I really wanted to ﬁnd a way to write. And we got together for nine days, and with a laptop and a MIDI keyboard and a bunch of instruments in my dressing room at the Ed Sullivan theater, we started working on songs. Autumn and Kizzo would be in the dressing room working, I would be in there working, popping in and out to do things. And there wasn't a lot of time for the critical, analytical side of music-making. It was more along the lines of sparks of inspiration that we capture and then move on to the next spark. You know, Carol Burnett, she told me something that I didn’t even realize until four years into it being my dressing room, that that was her dressing room, when she was doing the Carol Burnett show. And she was telling me all kinds of stories of what happened in that dressing room; and obviously the Ed Sullivan theater has all of these titans of culture and music that have all walked through those halls, and played on that stage and I think that we captured some of the spirits that are in that space. But at the end of 10 songs or so, this was the ﬁrst day where we'd hit a wall and we felt, “oh maybe this is the end of the road.” And we thought we had kind of maxed out. And I left the room to take a phone call, it was a long phone call, maybe an hour or something. I come back into the room and there's this beat. (Jon beatboxing along with drum beat)"
song_exploder_transcripts;jon-batiste;Jon;There’s drums and chords. (Piano chords)
song_exploder_transcripts;jon-batiste;Jon;And I was like, “oh, well maybe we’re not done here yet.” It's always the same feeling when I get inspired, I just feel like I want to dance. I feel like I want to get up and grab it and hug it. Autumn has this really wonderful gift of creating melodies. And she had something on the track that resonated with me. (Jon hums the chorus melody)
song_exploder_transcripts;jon-batiste;Jon;"So she's doing something, and I was just like, ""Woo!” Typically the way that we work is, she’ll have a melody or something like that, and then I’ll write to my heart. And what came out is, ""we are the golden ones, we are the chosen ones” (A cappella choir: “We are, we are, we are, we are, golden ones / We are, we are, we are, we are the chosen ones”)"
song_exploder_transcripts;jon-batiste;Jon;That's Autumn, and Kizzo, and myself capturing the vocal trying to create a choir. Because I wanted it to feel like it's the whole world singing. (A cappella choir: “We are, we are, we are, we are the chosen ones / We are, we are, we are, we are the golden ones.”)
song_exploder_transcripts;jon-batiste;Jon;We are the golden ones, we are the chosen ones. (Drums)
song_exploder_transcripts;jon-batiste;Jon;(Drums fade)
