dataset;session;speaker;speech_turn
song_exploder_transcripts;fka-twigs;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Mirrored Heart” by FKA TWIGS)
song_exploder_transcripts;fka-twigs;Hrishikesh;This episode contains explicit language. FKA twigs is a singer, songwriter, and producer from London. She’s released three EPs and two albums. Her most recent album, Magdalene, came out in 2019, and was named one of the best albums of the year by Rolling Stone, Pitchfork, Time, NME, and more. For this episode, twigs chose the song “Mirrored Heart” from that album. She wrote and produced it in Los Angeles with a few collaborators, but it’s an intensely personal song. (“Mirrored Heart” by FKA TWIGS) 
song_exploder_transcripts;fka-twigs;twigs; This is FKA twigs. (Music fades out) twigs: The lyric “mirrored heart” was something that I had had written in my phone for a while. I'd heard the saying that your greatest love will be somebody who will like truly like reﬂect who you like aspire to be and can mirror. It doesn't mean that you have to do the same thing or like the same things. It's more to do with like morals, or like a kind of deeper understanding of life, or sort of human values. Somebody who's going to give what you give, put in what you put in. It's like an equal meeting of two loves. I write a lot of things down. Sometimes they turn into songs, or sometimes they turn into things that I write to myself. So I didn't know necessarily that it was going to be a song at the time, but it presented itself. (Piano) 
song_exploder_transcripts;fka-twigs;twigs; I wrote “Mirrored Heart” with Ethan P. Flynn, an amazing musician and songwriter, and it was just Ethan playing on the piano. He came to visit me in LA, I had this house and I invited a few of my friends to come and work on the record and write and eat together and wake together. And Ethan and I wrote “Mirrored Heart” on a very sort of lonely morning, I remember. Everyone was in bed or out or you know just doing their own thing. I think we'd maybe even said that that day was like a chill day and we weren't really going to work, but then Ethan and I just found ourselves at the piano just playing around, and we just have something really special when we're together and it's very melancholy, but easy and there's a real sort of like deep blue joy to the music that we make. He just has all these like deep, amazing feelings and unusual chords. It felt really unusual and quite strange, but also it felt like something that I knew really well. It felt like a very old song. Something that like I would have heard my grandma playing or something like that, it had a very like old feel, in a really inspiring way. It was very calm and very quiet and very sensitive, that moment. But you could play anything and I'll just start singing. It's a nightmare, it’s like compulsive [laughter]. (First verse vocals along with piano: “It’s all for the gain / It’s all for the lovers tryna take the breath away”) I sometimes make music in images. For “Mirrored Heart,” I saw an opium den and loads of lovers on top of each other and then me as like a singular person that couldn't ﬁnd an in on the situation. And then everybody had mirrors on themselves in diﬀerent places. But where my mirror was, I couldn't ﬁnd anyone that had it in the same place. And then everybody like held hands and then walked oﬀ the horizon together, like they were falling and then I was left without anybody to fall with. During that time I was like furiously dating [laughter] without much luck and I think I was feeling kind of lonely and unseen. For me, anyway, I mean I’m quite a sort of relationship person. I just feel more comfortable knowing where I am romantically. I've never enjoyed dating, if I'm honest with you. It just doesn't suit me. I hadn't been single for a long time and it just felt like I was there dating to like, don't say like boost people's egos, but it just felt like not genuine (Piano) 
song_exploder_transcripts;fka-twigs;twigs;(Piano ends)
song_exploder_transcripts;fka-twigs;twigs;connections. Like everyone's trying to be grabby, just to kind of like ﬁll a hole, to gain something. Find that high, get that ﬁx, get that heart racing, like get that text, feel good about yourself for those 10 minutes while someone's paying you attention. (First verse vocals along with piano: “It’s all for the gain / It’s all for the lovers tryna chase the rush again”)
song_exploder_transcripts;fka-twigs;twigs;And so I was feeling quite vulnerable and just wondering like, “Was I ever going to love again, you know? Was I ever going to be loved again? Like what was that going to feel like this time around? (Chorus vocals along with piano: “But I’m never gonna give up / Though I'm probably gonna think about you all the time / And for the lovers who found a mirrored heart / They just remind me I'm without you”)
song_exploder_transcripts;fka-twigs;twigs;And then Cy An, who's a very old friend and collaborator, came in and played the guitar and I remember singing to him, a little riﬀ, like dung, gung, gung, gung. During like LP1, you know, I was just really into the laptop, you know. I was really into Ableton and ﬁnding the cool sounds and how many eﬀects can you put on something, whereas during Magdalene I started to feel the need to like actively get out of the computer a bit and I have more acoustic instruments than I've ever had before. The ploddiness of the guitar that kind of sounds like a kid walking with like lazy feet. It's like a reluctance to get to like the destination. That's something that was just really important to me in conveying in this piece of music, it’s like a reluctant march to an unknown destination. (Lead guitar)
song_exploder_transcripts;fka-twigs;twigs;(Guitar ends) (Drum machine)
song_exploder_transcripts;fka-twigs;twigs;I had this new drum machine and I didn't know how to work it and it has all these diﬀerent like settings of diﬀerent types of music, but I couldn't get out of the hip hop and trap setting, because it was my ﬁrst day of having it. So like it was just these weird voice samples like, “Yep” and like “200 bands, 300 bands,” like that [laughter]. And so like actually in the song it says, “200 bands.” (Drum machine: “200 bands”) (Drum machine: “200 bands”)
