dataset;session;speaker;speech_turn
song_exploder_transcripts;glass-animals;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Heat Waves” by GLASS ANIMALS)
song_exploder_transcripts;glass-animals;Hrishikesh;Glass Animals is a band from Oxford, England. They’ve released three albums since forming back in 2010. One of their biggest hits is the song “Heat Waves,” which came out in June 2020. It was certiﬁed gold in a bunch of countries, and platinum in Australia, where it hit #1. Dave Bayley is the singer, songwriter, and producer of the band. He won the UK’s Music Producers Guild award for “Self-Producing Artist of the Year” and he’s produced songs for other artists, too. In this episode, Dave tells the story of making “Heat Waves,” over several months. First, on his own, and then later with his bandmates, Joe Seaward, Ed Irwin-Singer, and Drew MacFarlane. Here’s Glass Animals on Song Exploder.
song_exploder_transcripts;glass-animals;Dave;I’m Dave from Glass Animals. (Music fades out)
song_exploder_transcripts;glass-animals;Dave;May 2018 is when I ﬁrst started something. And I didn't feel like there was any pressure to make another Glass Animals' record. We weren't in a rush. So I was going into the studio every day, long hours, just getting crazy synths, just ﬁnding sounds. I have this like exploratory phase before actually making an album for the band, which is just me [laughter] eating lots of cereal and doing nerdy things, twisting knobs. I was in this studio complex in North London called The Church, there were some bigger artists in all the other rooms. And I was in this little basement room and I was ready to go home, I had a long, very unsuccessful day in the studio. I always use this ﬁshing analogy of Arlo Guthrie's where he always said that writing songs is like ﬁshing. You change your bait, put some fresh bait on, you can move your boat to a new spot, you can get some new line, you can try all these tricks, but you know, mainly you just catch like tires and weeds and like weird ﬁsh that you can't eat. And I'd had a whole day of that, just catching weird ﬁsh. But I was like, ﬁne, one more. (Electric guitar riﬀ)
song_exploder_transcripts;glass-animals;Dave;I always have a guitar plugged in and a microphone. And I think I just hit record, picked up the guitar and that's when I started like fumbling around. I'd been reading some gimmicky book about songwriting and it was about like how you can kind of get these longer chord phrases that tell a story. And I was like, “Oh let’s try something like that.” So, I was trying to get this longer chord phrase and just started noodling around trying to ﬁnd eight chords that ﬁt together and had some kind of arc that took you on a bit of a journey. It was about nine minutes of fumbling. And then I played that chord pattern and I was like, “oh, that's cool,” so I'd play it over and over again. They had this very reﬂective quality, but then it resolves quite well that chord pattern, and it feels like, I don't know, maybe like coming to terms with something or acceptance. And I think that's probably where the lyric came from. (Electric guitar riﬀ along with lead vocals: “Last night, all I think about is you”)
song_exploder_transcripts;glass-animals;Dave;I think one of the ﬁrst things that came out of my mouth was that vocal line. It was late at night and I was thinking about all those people that I missed. (Electric guitar riﬀ along with lead vocals continue: “Last night, all I think about is you / Don’t stop, baby, you can walk through / Don’t want, baby, think about you / You know that I’m never gonna lose / You know, what you, what you want”) I do all sorts of things to my vocal when I'm recording these raw ideas. Cause I think like many people, I really hate the sound of my own voice, so sometimes I pitch it down an octave, sometimes I pitch it up an octave, and I don't know, I just have all these tricks to kind of disassociate yourself from, from you, and this was kind of around the time that I started using Auto-Tune to do that for me. I feel like a lot of music is about not overthinking things, and when it's your own voice, it's so easy to overthink it. It's like, I don’t know, I think sometimes I'm on zoom and I can see people looking at their own picture [laughter], and kind of losing sense of the conversation, and I don't know it's kind of the same thing, it stops you doing that, it stops you - just allows you to not think about the rules and how it should sound and try not to make everything too perfect.
song_exploder_transcripts;glass-animals;Dave;At that point I kind of tried to ﬁrm up a sound. When I have the guitar live and recording it's not often a particularly interesting sound. (Pitched down vocal stem) (Electric guitar stem)
song_exploder_transcripts;glass-animals;Dave;So I just recorded the guitar, pitched it down an octave, (Pitched down guitar)
song_exploder_transcripts;glass-animals;Dave;Pitched it up an octave. (Pitched up guitar along with pitched down guitar)
song_exploder_transcripts;glass-animals;Dave;And that just left enough space for the vocal to sit in between. Because a lot of writing a song is about leaving a space for the vocal to breathe. (Pitched guitar tracks along with lead vocals: “You just need a better life than this / You need somethin’ I can never give / Fake water all across the road / It’s gone now, the night has come, but”)
