dataset;session;speaker;speech_turn
song_exploder_transcripts;common;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“A Riot In My Mind” by COMMON)
song_exploder_transcripts;common;Hrishikesh;Common is a Grammy and Oscar–winning rapper, actor, and activist from Chicago. He’s been making records since 1992, and in October, he released his thirteenth album, A Beautiful Revolution. In this episode, he breaks down how he made the song “A Riot In My Mind” along with a handful of collaborators, including Lenny Kravitz and a cameo from Chuck D. (“A Riot In My Mind” by COMMON)
song_exploder_transcripts;common;Common;My name is Common. (Music fades out)
song_exploder_transcripts;common;Common;So at the end of the summer, I was in LA. I wasn't planning on making an album, but what led me to making an album was this song I was working on for a children's show. It was a show called Bookmarks where diﬀerent people, authors, actors read children's books. And these books were, you know, really uplifting in saying, “Hey, we all are one.” (“Don’t Forget Who You Are” by COMMON ft. PJ)
song_exploder_transcripts;common;Common;It's called, “Don't Forget Who You Are,” and it's featuring PJ. (Chorus full track: “Don’t forget who you are, da-da-da-da-da-da / Don’t forget who you are”)
song_exploder_transcripts;common;Common;When we made this song, ﬁrst of all, it just organically felt like, “Oh, man. I love making music, man. This just feels so good to make some music and to be creating with these co-creators that I love.” But then it was the reaction to that song which I wrote for children but people I knew were like, “Man, I love this song. It makes me feel good.” And it was like a moment where I understood that, “Wait, I need to make some music that's gonna be inspiring, that's gonna uplift, that’s gonna bring the energy up, and give hope, and motivate people.” So (“Don’t Forget Who You Are” ends)
song_exploder_transcripts;common;Common;we wrote that song, got it complete, got it mixed and I said, “Man, let's do some more studio sessions.” I had just experienced, like so many of us, the pandemic. And I started seeing the world in a new way, kinda more from a more spiritual way. I started getting more in tune with the Creator, with God. And I also was in a place of seeing what had occurred over the summer with the killings of George Floyd and Breonna Taylor, Ahmaud Arbery, and the shooting of Jacob Blake and just the emotional unrest and tension that existed. I actually went out throughout the summer to the protests. I went one time to Minnesota a few weeks after George Floyd's killing for a meeting with some elected oﬃcials and community activists. And then I went to Louisville, Kentucky, for a rally for Breonna Taylor, for her family and really encouraging the people of Kentucky to be active in making sure that the people who had killed Breonna Taylor were brought to justice. And that protest really was life-enhancing for me to be a part of. I felt anger. I felt pain. I felt strength. I felt inspired. I felt the inspiration of the people. That really aﬀected me. At that moment I was like, “I'm going to do an album and it's gonna be movement music.” (Jazz guitar lines)
song_exploder_transcripts;common;Common;(Jazz guitar lines end) “A Riot In My Mind” really wasn't constructed until the end of September. I wrote the song with my collaborators, Isaiah Sharkey, Boom Bishop, Karriem Riggins, Robert Glasper, and PJ. At that point, we had a beautiful, colorful collage of music for the album, but I wanna see if we could come up with something else. I don't know exactly what that may be, but I think it should be something hard.
song_exploder_transcripts;common;Common;When I was thinking about movement music, I truly wanted to make sure I captured the anger, the hurt, the angst. So in my mind, soon as I’m saying that, I'm like, I need another raw joint, like a joint where I could just give you that energy where you get charged. So I said I wanted a harder sounding beat. The second day of the studio is going well, but Sharkey has to ﬂy back to Chicago for a performance. And we had done a day’s full of work. So we were just sitting around talking and then the suggestion came that we go play a little basketball. So Sharkey and Karriem say, “You know, we gonna stay in and just work 'till Sharkey gotta leave.” So we come back in after playing, and Karriem starts to play some of the things that they worked on, he was like, “You gotta hear this.” (More jazz guitar lines)
song_exploder_transcripts;common;Common;So I'm listening to this jazz sounding guitar intro, which I love. Sharkey is such a gifted guitarist and musician. It just was sounding beautiful. But then it kicks in with the drums. (Abrupt transition to drum beat along with rock guitar riﬀ)
song_exploder_transcripts;common;Common;He went from a jazz vibe to this hard sounding like rock, funk sound. (Chords solo for a bar, beat rejoins)
song_exploder_transcripts;common;Common;And I'm like, “Man!” Sometimes I hear certain pieces of music and they just take my mind to another place. I give the songs titles sometimes right when we, like I might be freestylin’ and the engineer will say, “What do you wanna call this?” And I'll just come up with whatever. So as soon as I heard this music, I told Michael, the engineer, “Hey, call this “A Riot In My Mind.” So I sat back on the couch, listened to it for a second and was talking, and then I started saying, “Wah, dah, dah, wah, dah, dah, dah, dah. Cassius Clay and the potter.” (First verse vocals solo for a bar then the beat joins: “Wa-da-da, wa-da-da-da-da / Cassius Clay and the potter”) (Drum beat)
song_exploder_transcripts;common;Common;(Drum beat ends) That thought right there for me, “Wah, dah, dah, wah, dah, dah, dah, dah,” was really me referencing like something from 90's hip-hop that just brought me to that energy. But I said, “Cassius Clay and the potter,” I'm talking about Muhammad Ali and God, bcause I'm saying Cassius Clay and the potter, shape my mind. Referring to God as the potter is deﬁnitely a reference from the Bible. You know, I look at us as the clay, we are the clay that the potter has shaped.
song_exploder_transcripts;common;Common;So the ﬁrst two lines I thought of right there, and then I proceeded to go on and be like, “Man, we gotta use this. This is it.” (Drum beat along with rock guitar riﬀ)
song_exploder_transcripts;common;Common;And then, I got in my truck, which I love to do, and just ride up and down the PCH, playing the beat and rapping out loud to myself. And when I say something I like, I keep it in my mind, and just keep building from there. I haven't written any lyrics down for my album since '94. I just remember it, that's just my process. (First verse full track: “Build with gods and gangstas whose scars and faces / Traces of racist snakes that debased us / Tried to freebase us, mark of the beast, erase us / But we raised up from East Asia” music fades)
song_exploder_transcripts;common;Common;Earlier that day I got a text that my friend, Dwayne Lyle, had passed. He had died. And Dwayne used to always tell me, “Man, when you go in that booth, you gotta come out sweating like John Coltrane playing. You gotta go with that intensity.” (Rock guitar riﬀ)
song_exploder_transcripts;common;Common;I went into the booth, “A Riot In My Mind” was giving me the energy. I had my verse ready now. And I just felt it. And I remember walking out of that booth just sweating, my whole t-shirt was drenched in sweat. And I was like, “Man, I feel you Dwayne.” (Second verse vocals along with rock guitar riﬀ: “Held the scroll that told us seven bowls and seven plagues / Babylon, dread the days when the dead are raised / Escapades of the everlasting / Where the ghetto praise for compassion, no longer masking”) So many biblical thoughts come out in my songs. I couldn't say, “Yeah, I'm a supreme scholar on the Bible,” but I truly study the Bible. I read it every day, “Seven bowls and seven plagues, Babylon dread the days, where the dead are raised.” So we know Babylon is referred to in the bible as like basically a place that’s unjust. A place where the people in power weren't doing right. It wasn't a righteous kingdom. It wasn’t a righteous place. And I think our country, America, has suﬀered from the unrighteousness of leadership and unrighteousness of history. But if we don't acknowledge our wounds and mistakes, and things we've caused ourselves or others, then we can never heal. And when I’m talking about dead, I'm talking about symbolically the dead are raised. Like spiritually, we are awakened. And those powers that be in that place that they call Babylon, once people are awakened, you know, it's gonna be a whole ‘nother day. (Second verse vocals along with drum beat: “Held the scroll that told us seven bowls and seven plagues / Babylon, dread the days when the dead are raised / Escapades of the everlasting / Where the ghetto praise for compassion, no longer masking” music fades)
