dataset;session;speaker;speech_turn
song_exploder_transcripts;run-the-jewels;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“JU$T” by RUN THE JEWELS)
song_exploder_transcripts;run-the-jewels;Hrishikesh;This episode contains explicit language. Killer Mike and El-P ﬁrst met in 2011. They both had established rap careers, but they entered a new era when they started making music together as Run the Jewels in 2013. They’ve been nominated for a Grammy, and they released their fourth album in June 2020. Like all of their albums, they made it available to download for free. In this episode, El-P and Killer Mike break down the song “JU$T,” which features guest vocals from their frequent collaborator, Zack de la Rocha from Rage Against the Machine, and guest vocals from Pharrell Williams. (“JU$T” by RUN THE JEWELS)
song_exploder_transcripts;run-the-jewels;Hrishikesh;Here’s El-P, who produced the track. (Music fades out)
song_exploder_transcripts;run-the-jewels;El-P;We did a majority of the writing of this record at Rick Rubin's Studio in Shangri-La. We always like to kind of get out of our own spaces and come together in some other space, so that we could really get a vibe going. And by the time me and Mike get together in-studio, I know that I have, you know, 10 or 12 things that I think might spark something creative in both me and Mike. And sometimes it's more ﬂeshed out but a lot of times, it's just, “Let me see if I can get a big goofy grin on my partner's face by playing this little weird thing.” It's really just about getting a spark, and then trying to harness it. (Harmonized vocals: *ooh*)
song_exploder_transcripts;run-the-jewels;El-P;This one started with thinking about basing a beat around vocals, which is something that, it’s not something that we had done yet together on a record. And so that's kind of what led us to experimenting with diﬀerent vocal synths and things, you know. And none of that felt particularly right. And then we ended up going to somebody who had sung some backup vocals for us on some TV performances. Nicholas Ryan Gant, who's this amazing soul singer from Brooklyn. So we kind of gave him a general spectrum of notes and this is the sort of the vibe that we're going for. And he ended up doing a bunch of diﬀerent demos for us of diﬀerent approaches and diﬀerent parts.
song_exploder_transcripts;run-the-jewels;El-P;I really thought that I was just doing it as a way to demo it up and then in my mind we would go to, you know, someone else, but he was just so good. And he sent us a bunch of shit.
song_exploder_transcripts;run-the-jewels;El-P;What ended up in the hook were these long notes. The trick was actually not overusing it, to be honest. The trick was trying to restrain myself from layering it too much and from using too much of it because I wanted it to be bouncy and sparse and punctuated. So I started to chop it up and move it around. (Nicholas’ layered vocals) (Nicholas’ layered vocals) (Nicholas’ layered vocals)
song_exploder_transcripts;run-the-jewels;El-P;(Chopped layered vocals) (Drum beat joins)
song_exploder_transcripts;run-the-jewels;El-P;I thought it would be really cool to create a piece of music that was based really just around almost a doo-woppy harmonic thing, and have the bounce of that.
song_exploder_transcripts;run-the-jewels;El-P;And the drums was what really, you know, drove the whole thing. (Chopped layered vocals end and drum beat remains) (Chopped layered vocals come back in)
