dataset;session;speaker;speech_turn
song_exploder_transcripts;arlo-parks;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs, and piece by piece, tell the story of how they were made. My name is Hrishikesh Hirway. Before this episode starts, I want to let you know that the song being discussed is about someone who is alive and well today, but was going through a period of depression and anxiety. Both the song and the interview allude to suicide, so please be careful before listening. If you’re thinking about suicide, or if you have a friend who is, or if you just need someone to talk to right now, you can get support by calling the National Suicide Prevention Lifeline at 1-800-273-TALK (8255) or by texting HOME to 741-741, which is the Crisis Text Line. If you’re outside of the U.S., check out the list of international hotlines at suicide.org. I’ll link to all of this on the Song Exploder website and in the episode show notes. (“Black Dog” by Arlo Parks)
song_exploder_transcripts;arlo-parks;Hrishikesh;Arlo Parks is a singer and songwriter from London. In January 2021, she released her debut album, Collapsed in Sunbeams. It hit number three on the UK charts, and she won this year’s BRIT award for Breakthrough Artist. Last year, NME called her song “Black Dog” the year’s “most devastating song.” In this episode, she breaks down “Black Dog,” which she made with producer Gianluca Buccellati.
song_exploder_transcripts;arlo-parks;Arlo;But I call him Luca.
song_exploder_transcripts;arlo-parks;Hrishikesh;Here’s Arlo Parks on Song Exploder.
song_exploder_transcripts;arlo-parks;Arlo;My name is Arlo Parks. (Music fades out)
song_exploder_transcripts;arlo-parks;Arlo;I started working on this song when I was still at school. I was 18 at the time, and I remember coming to this apartment that my manager actually had in central London, and working on the song with Luca. At the time, I had been listening to Carrie and Lowell by Sufjan Stevens. (“Should Have Known Better” by SUFJAN STEVENS)
song_exploder_transcripts;arlo-parks;Arlo;I had been writing all these little demos on guitar, and I wanted to create something that had this minimal guitar based feel. And I arrived at the apartment and Luca just started working on this very minimal guitar loop with those repeated chords. I was like, oh this is exactly what I wanted and I didn’t even have to tell you. The way that I like to work is starting from whether it's a synth or a piano or a guitar, it has to be sparse. There can't be too much going on around it, otherwise I lose the thread. And I immediately felt transported, it seemed like there was this real sense of melancholy, this real sense of nostalgia and because it was so sparse and so minimal, it felt like it provided the perfect backdrop for going into lyrics that were quite complicated and dark. I was going through a lot at the time. And just all kind of spilled out of me in that moment. (Guitar loop)
song_exploder_transcripts;arlo-parks;Arlo;(Guitar loop ends)
song_exploder_transcripts;arlo-parks;Arlo;The song surrounds my best friend. You know, we'd been friends since we were 14, we met in Spanish class. And she was really struggling with deep depression and anxiety. And seeing her struggling was really kind of, putting this sense of heaviness in my heart, and I didn't know how to help her. And I wanted this song to kind of speak about what she was living, but through my eyes. I have found this poem that I had written kind of about her situation and that formed the foundation, I guess, of the song.
song_exploder_transcripts;arlo-parks;Hrishikesh;“Would you be open to reading the poem?”
song_exploder_transcripts;arlo-parks;Arlo;Yeah, of course. “You promised, you'd be there in the morning. And I only half believed you, because last time you said that you almost weren't. I should have forgotten that by now, but I remember, there has always been a part of you, some little agony. Smooth, hot, and painful. Something that I could not touch. I hear the smile in your voice today though. A loose string of dark red silk, so soft, faint and rare. Where did it come from? For months, it seemed the curtains were always closed. It seemed like you were always angry at me and tired of yourself. It seemed like you wouldn't survive this. Ignoring the jewel of hope behind my right eye. Rolling over onto your side to crush a tear with the side of your wrist, like a tiny blue ﬂower. We were all so scared.” I think I had written that poem maybe a week before. For the past month, I think, you know, things had been really bad and I'd been writing about it a lot, but I guess I had this fear surrounding putting it in a song, it was something that felt very private and very painful. But at the time I was thinking about Alice, and it just felt like the right moment because I felt like I was, I was really in it, and I wanted to be honest and I wanted to speak about what I was living, and for some reason that day there was some kind of alchemy and I was like, “Okay, I'm gonna try and sing about this.” (Guitar chords)
