dataset;session;speaker;speech_turn
song_exploder_transcripts;aurora;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Runaway” by AURORA)
song_exploder_transcripts;aurora;Hrishikesh;AURORA is a singer and songwriter from Norway, who released her ﬁrst EP in 2015, when she was 19 years old. It featured the song, “Runaway” and after it came out, Aurora went on to win Norwegian Grammys for Best New Artist and Best Pop Artist. And she played the voice of the North Wind in Disney’s Frozen 2. This year, six years after that debut EP came out, Aurora’s song “Runaway” became a huge hit on TikTok. As of this recording, between Youtube and Spotify, “Runaway” has been streamed over half a billion times. In this episode, Aurora looks back at how the song ﬁrst began and how it evolved over time from the demo to the ﬁnal version. (“Runaway” by AURORA)
song_exploder_transcripts;aurora;Aurora;My name is Aurora. (Music fades out)
song_exploder_transcripts;aurora;Aurora;(Piano)
song_exploder_transcripts;aurora;Aurora;I was around 11 years old when I ﬁrst started writing “Runaway.” I was living very happily in my childhood home. It's on the West coast of Norway. And it's very nice here, it's very quiet. You really have the space and time to kind of dream yourself away so I just sat down at my piano and played and I wrote. When I started writing “Runaway,” I had a story quite clear in my mind. When I was younger, I struggled quite a lot with understanding people around me, especially the part where people kind of lie about their current state of mind, because we like to pretend that we're happier than we are and I feel like people fear to open up about whatever troubles us. So I just wanted to write a song about how we run away with our emotions rather than to face them and ask our family and friends for help. It becomes so much easier once we share what lies within us, because then we realize that it's perfectly normal. But we never get the chance to ever understand that because we never tell anyone about what's going on inside, and I guess I just thought about that quite a lot as a child, for some reason. (Piano ends)
song_exploder_transcripts;aurora;Aurora;I remember the day I wrote “Runaway,” I was listening to the ocean. The very ﬁrst line of the song. (First verse vocals: “I was listenin’ to the ocean”)
song_exploder_transcripts;aurora;Aurora;And I am looking at it right now [laughter]. The ocean to me is kind of like human beings. It's so mysterious and it's so deep and dangerous and beautiful, which is how I feel about people. (First verse vocals: “I was listenin’ to the ocean / I saw a face in the sand / But when I picked it up / Then it vanished away from my hands”) When I started writing “Runaway,” I was going through grief for the ﬁrst time in my life. And this experience really inspired me. And in the ﬁrst verse, you can hear that I'm missing someone, because when you miss someone so badly in your heart, you kind of see their face everywhere. And I just wanted to write about this feeling as well as I could. And I think that's what I mean with, “I saw a face in the sand and when I picked it up, then it vanished away from my hand.” (Pre-chorus vocals: “And I was runnin’ far away / Would I run oﬀ the world someday”)
song_exploder_transcripts;aurora;Aurora;That was something diﬀerent the ﬁrst time I wrote “Runaway.” I think even it didn't have any words if I remember correctly. I just had like [sings melody] because I'm very inspired by Norwegian folk music. There's one type that's really sad, and it’s just really beautiful. It sounds like a lullaby, but a really sad one. It's kind of like [sings melody]. That's a good night lullaby that you would usually sing to your child [laughter] but it's kind of sad, you know, it's kind of, it's beautiful. I think that’s my biggest source of inspiration, you can hear it in the melodic universe. (First verse vocals: “I had a dream I was seven / Climbing my way in a tree / I saw a piece of heaven / Waiting impatient for me / Dah”)
song_exploder_transcripts;aurora;Aurora;The ﬁrst time I ever showed anyone, “Runaway,” was about ﬁve years later, December 2012. The school asked me to sing for a little ceremony in the end of the year. Someone ﬁlmed it and put it online and then my management saw that video somehow. And they messaged me, I think, if I ever would consider meeting them and becoming an artist. And ﬁrst I said, no, but then my mother actually said to me that I should give it a chance because when I sing for her, she feels both sadness and happiness at the same time, and it's good to have things in life that wakes up these emotions the world is trying to kind of shut down, I guess. So I think I just played it to a producer called Magnus Skylstad, and we made our ﬁrst demo in 2013. (2013 Demo ﬁrst verse: “I was listenin’ to the ocean / I saw a face in the sand / But when I picked it up / Then it vanished away from my hand / Dah”)
song_exploder_transcripts;aurora;Aurora;Oh! [Laughter] That's so weird to hear. I haven't heard this version since the day I recorded it. I can hear that my accent in English, well, it's still very there when I speak still today, but I remember people telling me to kind of work on it [laughter]. And I can hear that my timing is quite bad. That's very funny. (2013 Demo instrumental) (2013 Demo instrumental)
