dataset;session;speaker;speech_turn
song_exploder_transcripts;wonderly;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“The Daily (Theme)” by WONDERLY)
song_exploder_transcripts;wonderly;Thao;The Daily is a hit podcast from the New York Times, hosted by Michael Barbaro. Every weekday, over 1.7 million people download the show. It launched in February 2017, and in honor of its two-year anniversary, we’re publishing a bonus episode about the show’s theme song. It was originally published on the New York Times website in 2018. Here is Song Exploder producer Hrishikesh Hirway.
song_exploder_transcripts;wonderly;Hrishikesh;The theme song for a show, whether it’s on TV or on the radio or on a podcast, faces a lot of pressure. Often before anything else, it’s the theme that tells you something about the personality of a show and its point of view. And while the content of every episode changes, a theme has to stay the same while still setting the stage appropriately for what’s to come. And ultimately, it becomes an indelible part of the show itself. So when the team for the New York Times was getting The Daily podcast started, they were thinking about all these challenges. Here’s Michael Barbaro.
song_exploder_transcripts;wonderly;Michael;There are some really unique needs on a show like this. You have to listen to it every morning. It needs to announce the world to you. And it has to make you feel like you’re excited to get through the next 20 minutes. And it needs energy but not too much energy, because a lot of people are consuming this in the morning and you don’t want to like throw too much at them. But you don’t want to put them back to sleep, because they just woke up. So it’s this really complicated and tricky audio math that I do believe they got quite right.
song_exploder_transcripts;wonderly;Hrishikesh;When he says, “They,” Michael is referring to Jim Brunberg and Ben Landsverk of the composing duo, Wonderly. Coming up, Ben and Jim break down how The Daily’s theme music was created. They got the audio math right, but it wasn’t a straightforward journey. Let’s start from the beginning. (“The Daily (Theme)” by WONDERLY)
song_exploder_transcripts;wonderly;Michael;I’m Michael Barbaro, and I’m the managing editor and host of The Daily from the New York Times. (“The Daily (Theme)” by WONDERLY fades)
song_exploder_transcripts;wonderly;Michael;The Daily is a ﬁve day a week show, it’s about 20 minutes long, and we try to make sense of the world in one or two segments that approach news in a narrative or explanatory way. We needed music that was going to hold up and compliment the editorial content of the show. Lisa Tobin, who is the executive producer for all of New York Times audio, has had a long standing relationship with a group of musicians, Jim Brunberg and Ben Landsverk of Wonderly.
song_exploder_transcripts;wonderly;Jim;This is Jim Brunberg.
song_exploder_transcripts;wonderly;Ben;I’m Ben Landsverk and we are Wonderly.
song_exploder_transcripts;wonderly;Ben;We were quite surprised and honored when we got the call. When they called us, it was right after the new year, and we were about to kind of take a break. Jim was about to go out of town, I was about to start working on a diﬀerent project. So we essentially just said, here’s our SoundCloud page. We said, “Well, look at our library, and see if any of the types of music that we already have are what you’re looking for.”
