dataset;session;speaker;speech_turn
song_exploder_transcripts;big-thief;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Cattails” by BIG THIEF)
song_exploder_transcripts;big-thief;Thao;(“Cattails” by BIG THIEF) (Music fades out)
song_exploder_transcripts;big-thief;Adrianne;Big Thief is a four piece folk-rock band from Brooklyn, New York. In May 2019, they released their third album, U.F.O.F., to critical acclaim. Pitchfork named it “Best New Music.” In this episode, singer Adrianne Lenker and drummer James Krivchenia break down a song from that album called “Cattails.”
song_exploder_transcripts;big-thief;Adrianne;I'm Adrianne, and I play guitar and sing and write in Big Thief. When I ﬁrst started writing “Cattails,” we were just outside of Seattle at this studio called Bear Creek, and we had a bunch of songs that we were planning on recording, but this space was really inspiring and I found myself kind of writing in all the little pockets of time. And I had just gotten this 12-string guitar that I had bought when I was on a road trip by myself in New Mexico, at this little pawn shop, and I brought it with me to the session. And one night after we'd ﬁnished recording, everyone was kind of going to bed, I stayed up late and just started playing this chord progression. (Acoustic guitar)
song_exploder_transcripts;big-thief;Adrianne;That picking pattern, it’s one of my favorites. And it’s particularly fun to play that on the 12-string. I just played it over and over again, and lyrics just started popping out. I was missing Minnesota, where I grew up, and I was thinking about my great-grandma. She died when I was about 20 and her name’s Violet. (Vocals along with acoustic guitar: “Violet’s eyes, Violet plays / Going back home to the Great Lakes / Where the cattail sways / With the lonesome loon / Riding that train in late June”)
song_exploder_transcripts;big-thief;Adrianne;“Violet’s eyes, Violet plays,” I'm just picturing her eyes, and picturing her playing like piano, playing guitar, playing bass. She picked up the electric bass in the last few years of her life in her 80s, so I was just thinking of childhood and the way that she kind of took care of us. We'd like paint with her and she had a dune buggy and we'd like ride horses. And when I think about her, and this place in Northern Minnesota, you know, it makes my heart feel like open and heavy and sad and happy all at the same time. (Vocals along with acoustic guitar: “And you don’t need to know why when you cry / You don’t need to know why / You don’t need to know why when you cry”)
song_exploder_transcripts;big-thief;Adrianne;I stayed up pretty late because I was excited. I had this buzz from this song that was coming, so I just woke up early in the morning and ﬁnished all the words and just played it over and over again, maybe like 30 times or something.
song_exploder_transcripts;big-thief;James;I went to bed and there was no song, and I woke up, and there was a song. I’m James, and I play the drums in Big Thief.
song_exploder_transcripts;big-thief;Adrianne;We had planned on recording another song that was on our list and I was just like, “Maybe we should just play this one for a little bit.” And I just like walked into the live room and James was with me.
song_exploder_transcripts;big-thief;James;I was like eating breakfast and Adrianne was showing me this song and probably played it for me like twice. She was like excited and like smiling and kind of like, you know, standing up and bouncing.
song_exploder_transcripts;big-thief;James;It just implied, make the drums bounce like that. (Acoustic guitar) (Drums join) (Acoustic guitar fades)
song_exploder_transcripts;big-thief;James;We didn’t talk at all about the groove.
song_exploder_transcripts;big-thief;Adrianne;That’s true. We didn’t talk, like once. There was no talk about form. But James and I had been going on a lot of runs together during this session. And at one point I was like, “Oh, this is probably such good practice for interlocking our rhythms,” because we're actually like breathing and running in time like at the same pace. So I feel like it's not just about the speciﬁc groove, like the pattern you're playing, as much as it was just like we're like walking in the same step. (Acoustic guitar along with drums)
song_exploder_transcripts;big-thief;James;And so we messed around like next to each other for a few minutes.
song_exploder_transcripts;big-thief;Adrianne;There's usually this magic that happens right in the beginning stages of forming a song, the ﬁrst few times you actually play it all the way through, and it feels good. And I was right on the cusp. I had just sort of played it enough to know all the words. James and I were just like hanging on, like I felt I could fall oﬀ the horse at any moment, like forget one of the words because they were so fresh, or mess up the groove or something. But we never did, we just like held on. (Music ends)
song_exploder_transcripts;big-thief;Adrianne;When we ﬁnished, it was noticeably just like, “Whoa, what just happened,” and then, before we knew it, Dom Monks, the engineer, he had sneakily been like setting up mics.
song_exploder_transcripts;big-thief;James;He was like rolling before we were even thinking about it.
song_exploder_transcripts;big-thief;Adrianne;Dom had captured it. It was just like, “That felt amazing. Oh, wait, you got that? You recorded that?” (Acoustic guitar)
song_exploder_transcripts;big-thief;Adrianne;“Oh, cool,” so it was just like a one taker. (Acoustic guitar along with drums)
song_exploder_transcripts;big-thief;Adrianne;What I keep thinking of it as is like this gust of wind blew through the studio that was just like this magic wind. And the band, when they ﬁrst heard the take,
song_exploder_transcripts;big-thief;James;We knew right away. It was pretty unanimous, like, “Oh, this feels amazing.”
song_exploder_transcripts;big-thief;Adrianne;It was kind of undeniable like, “Oh, this is part of the record.” (Vocals along with acoustic guitar and drums: “And the clusters fell like an empty bell / Meteor shower at the motel”)
song_exploder_transcripts;big-thief;Adrianne;So James and I recorded vocals and guitar and drums. And then Max and Buck added their parts after.
song_exploder_transcripts;big-thief;James;For this song Max tried some like normal-ish bass, you know like boom, boom, kind of stuﬀ. But it was just kind of like, “Oh, this doesn't make it feel any better, it like weighs it down. It doesn't bring like the lightness that we all, we’re like already in love with.”
song_exploder_transcripts;big-thief;Adrianne;So he started layering these drones with his bass.
song_exploder_transcripts;big-thief;James;Max has this pedal called the Plus Pedal, which is sort of just a sustained pedal for guitars or basses or any audio you put through it. (Bass drone) (Bass drone)
song_exploder_transcripts;big-thief;James;(Bass drone)
song_exploder_transcripts;big-thief;James;(Bass drone fades) (Pianos)
song_exploder_transcripts;big-thief;James;(Pianos)
