dataset;session;speaker;speech_turn
song_exploder_transcripts;sparks;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“This Town Ain’t Big Enough for Both of Us” by SPARKS)
song_exploder_transcripts;sparks;Russell;We're big, uh, cinema buﬀs, so I think we've always had this kind of rationale that in making pop songs, you're able to make the most elaborate movie in your own mind in a three-minute song.
song_exploder_transcripts;sparks;Hrishikesh;That’s Russell Mael. He and his brother Ron Mael are the legendary duo, Sparks, from Los Angeles. Over the last 50 years, they’ve released 25 albums. They’ve collaborated with Giorgio Moroder and Franz Ferdinand, and inﬂuenced bands like Joy Division, Faith No More, Björk, and countless others. There’s a new documentary about them called The Sparks Brothers made by one of my favorite directors, Edgar Wright. His ﬁlms include Shaun of the Dead, Hot Fuzz, Baby Driver, and Scott Pilgrim vs the World. The new documentary premiered at Sundance this year, and comes out in theaters this Friday, June 18th. Here’s what Edgar Wright says in the intro of the ﬁlm.
song_exploder_transcripts;sparks;Edgar;Sparks. How did this glam rock anomaly become a band with a career spanning 5 decades? How can Ron and Russell Mael be successful, underrated, hugely inﬂuential and overlooked all at the same time? And where does one even start with 25 studio albums and nearly 500 songs?
song_exploder_transcripts;sparks;Hrishikesh;We’re gonna start with just one song. For this episode, Ron and Russell break down one of their hits, “This Town Ain’t Big Enough for Both of Us,” which came out in 1974 and changed their career forever. The original tracks from their recording are long gone. But they re-recorded the song a while ago, and for the purposes of this discussion, you’ll hear those isolated tracks. And in the end, you’ll hear the original 1974 recording. (“This Town Ain’t Big Enough for Both of Us” by SPARKS)
song_exploder_transcripts;sparks;Russell;I'm Russell Mael from Sparks.
song_exploder_transcripts;sparks;Ron;Yeah, this is Ron Mael from Sparks. We moved to England in 1973. But we had had two albums out in the States previously but they sold in a very slow fashion. We had played one show in the UK with the band that we had at the time, and Island Records really liked the song writing and they really liked the singing and thought if we assembled British musicians around us, that there was something there that they could push. So Russell and I just moved to England and there were no songs, so over a period of about six months I was writing and one of the songs that came up was “This Town Ain't Big Enough for the Both of Us.” Ron had played me this song just on this upright piano. And I thought it was really striking. It sounded very classical, like a classical melody. (Music fades out)
song_exploder_transcripts;sparks;Ron;(Piano)
song_exploder_transcripts;sparks;Russell;(Piano)
song_exploder_transcripts;sparks;Ron;There weren't any lyrics for it at the time. We almost always have the music ﬁrst and then add lyrics later, just because we don't want the music structure to be restricted by kind of a very formal, blocking out of the lyrics. We were trying to ﬁgure out something, because the song was kind of cinematic in a way. So, the Western cliché, “This Town Ain't Big Enough for the Both of Us,” I don't know, it just kind of came to mind.
