dataset;session;speaker;speech_turn
song_exploder_transcripts;cheap-trick;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Surrender” by CHEAP TRICK)
song_exploder_transcripts;cheap-trick;Hrishikesh;This episode doesn’t contain any explicit language but I still wanted to ﬂag it in case there are any parents out there who listen to the podcast with their kids, and if your kids are not old enough to know what an STD is yet then you might get some questions you’re not ready for. So just a heads up. (“Surrender” by CHEAP TRICK)
song_exploder_transcripts;cheap-trick;Hrishikesh;The song “Surrender” by Cheap Trick was released in 1978. Rolling Stone called it the ultimate 70s teen anthem, and included it in their list of the greatest songs of all time. It’s been in a bunch of movies and tv shows - including South Park, Scrubs, Fast Times at Ridgemont High, New Girl, and Guardians of the Galaxy. Cheap Trick formed in Rockford, Illinois in 1973. They’ve released 20 studio albums, they’ve sold over 20 million records, and in 2016 they were inducted into the Rock and Roll Hall of Fame. Rick Nielsen is the guitarist in the band. He wrote “Surrender,” and for this episode, I talked to him about how the song was made. (“Surrender” by CHEAP TRICK)
song_exploder_transcripts;cheap-trick;Rick;My name is Rick Nielsen from Cheap Trick. (Music fades out)
song_exploder_transcripts;cheap-trick;Rick;Everybody I knew thought their parents were weird or, even if they're not weird to certain people, they're weird to the kid. “Oh, my parents are weird, oh they wore that, or they did that or whatever.” My father is an opera singer, my mother is an opera singer. My parents bought a music store in Rockford. My dad was a choir director at Trinity Lutheran church, but he also sang at Temple. I think they enjoyed the religious stuﬀ for the music. So it was probably 1973 and I was in my apartment in Rockford in the kitchen. I had the idea for the chorus, “Mommy's all right. My daddy's all right yeah, they just seem a little weird.” (Guitar)
song_exploder_transcripts;cheap-trick;Rick;(Guitar)
song_exploder_transcripts;cheap-trick;Rick;I got a stream of consciousness and it was like, “And what are your parents doing? They tell you this, they tell you that.” It was like getting me back to being a 14 year old. (Vocals along with guitar: “Mother told me, yes, she told me / I'd meet girls like you”) When I ﬁrst wrote “Surrender,” Robin was the singer. I just have a crappy voice so I was always looking for somebody that could interpret what I was writing and could be the way I am in, in my writing. You know, he's kind of like a good singing, or a great singing, Johnny Rotten. He's got that snarl to him. (Vocals: “She also told me, ‘Stay away / You'll never know what you'll catch’”) My parents didn't talk to me about the birds and the bees. I'm an only child so I know my parents had sex, once. But the good parents would let their sons and daughters know about this thing called syphilis or this thing called gonorrhea, if you're going to be doing something, you better be careful. (Vocals along with guitar and bass: “She also told me, ‘Stay away / You'll never know what you'll catch’”) (Guitar fades out)
song_exploder_transcripts;cheap-trick;Rick;Cheap Trick started in 1973. “Surrender” was on Heaven Tonight. That was our third album. But we actually, we recorded on our ﬁrst record but Jack Douglas, he was the producer of our ﬁrst record, he didn't think it was the right time to put it out. You know, we played and rehearsed and wrote songs constantly during that period of time. You know, we weren't selling a lot of records but we thought we were making good records, and we were just happy to be in the studio. (Drum ﬁll) (Guitar along with bass and drums) (Bass along with drums)
song_exploder_transcripts;cheap-trick;Rick;This is Tom Petersson on bass.
song_exploder_transcripts;cheap-trick;Rick;Well that's Bun E. Carlos, on the drums. (Drums) (Drums)
song_exploder_transcripts;cheap-trick;Rick;I think it was the ﬁrst time that I wanted to modulate. So the song starts at B ﬂat, (Guitar along with bass and drums)
song_exploder_transcripts;cheap-trick;Rick;and then the ﬁrst two verses are in B, (Vocals along with guitar, bass and drums: “Father says, “Your mother’s right / She’s really up on things”)
song_exploder_transcripts;cheap-trick;Rick;and the third verse is in C. (Vocals along with guitar, bass and drums: “Whatever happened to all this season’s / Losers of the year?”) It was to make the song more exciting as a, you know, you can't do that with every song. But this was the right song for doing something like that and we did it. (Verse vocals: “Then I woke up, Mom and Dad / Are rolling on the couch / Rolling numbers, rock and rollin’ / Got my KISS records out”) My parents are losers, then here I wake up and there they are. Got my Kiss records out. I mean, oh my God! That was like the ultimate slap in the face. Young hell-raisers in my brain, you know, loved them. And it was kind of the most disgusting thing to be associated with your parents. And they’re listening to KISS, oh gee. You know, it was like, I can’t even ﬁgure out who to disbelieve and who to hate, it’s like, Oy, yoy, yoy! (Vocals along with guitar: “Mommy’s alright / Daddy’s alright / They just seem a little weird / Surrender / Surrender / But don’t give yourself away / Aye, aye”)
song_exploder_transcripts;cheap-trick;Rick;I would have Robin sing close to the top of his range so that way he could be more aggressive. (Robin’s vocals: “Aye / Away / Away”)
song_exploder_transcripts;cheap-trick;Rick;He was a real singer so he could sing the bad boy parts and he could sing the good boy parts. And Robin did his own backing vocals but I'm in there somewhere too. Because if it was just a bunch of Robin's, it would sound too nice. And if it's just a bunch of me, sound too crummy. And just a bunch of Tom's, it’d sound too low and weird. But together, it makes it more aggressive, it makes it more believable. It sounds like Cheap Trick. (Group backing vocals) (Keyboard joins then fades after vocals fade)
