dataset;session;speaker;speech_turn
song_exploder_transcripts;100-gecs;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Money Machine” by 100 GECS)
song_exploder_transcripts;100-gecs;Hrishikesh;This episode contains explicit language. 100 gecs is a duo, made up of Laura Les and Dylan Brady. In 2016, they put out an EP called 100 Gecs, and three years later, they released their ﬁrst album called 1000 Gecs. It was named the Best Album of 2019 in Vice and in The New York Times. It was also on year-end lists in Rolling Stone, Pitchfork, Stereogum and more. Dylan lives in Los Angeles, and Laura in Chicago - they work remotely, and send ﬁles back and forth to each other. In this episode, the two of them break down how they made the song “Money Machine.” (“Money Machine” by 100 GECS)
song_exploder_transcripts;100-gecs;Dylan;My name is Dylan Brady.
song_exploder_transcripts;100-gecs;Laura;My name is Laura Les of the band 100 gecs. (Music fades out)
song_exploder_transcripts;100-gecs;Dylan;We both produce, both write the songs.
song_exploder_transcripts;100-gecs;Laura;Dylan lives out in LA, and I was just recording out of my bedroom in Chicago. So we email the ﬁles back and forth.
song_exploder_transcripts;100-gecs;Dylan;We know each other really well and we're super close.
song_exploder_transcripts;100-gecs;Laura;Me and Dylan ﬁrst met at a party in St. Louis when we were in high school.
song_exploder_transcripts;100-gecs;Dylan;A few years after that we were like, “Let's work on a project.”
song_exploder_transcripts;100-gecs;Laura;We would send songs or ideas and kind of just like talk music, occasionally.
song_exploder_transcripts;100-gecs;Dylan;Probably took ﬁve or six years to do the ﬁrst EP from meeting each other.
song_exploder_transcripts;100-gecs;Laura;We really liked what we had done for the EP. But we had both been doing our own things for a few years. We had been planning on coming back to 100 Gecs for a while. And then we started doing these Minecraft festivals. Minecraft festivals, it's like a big server that multiple people, like thousands of people, can go into this designed online world as their avatar. It's like a real festival layout. There's stages, there's booths, there's huge sculptures that you could walk around and interact with but it's all online. There's, you know, stages set up so that artists can perform virtually. One of the people who runs that, he had asked me to do a set, and I thought that was the perfect opportunity to, you know, give Dylan and myself an excuse to start up the project again. That's when we made “Money Machine.”
song_exploder_transcripts;100-gecs;Laura;Dylan started the project. (Dobro slide) (Dobro slide) (Dobro slide) (Screaming bass) (Synth plucks)
song_exploder_transcripts;100-gecs;Dylan;That sound I just found it in Logic. It's called Dobro slide, if you press it at the highest velocity, you get that crazy twang thing that's in some of the notes.
song_exploder_transcripts;100-gecs;Dylan;I thought the contrast of that to like screaming bass would be a sick kind of thing.
song_exploder_transcripts;100-gecs;Dylan;We both like really heavy shit and we both like cute, fun melodies so try and bring them together.
song_exploder_transcripts;100-gecs;Dylan;Just like fun, ear candy, catchy moments in like the context of more heavy shit. (Synth plucks along with screaming bass and beat) So I just made this beat, saved it as “Money Machine.” I usually look around at like objects, try and ﬁnd some sort of hint at a ﬁlename. Must've been some money on the ground [laughter]. I thought the instrumental was a little bit not mocking, it was sarcastic. It was like wearing a $6,000 fur coat into the most disgusting bar that you can walk into [laughter]. The way the bass feels when you're listening to it, it's like honking at you and laughing at you.
song_exploder_transcripts;100-gecs;Laura;(Beat ends)
