dataset;session;speaker;speech_turn
song_exploder_transcripts;mobb-deep;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Shook Ones, Pt. II” by MOBB DEEP)
song_exploder_transcripts;mobb-deep;Hrishikesh;This episode contains explicit language. The rappers Prodigy and Havoc met when they were still in high school in New York. Havoc grew up in Queens in Queensbridge, the biggest public housing projects in the country, and as a teenager, Prodigy lived there for a while, too. The two of them formed Mobb Deep in 1991. In 1995, they put out their second album, The Infamous. It was a success when it came out, but in the 25 years since it was released, the inﬂuence of the album has only grown. Complex named it one of the 10 best rap albums of the 90s, and Pitchfork gave the album a rare perfect score, 10 out of 10. The Washington Post called it a “masterpiece” of hardcore rap, and in Slate, it was called one of the best albums of the ‘90s, and one of the very best hip-hop albums ever made. The biggest song from the album was “Shook Ones, Pt. II.” Havoc made the now-legendary beat that he and Prodigy rap over. To celebrate the 25th anniversary, Havoc told me the story of how the whole song came together. Prodigy passed away in 2017 from complications due to sickle-cell anemia, a debilitating disease that he’d battled his entire life. But the legacy of Mobb Deep lives on. A new, expanded, 25th anniversary edition of The Infamous just came out in April. (“Shook Ones, Pt. II” by MOBB DEEP)
song_exploder_transcripts;mobb-deep;Hrishikesh;The story of “Shook Ones” starts back in 1994. Here’s Havoc.
song_exploder_transcripts;mobb-deep;Havoc;My name is Havoc, one half of the infamous Mobb Deep. (Music fades out)
song_exploder_transcripts;mobb-deep;Havoc;We had just secured the deal with Loud Records. And it was like our second shot at life, you know, as far as music career goes, because we had a deal with Island 4th & Broadway, that didn't go so well, and we got dropped from the label, so we had to go back to the drawing board. But after the ﬁrst record deal that didn't go so well, it inspired us, you know, it made us more hungry, you know what I mean? Because we knew we had something. Prodigy's grandmother, you know, she was really in tune with us and seeing what we was trying to do, and she brought Prodigy some music recording equipment. It was the EPS Plus ASR 10
song_exploder_transcripts;mobb-deep;Hrishikesh;That’s a keyboard sampler. You can record in a sample and then play it back like any other keyboard sound.
song_exploder_transcripts;mobb-deep;Havoc;and like some kind of like TASCAM track board with your standard microphone, and that was really it. You know, once she bought that, you know, he called me, let me know he had it out, I rushed over to Long Island immediately, went over to his crib. And I already knew that I wanted to make beats anyway, because I used to use a double cassette tape and record, repeat, record, repeat, record, rewind, record, rewind, and that was the only way that I could produce because I didn't have no money for equipment around 12, 13 years old. So ﬁnally when I got my hands on this equipment, I say “Yo, show me how you use this, how you use that, how you use this,” and he started using it. And Prodigy, being like a unselﬁsh person, he saw how passionate I was and I basically kind of like took over [laughter], you know what I’m saying like, man, it was like out of this world. And “Shook Ones Pt. I” was like one of the ﬁrst beats I kind of made on that equipment. (“Shook Ones, Pt. I” by MOBB DEEP)
song_exploder_transcripts;mobb-deep;Havoc;The way that the chorus came about with that song is, Prodigy came up with it, inspired by our homeboy that went to high school with us, his name was Illa Ghee. He said something to P, and P came up with the hook. There's a lot of dudes out there that be fronting a lot, acting like they something that they not, and you know, we all know the reasons why people do that when they portray somebody they're not, because they just not proud of who they are. And Queensbridge, man, it's one of those places that, you know, just like a lot of city housing projects, it's really wild. You know, drug dealing going on, young kids shooting at each other, police brutality, just one of those places that you got to be strong. It could be scary but at the same time, you know, there’s a lot of love out there too, you know. I mean it’s a community but if you a shook one [laughter], you know what I’m saying, it will be a scary place for you to live but growing up in it, you don't look at it as a scary place, you just look at it as somewhere where you live and you just learn how to navigate. (“Shook Ones Pt. I” instrumental) So we made that track, you know, we felt good about it. Because we was feeling the lyrics, the chorus content for the hook, but we just felt like something was missing. Like we liked the song, we liked it. So we didn't want to scrap the song entirely, but we knew we could do better. At that point, we took all the studio equipment from Long Island, and we brought it to the projects in my apartment where I lived with my mother, brother, and sister, and, you know, I didn't know what I was going to do, but I knew I had to do something. One of the A&Rs, Matty C, he told me about, you know, these record conventions that they be having where they sell old vinyl and, you know, for sampling. And a lot of producers go there and I went to one of those, and, you know, found the drums for the “Shook Ones Pt. II.” It was on this vinyl called Vinyl Dog. To capture the drums at this point, I acquired an MPC 60, which had only about six to eight seconds of sampling time. So once I got the drum loop now, I got something to guide me in a direction of where I really want to go, and now I'm just looking for a sample to go over it that could ﬁt those drums.
song_exploder_transcripts;mobb-deep;Havoc;(Drums)
song_exploder_transcripts;mobb-deep;Havoc;(Drums)
song_exploder_transcripts;mobb-deep;Havoc;(Drums end)
