dataset;session;speaker;speech_turn
song_exploder_transcripts;imagine-dragons;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Follow You” by Imagine Dragons)
song_exploder_transcripts;imagine-dragons;Hrishikesh;Imagine Dragons are a Grammy-award winning band from Las Vegas. They’ve sold over 20 million albums so far, and they were the most streamed band on Spotify in 2018. In March of this year, they released the song “Follow You.” Singer Dan Reynolds started the song at home, and then later, the band took it to the studio Shangri-La, to record parts of it with legendary producer Rick Rubin. In this episode, Dan breaks down the song, which tells a deeply personal story of his relationship to his wife.
song_exploder_transcripts;imagine-dragons;Dan;My name is Dan Reynolds, and I sing for the band Imagine Dragons. (Music fades out)
song_exploder_transcripts;imagine-dragons;Dan;There were a lot of things that kinda led to this and we'd gone through therapy and diﬀerent things. But we decided, you know what, after seven years of being married, this isn't gonna work. We're gonna get a divorce. And that was a really diﬃcult decision, super heartbreaking. We had actually been together for over a decade at that point. We had three kids, and Imagine Dragons blew up after we got married. And so I traveled a lot, which was really diﬃcult. And also went through a big faith crisis, I was raised in Mormonism and it never really settled in correctly for me. So I was just dealing with diﬀerent things that made a marriage diﬃcult, made me a diﬃcult partner to be with. So we got separated, and after seven months of zero communication, I came home to sit in an attorney's oﬃce and sign the ﬁnal papers. And when I was driving to sign the papers, Aja sent me a very lengthy text message. Expressing seven months of pain that she had been through and really expressing seven years of marriage. But doing it in the most heartfelt way. (Guitar)
song_exploder_transcripts;imagine-dragons;Dan;It was, I love you. I accept you, and we're gonna be great co-parents together for these children separated, kind of like this text of freedom and love and forgiveness. And I read it and I was like reminded about how important this woman was to me. It made me rethink a lot of things about myself, about our relationship, about our family. So, we sat down at the table to sign these papers and we kinda looked at each other across the table. And I think we were both crying. And I said something like, “Hey, why are we doing this? Let's get outta here.” So we got up from the table and we went to eat, and just felt the deepest sense of love and loyalty and it felt like the ﬁrst time we had met, which was magical for both of us. Then we decided, well, why don't we just start dating again, even though we were still married. So we just started dating. Since the age of 12, I've written almost a song a day. And I was like, this is incredible. Me and Aja are dating again. We may get back together. This is the second chance! I have to write about this today. And I went through a bunch of tracks that Joel Little had sent me, who's an incredible producer that we've worked with in the past. And I listened to a couple of them and one of them was a basic beat with a synth. (Minimalist beat along with synth) (Dan vocally brainstorms melodies) It's like a really beautiful haunting organ, and it felt nostalgic to me immediately. It made me feel like some sense of worship, and when I hear that, something about the worship made me think of love. And the melody always comes ﬁrst. And then I just start to sing about whatever's in my head. Loyalty was really in my mind, like loyalty to this woman, who's been with me through everything. And I'm not an easy person to be with for a long time. I am very bipolar. I've dealt with serious depression since I was young, anxiety, like high highs, low lows. And she's been with me through everything. (Guitar ends)
song_exploder_transcripts;imagine-dragons;Dan;(Synth)
song_exploder_transcripts;imagine-dragons;Dan;So I think something about that was in my mind. (Full demo chorus: “I will follow you way down wherever you may go / I’ll follow you way down to your deepest low / I’ll always be around wherever life takes you”)
song_exploder_transcripts;imagine-dragons;Dan;I'll get the chorus right ﬁrst, then I know. Okay. Now I know what I'm writing about. I'm writing about following someone through the ups and downs of life. I'll follow you way down, wherever you may go. I'll follow you way down to your deepest low. Well, one of my ﬁrst thoughts was don't muddy it up, don’t cloudy this up. One of the things I really tried to do with this record was be less metaphorical. One of the reasons I was overly metaphorical in a lot of my early works, not even because I was trying to sound poetic, it's really because I was afraid of my family knowing what I was singing about, from a very young age. So if my mom happened to hear the song, she’s not gonna be like, “Son, are you having a problem with your faith?” Like, I didn’t wanna have that conversation. So I would always be over the top metaphorical. And I recall immediately with “Follow You,” lyrically thinking, don't overthink this. (First verse and pre-chorus vocals: “You know I got your number, number all night / I’m always on your team, I got your back, alright / Taking those, taking those losses if he treats you right / I wanna put you into the spotlight / If the world would only know what you’ve been holding back / Heart attacks every night / Oh, you know it’s not right”) When I ﬁnished the song, I get on my Gmail and I send the demo to the band, then Wayne will add guitar at his house and send it back. Wayne's guitar is a very personal thing for him. Wayne is super involved, I'm very excitable. Wayne is very grounded, he's very even keeled. And, in the early stages of the band, Wayne and I were primary songwriters. And then we would get in the studio with Ben and Platzman. Then they would bring their opinions to the table on these demos and really be involved then. Then the next iteration was when we went to the studio. Rick Rubin is the producer, and we did it at his studio in Malibu, which is known as Shangri-La. I loved working with him. We had all the stems sent over from Joel. And then we started with just the vocal, the synth and built from there. Our goal with this track (Synth ends)
song_exploder_transcripts;imagine-dragons;Dan;(Guitar stem) (Guitar ends)
song_exploder_transcripts;imagine-dragons;Dan;was to really marry the modern with the throwback. Like 50% organic and 50% programmed. And so there's real drums. (Hi-hat stem) (Electronic drums)
