dataset;session;speaker;speech_turn
song_exploder_transcripts;jewel;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“You Were Meant For Me” by JEWEL)
song_exploder_transcripts;jewel;Hrishikesh;This episode contains explicit language. When I was in high school, my girlfriend made a mixtape for me. The ﬁrst song on it was “You Were Meant for Me,” from the debut album of a singer named Jewel. I probably listened to that mixtape a hundred times over the next few months, so I knew the song really well. A little while later, I started hearing it on the radio, but it sounded diﬀerent. And then later, I heard yet another version, and that was diﬀerent, too. For years, I had no idea why this song kept changing. But then I got the chance to do this episode, and ask Jewel directly. Jewel is a singer-songwriter from Homer, Alaska, who’s received four Grammy nominations and sold over 30 million albums. The 25th anniversary of that debut album of hers, Pieces of You, came out last month in November 2020. It turns out it wasn’t a runaway success, not at ﬁrst. So in this episode, Jewel traces the history of making “You Were Meant For Me,” starting with the demo, and moving through all the diﬀerent versions that were made along the way to becoming a massive hit song. (“You Were Meant For Me” by JEWEL)
song_exploder_transcripts;jewel;Jewel;I’m Jewel. (Music fades out)
song_exploder_transcripts;jewel;Jewel;The time of my life just before I wrote “You Were Meant For Me” was spent in San Diego. I think I was 18 and I had just been discovered. I was a homeless kid living in a car, so I started gigging in a local coﬀee shop to try and just work my way out of it, if I could develop a following and get some door money. It was a tiny little coﬀee shop in a strip mall, nothing very vibey. But all the local musicians would come and play and sit in and do open mics and it just created a lot of draw. A local radio station put a bootleg of mine on air, and that caused record labels to start coming down, which was surprising to me. And I think I wrote this song after I signed my record deal with my friend Steve Poltz. I recall Steve, asking me if I wanted to go to Mexico to write songs. He was like, “It's two hours door to door,” but 13 hours later, we ended up lost on some washboard dirt road in the middle of nowhere in Baja. And we found an abandoned town, and we broke into a little lodging motel. And we woke up the next morning in paradise. So we're sitting on the beach, it was on the Bahia de Gonzaga, this beautiful bay on the Sea of Cortez, pink sand and blue water and so we stayed there and we wrote three songs. And one was “You Were Meant For Me.” (Acoustic guitar demo)
song_exploder_transcripts;jewel;Jewel;Steve was a better guitar player than I so he usually would play the guitar, and I would start making up lyrics. I liked writing very visually, I grew up reading a lot, I didn't listen to a lot of music but I read a lot. My favorite writers were very visual writers, we can almost smell and taste the writing. And we had just eaten breakfast so that's why breakfast makes a [laughter] center role in the song. (First verse demo, consisting of vocals and acoustic guitar: “I hear the clock, it's 6 a.m / I feel so far from where I've been / I got my eggs, and my pancakes too / I got my maple syrup, everything but you”)
song_exploder_transcripts;jewel;Jewel;It was just a little vignette, a little movie, you know, of a person that was tragically in love but it wasn't returned. And I wrote the lyrics so that people could see the same movie that was in my head of this girl that was wracking her brain, thinking of all the things she thought made her unlovable like leaving towels on the ﬂoor, and all the little things that really aren't what kill a relationship but what you ﬁxate on when you're done. (First verse demo into chorus demo, consisting of vocals and acoustic guitar: “Wipe the spots up oﬀ the mirror / Don’t leave my keys in the door / I never put wet towels on the ﬂoor anymore ‘cause / Dreams last so long / Even after you’re gone / I know that you love me / And soon you will see / You were meant for me / And I was meant for you”)
song_exploder_transcripts;jewel;Jewel;After we wrote the song, we did that demo. Steve's singing harmony. I remember being a little embarrassed by the song live because most of my other work tended to be very wordy and I thought, smarter and this was just such a plaintive, simple love song. You know, it made me feel like a teenybopper somehow. (Demo fades out)
song_exploder_transcripts;jewel;Jewel;When I got discovered, they brought in a lot of really fancy producers and I met with a lot of them. And they were all super nice but they all made me uncomfortable. They all kind of wanted to change and lend their incredible expertise and experience to my lack of experience. And it didn't feel right. And so I looked at an album I thought was really honest and simple. And I loved the Neil Young Harvest and Harvest Moon records. (“Harvest Moon” by NEIL YOUNG)
song_exploder_transcripts;jewel;Jewel;I saw that Ben Keith had co-produced them. And so I asked my label to reach out to him. And because of Ben's relationship with Neil, we made it up at Neil's studio on his ranch. (Acoustic guitar ends)
song_exploder_transcripts;jewel;Jewel;Getting to Neil Young's ranch was trippy. I mean, I couldn't believe that I was at Neil Young's studio. It was this log cabin with killer vintage gear, killer vintage amps. And The Stray Gators, I mean The Stray Gators were incredible. It was Neil's band on Harvest and Harvest Moon. I was like, [laughter], it was an insane, experienced band. And they would look at me and go, “What would you like?” And I was like, “I don't know.” Like I felt, I was deﬁnitely the least experienced, least qualiﬁed person in the room. But they deﬁnitely looked to me to kind of lead the ship. We cut everything, you know, live in the studio. I brought Steve up with me, and I remember Steve was playing guitar. Tim Drummond played bass with Elvis and James Brown.
