dataset;session;speaker;speech_turn
song_exploder_transcripts;apparat;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Goodbye” by APPARAT)
song_exploder_transcripts;apparat;Hrishikesh;This episode contains explicit language. There’s a Netﬂix original series called Dark that debuted in December 2017. It’s a German show and I’m constantly recommending it to anyone who likes science ﬁction. It’s a really mysterious, mind-bending series with a tone that feels unique to me. And a big part of that tone is announced every episode with the music in the show’s opening title sequence. It’s the song “Goodbye,” by German electronic artist Apparat. Apparat is the solo project of Sascha Ring. And this song actually came out years ago, on his 2011 album, The Devil’s Walk. Before it was used as the theme song for Dark, it’s been featured in a bunch of ﬁlms and commercials. The thing that really put it on the map was when the song was featured in the  Season 4 ﬁnale of Breaking Bad.
song_exploder_transcripts;apparat;Thomas;Vince Gilligan, who's the showrunner and the creator of Breaking Bad, he described it as one of his favorite music moments in Breaking Bad up to that point.
song_exploder_transcripts;apparat;Hrishikesh;That’s Thomas Golubić.
song_exploder_transcripts;apparat;Thomas;I am the music supervisor for Breaking Bad.
song_exploder_transcripts;apparat;Hrishikesh;He’s the person who placed the song in a crucial scene near the very end of the ﬁnale.
song_exploder_transcripts;apparat;Thomas;We knew that we wanted something that had a grand quality to it, and an epic quality to it, something that was really powerful. And the song, “Goodbye,” really struck me. When Vince heard that song, he responded incredibly powerfully, and just said, “There it is,” like, “That is the one.”
song_exploder_transcripts;apparat;Hrishikesh;The ﬁnal season of Dark just came out last week at the end of June 2020, so I wanted to ﬁnd out how the show’s theme song was made. It features vocals from Anja Plaschg, an Austrian artist who makes music under the name Soap&Skin. Coming up later, she’ll tell her part of the story. But the story starts with Sascha Ring, trying to write and feeling stuck.
song_exploder_transcripts;apparat;Sascha;This is Sascha Ring, I make music under the name Apparat. (“Goodbye” by APPARAT) (Music fades out)
song_exploder_transcripts;apparat;Sascha;“Goodbye” is quite an old song. I started working on it maybe in 2009, 2010, and it was a bit of a diﬃcult period because I just ﬁnished the ﬁrst chapter of Moderat, the band project I have. And we kept on touring and touring, and at some point, I wanted to work on my own music again but I found it very hard, just because it was so easy for me to collaborate with someone in the studio and rely on a second and third opinion. It made making music for me so much nicer that I kind of lost the ability to make music on my own after that. So when it was time to make a new Apparat record, there was this huge void in front of me at ﬁrst and I didn't really know how to do that and I played around in my studio and it didn't go anywhere and at some point, I just realized that maybe I should just go somewhere else, just take a few people with me, try making a record that way. And I invited a few friends and we ended up going to Mexico. So basically we isolated ourselves in a little house on top of a little hill, watching the sea, and we set up all this recording gear in quite a big room and we were just jamming out with electronic synths the whole time [laughter]. “Goodbye” was one of the songs that originated in Mexico during one of these sessions. (Synth along with drum elements) (Synth along with drum elements)
song_exploder_transcripts;apparat;Sascha;That song just started with some synth chords I just looped, and the early version already had some sort of drums.
song_exploder_transcripts;apparat;Sascha;And at some point, I tried to come up with a few words and I did have a simple idea. I wanted it to be some sort of like a ﬁnal lullaby you'd sing to someone who'll never see you again when he wakes up. Like, bringing him to bed, saying goodbye and sneaking out the back door, you know, before the person even notices what happened. (Demo vocals along with synth and drum elements: “Fold your hands / Crack me a smile”)
song_exploder_transcripts;apparat;Sascha;The lines were, “Fold your hands, crack me a smile. Fold your hands, kiss me goodbye.” (Demo vocals along with synth and drum elements: “Fold your hands / Kiss me goodbye”)
