dataset;session;speaker;speech_turn
song_exploder_transcripts;bon-iver;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Holyﬁelds,” by BON IVER)
song_exploder_transcripts;bon-iver;Thao;Justin Vernon founded the band Bon Iver in 2006. Bon Iver’s released four albums and won two Grammys, including Best New Artist. The most recent album i,i came out in August 2019, and in this episode, Justin breaks down a song from it called “Holyﬁelds,.” He’s joined by producers Chris Messina and Brad Cook. We spoke to him in July, from his studio in Eau Claire, Wisconsin, where the song started. They ﬁnished it at Sonic Ranch studio in Tornillo, Texas, on the border of US and Mexico. (“Holyﬁelds,” by BON IVER) (Music fades out)
song_exploder_transcripts;bon-iver;Justin;This is Justin Vernon.
song_exploder_transcripts;bon-iver;Brad;My name is Brad Cook and I was a producer for this record.
song_exploder_transcripts;bon-iver;Justin;Brad and I go so insanely far back that it's kind of impossible to explain, but our musical language is pretty deep.
song_exploder_transcripts;bon-iver;Brad;I think at this stage in the game, we've been making songs together for 20 years.
song_exploder_transcripts;bon-iver;Justin;When me and Brad were growing up, we were ﬁnding life meaning out of listening to all the Bob Marley records, and learning about humanity through his lyrics and through his music and attitude. And so that was a really huge impact on me. That was really the high point of seeing what music can do in the world and why it's more powerful than maybe we even give it credit for at times. I'm Chris Messina and I produced, mixed, and engineered this record. We're in Eau Claire, Wisconsin and we have our own studio here called April Base. Chris has been running the studio for, what is it, seven years? We feel like partners in this band in a lot of ways. It was just the three of us in the studio at April Base one morning. We were just trying to create environments in which songs could kind of pour out. And we just had a couple of diﬀerent synths hooked up.
song_exploder_transcripts;bon-iver;Chris;The core of the song is based around an EML ElectroComp 101 which is this early modular synth. I think it's like ‘70s-ish, and we got a sound out of it that was sort of cool, and caught a vibe.
song_exploder_transcripts;bon-iver;Justin;It's that sound that goes [mimics sound]. (EML)
song_exploder_transcripts;bon-iver;Justin;(EML) One of the confusing things about it is that, you know, when people hear the word synth, they often imagine like keyboard sounds. But the EML has this random noise generator. So you're twisting knobs and all of a sudden you have this totally insane, weird rhythmic pattern.
song_exploder_transcripts;bon-iver;Justin;So there was no real tone. You could just hear percussive elements.
song_exploder_transcripts;bon-iver;Chris;It was really just Justin sort of learning how to use it.
song_exploder_transcripts;bon-iver;Justin;We just turned it on and recorded it for a few minutes. And that sort of is the drums, if you will, or the rhythmic sense in the song. (EML ends)
song_exploder_transcripts;bon-iver;Justin;(Yamaha CS synthesizer) And then we tracked on top of that right away. Brad was playing a Yamaha CS synthesizer, playing all diﬀerent versions of D, the note D.
song_exploder_transcripts;bon-iver;Justin;He just has this loop of D going or he's adjusting textures, but it's only one note. And he’s kind of playing it constantly, but you only hear it based on a gate that we set from the EML so you can see it's following the same rhythm as the EML. (EML joins)
song_exploder_transcripts;bon-iver;Justin;And so while that was happening, (EML along with Yamaha CS synthesizer end)
song_exploder_transcripts;bon-iver;Justin;I was playing the Messina, which is a harmonizing machine, sort of, that Chris and I came up with a bunch of years back, and it’s his last name because that's how you name things. I’ll do my best to explain how the Messina works [laughter]. So Brad was playing one note. (Yamaha CS synthesizer)
