dataset;session;speaker;speech_turn
song_exploder_transcripts;dua-lipa;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Levitating” by DUA LIPA)
song_exploder_transcripts;dua-lipa;Hrishikesh;This episode contains explicit language. Dua Lipa is a Grammy-winning singer and songwriter from London. Her second album, Future Nostalgia, came out in March 2020. It hit #1 on the charts in thirteen countries, and it was shortlisted for the UK’s Mercury Prize. One of the songs on the record is “Levitating.” Dua co-wrote it with some of her closest collaborators, including producer Stephen Kozmeniuk, AKA Koz. In this episode, Dua and Koz break down “Levitating” and explain how Dua’s childhood memories shaped the song’s sound. (“Levitating” by DUA LIPA)
song_exploder_transcripts;dua-lipa;Dua;My name’s Dua Lipa. (Music fades out)
song_exploder_transcripts;dua-lipa;Dua;The day I wrote this song, I actually know the exact date. “Levitating” was created on the 28th of August 2018. I guess I had just started writing for the second record, still ﬁguring out where I wanted to go with it but knowing what my album title was going to be, which is Future Nostalgia. And I knew I wanted to touch on my childhood inﬂuences, and a lot of my childhood inﬂuences are really songs and music that my parents listened to. A lot of Jamiroquai, Prince, Blondie and when those songs are played now, it just brings back such a rush of fun and exciting like emotions and all I want to do is dance, and immediately it takes me back to when I was a kid. And I wanted to play on that emotion and that feeling and those memories, and create something with like a fresh, modern twist. (Piano along with kick and shaker)
song_exploder_transcripts;dua-lipa;Koz;I am Koz, I’m the producer of “Levitating.” Koz is such an incredible instrumentalist and producer and artist in his own right, and we've worked together for a really long time. Usually before we go into work, like I'll spend couple weeks or a month just like coming up with ideas to play when we hit the studio.
song_exploder_transcripts;dua-lipa;Dua;Before the session, I'd kind of like sent him
song_exploder_transcripts;dua-lipa;Koz;(Piano ends) (Kick and shaker) (Kick and shaker end) (Synth riﬀ)
song_exploder_transcripts;dua-lipa;Koz;(Synth riﬀ)
song_exploder_transcripts;dua-lipa;Koz;(Chord stabs) like some notes and some stuﬀ that I've been inspired by. She deﬁnitely had the idea of blending a lot of old stuﬀ with new stuﬀ and I just thought like the best way to reinterpret the past was to just use old instruments. I had been looking for this synth forever called the Roland VP-330. I’d probably been looking for six, seven, eight years and then one day, I found it in Tokyo, got it back to Toronto. I just plugged it in and literally the ﬁrst thing I played was like what turned into “Levitating.” The whole song was basically just built around that one patch, you know. This great synthetic choir sound. It was the ﬁrst thing I played on it and I just happened to be recording because sometimes I feel it’s just the best time to catch something. And then just kind of looped it and started building a song around it.
song_exploder_transcripts;dua-lipa;Koz;And then it has like a sound that’s like analog strings and that's also that synth. You know, it’s like you don't want a keyboard that does like a hundred things, you want one that does just a couple things really well, and it just has like a vibe and a sound. (Chord stabs along with shaker)
song_exploder_transcripts;dua-lipa;Koz;I was kind of thinking it'd be cool to do it as kind of like a slinky disco track. It was pretty simple, a lot of these times you don't build them out too much. You just build out like just a great vibe to kind of write to, and then forget about them until you hit the studio and then hit play [laughter]. I wrote “Levitating” with some of my close friends and collaborators Sarah Hudson, Coﬀee Clarence Jr. and Koz, and I've worked with all three of them for so long. And Coﬀee is brilliant with melodies and Sarah is very much like a fairy godmother, and she starts every session with a tarot reading. It would be like another way of opening up and talking about like our experiences of what was going on in life, and it instantly changes the energy in the room. It’s always a good laugh with all of us [laughter]. But sessions are an interesting thing because it's actually quite nerve wracking. And so we went to the studio, he was like, “Okay,” he’s like, “I have some tracks.” He's like, “I'd love to like play some stuﬀ that I've been working on with like you in mind and what you kind of told me.” I think maybe “Levitating” was one of the ﬁrst tracks he played. Someone would have their phone out, and just as you were playing the beats and stuﬀ like you get your immediate reaction to melody and you just kind of capture it. (Drum beat joins)
song_exploder_transcripts;dua-lipa;Koz;(Music ends)
song_exploder_transcripts;dua-lipa;Koz;(Voice memo of the “Levitating” beat played out to everyone in the studio) Just so you don't forget it when you go back to it. This one stemmed pretty heavily from Dua in the room. It can happen so many diﬀerent ways, people just start singing something. But I remember like Dua really led this one.
song_exploder_transcripts;dua-lipa;Dua;Almost immediately, we went into the melody of (Voice memo of Dua singing the verse melody over the “Levitating” beat)
song_exploder_transcripts;dua-lipa;Dua;And then you kind of hear Sarah in the background going, “Oh my God.” (Voice memo of Sarah saying “Oh my God”) It came so naturally and we were just ready to go, and it just felt like such an easy like yes, that's what we're going into. (Voice memo of Dua singing the chorus melody over the “Levitating” beat) She was like instant on the melody. You know, you make it up along the way, but it's just all about like the feeling.
song_exploder_transcripts;dua-lipa;Dua;We had the visual of being in like an Austin Powers movie.
song_exploder_transcripts;dua-lipa;Dua;(Voice memo fades out) (Electric guitar) (Drum beat joins electric guitar) And having Mike Myers just somehow like doing some random levitating dance that we were just making up. That was just like helping give us like a mood while we were writing the lyrics. We ordered these donuts because I was like, “How are we going to spice this up?” And so I bought some donuts, we all had total like sugar rush, and just started writing, and I think that we were literally levitating from the sugar rush. (Drum beat along with electric guitar)
