dataset;session;speaker;speech_turn
song_exploder_transcripts;soccer-mommy;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Circle the Drain” by SOCCER MOMMY)
song_exploder_transcripts;soccer-mommy;Hrishikesh;Sophie Allison makes music under the name Soccer Mommy. Her debut album came out in 2018, when she was 20 years old, and the New York Times named it one of the best albums of the year. This week her second album comes out, and it includes this song, “Circle the Drain.” I spoke to Sophie, while she was in her hometown of Nashville, and in this episode, she takes “Circle the Drain” apart and explains how it was inﬂuenced by songs from her childhood. (“Circle the Drain” by SOCCER MOMMY)
song_exploder_transcripts;soccer-mommy;Sophie;I’m Sophie from Soccer Mommy. (Music fades out)
song_exploder_transcripts;soccer-mommy;Sophie;When I started writing “Circle the Drain,” I was in the van [laughter], actually, on a West Coast tour. And I was in the backseat, playing my guitar. And the van, it's kind of the only time I had to, you know, sit and play guitar somewhere that people weren't going to be listening to me. I like that, and the fact that there's noise, like white noise, that makes it kind of hard to hear me in the back. You know, it's the same as getting privacy at home. And that's kind of some of the only downtime you ﬁnd on tour. So it's the perfect time to try to write. Whenever I write songs, the ﬁrst thing I always come up with is the guitar stuﬀ. With “Circle the Drain,” it was the chord progression. (Acoustic guitar)
song_exploder_transcripts;soccer-mommy;Sophie;As soon as I got these chords, a whole vibe of a song came into my head. When I was writing “Circle the Drain,” I was feeling pretty low honestly. Even though I was, like everything in my life was going great. Like I was doing the job I want to do. I had love in my life, I had friends, but I was still feeling really low. And you know it just kind of started coming out of me. I had this like idea in my head for the melody. The chorus came ﬁrst. (Chorus vocals along with acoustic guitar: “Hey, I've been falling apart these days / Split open, watching my heart go / ‘Round and around, ‘round and around / Circle the drain, I'm going down”)
song_exploder_transcripts;soccer-mommy;Sophie;Usually when I write music, I've given reasons for sadness. You know, I've like been going through a breakup or I've been hurt by someone or something like that. I feel like there’s usually a reason. But there was like really nothing going wrong in my life besides internally, you know, there's not even anything really emotional that had happened to me that I was hurting over. It's just like useless sadness, I guess. You know, it starts to make you feel like, “Oh my God, how many more times can I do this? I'm like losing it a little bit right now. Like I don't know how many times I can pick myself back up.” But you have to ﬁnd some way to get it out and I think music is another way to talk about it. (First verse vocals along with acoustic guitar: “I wanna be calm like the soft / Summer rain on your back / Like the fall of your shoulders / But everything just brings me back down / To the cold hard ground / And it keeps getting colder”)
song_exploder_transcripts;soccer-mommy;Sophie;The ﬁrst and second verses are kind of about these things I want for myself, for my own calmness and sanity a little bit. And then the second and third verse, those ones kind of came within the week, because, you know, we were traveling every day, so I was just kind of working more on the song. (First verse vocals along with acoustic guitar: “It's a feeling that boils in my brain / I would dial back the ﬂame / But I'm not sure I'm able”)
song_exploder_transcripts;soccer-mommy;Sophie;The chorus and the verse have some diﬀerent chords in them, but they start on the same chord. (Guitar chord)
song_exploder_transcripts;soccer-mommy;Sophie;And I kind of hate in a song where there's no change. I wanna like deviate from it in some kind of pre-chorus that changes the mood for a second. So I threw in those chords. (Pre-chorus vocals along with acoustic guitar: “Things feel that low sometimes / Even when everything is ﬁne”)
song_exploder_transcripts;soccer-mommy;Sophie;I ﬁrst recorded the demo in my sister’s room of my parents’ house on my four track. Most of my gear was there and I had just moved out of their house six months before. So, I had to go over there to get the stuﬀ and I just started recording basically, as soon as I got there. (Demo ﬁrst verse vocals along with acoustic guitar: “I wanna be calm like the soft / Summer rain on your back / Like the fall of your shoulders”) (Demo acoustic guitar)
song_exploder_transcripts;soccer-mommy;Sophie;Once I recorded the demo, I was like, “This could be great. If I do it right, this could be really awesome.” It just feels like I felt when I was a little kid and I was hearing stuﬀ like “Torn” or like “Soak Up the Sun” or anything like that.
song_exploder_transcripts;soccer-mommy;Hrishikesh;“Torn,” by Natalie Imbruglia, came out in 1997, the year Sophie was born. And “Soak Up the Sun,” by Sheryl Crow, came out when she was ﬁve.
song_exploder_transcripts;soccer-mommy;Sophie;It hits you in the heart in that kind of way and it also makes you wanna laugh and like sing along to it, I guess. It's this weird mixture of like really sad and it's also like just makes you wanna scream it a little bit. When I wrote the song, I really felt like it was the perfect opportunity to do all these things that I loved about 2000's pop music. That's when I fell in love with music, and it just feels like, you know, a time when I wasn't stressed out about everything and was just kind of excited about music and just wanted to sing along to stuﬀ. And I've never wanted to stop, it’s always been a driving passion for me. So I had so many ideas for production for making it sound just like this summery, watery, poppy like 2000's song that it was born to be in my heart. (Demo acoustic guitar ends)
song_exploder_transcripts;soccer-mommy;Sophie;Gabe Wax is a producer that I met when I was still in college, I felt like he just understood everything I wanted to do so well. And so yeah, when it came time to do the second album, I wanted to do it with Gabe. My band, when I recorded, we had been playing together for like a year and touring a ton. So the band is a big part of it. Most of the days, at the beginning, were us kind of learning the songs. Everyone had heard the demos and kinda listened to them, but they needed full arrangements. So the way we started in the studio was we just started getting live takes of everything down, it was Ryan Elwell on drums. (Drums)
song_exploder_transcripts;soccer-mommy;Sophie;Graham Gets on bass.
song_exploder_transcripts;soccer-mommy;Sophie;Julian Powell on guitar. (Bass) (Guitar) (Synths)
song_exploder_transcripts;soccer-mommy;Sophie;Me. (Guitar lead) (Entire band together)
song_exploder_transcripts;soccer-mommy;Sophie;And Rodrigo Avendano playing keys. (Music ends)
