dataset;session;speaker;speech_turn
song_exploder_transcripts;denzel-curry;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“RICKY” by DENZEL CURRY)
song_exploder_transcripts;denzel-curry;Hrishikesh;This episode contains explicit language. Denzel Curry is a rapper from Miami. He started his career at age 16 as part of the hip hop collective Raider Klan. He released his ﬁrst solo album while he was still in high school. In May 2019, Denzel released his fourth album, ZUU. He made it with the Australian production duo FnZ, who have been collaborating with him since 2016. The album was named “Best New Music” by PItchfork, and Denzel made his TV debut on The Tonight Show. In this episode, Denzel Curry and FnZ break down the song “RICKY,” which was named after Denzel’s father. (“RICKY” by DENZEL CURRY)
song_exploder_transcripts;denzel-curry;Denzel;My name is Denzel Curry. (Music fades out)
song_exploder_transcripts;denzel-curry;Denzel;The day this song started, man, we was just, we was all in the studio. I just got oﬀ of a tour in Australia, and I was like, “When I get back we're going to go in,” because I was still trying to keep the momentum up as much as I can. I didn't want to lose that or disappear for another two years, so as soon as I came back, we just went straight to the studio the next day.
song_exploder_transcripts;denzel-curry;Michael;My name is Michael aka Finatik.
song_exploder_transcripts;denzel-curry;Zac;And I am Zac of the production duo FnZ.
song_exploder_transcripts;denzel-curry;Michael;We executive produced the album. The ﬁrst day that we initially started working on this song, it was back in February early this year and we'd been hammering through so many ideas a day.
song_exploder_transcripts;denzel-curry;Denzel;It was a week of just making songs that were duds, like they were bad songs.
song_exploder_transcripts;denzel-curry;Michael;It was pretty full-on. We just had been like doing, you know, long days, long nights like a lot was just like a quick, rough idea, jump to the next one.
song_exploder_transcripts;denzel-curry;Denzel;We were struggling to make coal into a diamond throughout that whole week, just trying to ﬁnd something.
song_exploder_transcripts;denzel-curry;Michael;Denzel had been recording some ideas that we had prepared earlier, and then in between, sometimes in sessions like that, we'll just jump on the headphones while he's doing his thing. We'll start getting the next idea ready. I remember stumbling across this sample I found from an artist named Lukid, the song was called “Twisted Blood.”
song_exploder_transcripts;denzel-curry;Michael;It was a really random electronic track that had these crazy synths like sounds that I haven’t heard before that.
song_exploder_transcripts;denzel-curry;Michael;Kind of has like this melody that sounds like a, an ice cream truck or something like that, you know, like coming down the block. And it was just very catchy.
song_exploder_transcripts;denzel-curry;Michael;So just basically, yeah chop that up and found out a way to slow it down.
