dataset;session;speaker;speech_turn
song_exploder_transcripts;deftones;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Ohms” by DEFTONES)
song_exploder_transcripts;deftones;Hrishikesh;This episode contains explicit language. Deftones are a Grammy-winning band from Sacramento who’ve sold over ten million albums. Their ninth album came out this year on September 25th, 2020. It’s called Ohms, and the last track on it is also called “Ohms.” In this episode, singer Chino Moreno breaks down how that song came together, and how they literally went back to where things started in order to create the music. (“Ohms” by DEFTONES)
song_exploder_transcripts;deftones;Hrishikesh;Here’s Chino Moreno on how “Ohms” got started.
song_exploder_transcripts;deftones;Chino;My name is Chino Moreno. (Music fades out)
song_exploder_transcripts;deftones;Chino;The ﬁrst time I heard anything of it was a email that I received from Stephen Carpenter, who plays guitar. He sent this demo and I remember I was travelling, and I was on my way to Yellowstone National Park. And I remember like my wife was getting mad at me because I don’t have unlimited data so like I was downloading stuﬀ like using my cellular network. And she was like “Why are you downloading stuﬀ right now? We’re going to run out of data!” But I had already got like two thirds of the way through so I just continued on. This was probably three or so years ago out of the blue. He rarely sends me demos because a lot of our music is really written like when all of us are in the same room. But I know when he sends me something that he feels strongly enough about it to send it to me. So when he does do that, I'm already excited right oﬀ the bat. (Distorted guitar)
song_exploder_transcripts;deftones;Chino;Just the guitar riﬀ ideas were there. There was like this longing, desperate sort of undertone in there. This sort of desperate feeling. (Distorted guitar)
song_exploder_transcripts;deftones;Chino;(Distorted guitar)
song_exploder_transcripts;deftones;Chino;(Distorted guitar ends)
song_exploder_transcripts;deftones;Chino;I think it's like close to seven minutes long, I don’t remember, but it’s pretty lengthy and like a lot of the parts were super extended, so my ﬁrst initial idea was to chop it down and kind of just, you know, make it more concise. So I was in the passenger seat, and I just started chopping it up on the road, while we were like driving through Idaho or something like that. So I just kinda trimmed it down a little bit, and then I sent it back to him and the rest of the guys in the band. And it wasn't until couple years later ‘til we actually started our ﬁrst writing sessions. I pulled it out and said, “Hey, you guys remember this thing?” When we went in to go do the initial writing for this record, we decided to go back to our studio that we have in Sacramento, California, which we've had since the mid-90s. We call it The Spot. It was kinda like a clubhouse. Like literally, when we ﬁrst started hanging out there, we built like a half pipe in there, and we just like used it as a place to skate. And like we used to play this board game called Risk. We would have these like hour-long games and just sit back and, you know, drink, and smoke and, you know, that was just as big a part of us as making music. So over the years, we slowly sort of morphed it into like an actual recording studio. But we hadn't been to that studio for 10 years, ever since 2008, I believe. That was when our bass player, Chi, he was in a car accident, and we took a break from that point on, like we actually just took a break from the band for a good 6 months, I would say.
song_exploder_transcripts;deftones;Hrishikesh;The car accident left Chi in a coma. He passed away in April 2013.
