dataset;session;speaker;speech_turn
song_exploder_transcripts;sasha-sloan;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. I’ve been thinking about grief a lot recently, because my mom passed away a few months ago. Just a few weeks before that happened, I recorded this interview with Sasha Sloan, about her song “Until It Happens to You,” which, as you’ll hear, is about grief, but also the distance between those who have lost someone and those who haven’t. When we did the interview I was in the second category, but now, I’m in the ﬁrst one, and for me making this episode has been an interesting way for me to retrace my steps as I crossed from one side of the divide to the other. Anyway, I just wanted to mention that. But here we go. (“Until It Happens To You” by SASHA SLOAN)
song_exploder_transcripts;sasha-sloan;Hrishikesh;Sasha Sloan is a singer and songwriter, originally from Boston, but now based in Nashville. She put out her debut album, Only Child, last year. Before that, she’d written songs for artists like Katy Perry, John Legend, and Charli XCX, and she’s been a featured guest vocalist on songs by electronic artists Odesza and Kygo. Sasha made her album with her boyfriend, producer Henry Allen, aka King Henry, whose other production credits include songs by Beyoncé and Diplo, so they are kind of a music power couple. In this episode, Sasha, along with Henry, tells the story of making her song “Until It Happens To You.”
song_exploder_transcripts;sasha-sloan;Sasha;My name is Sasha Sloan. (Music fades out)
song_exploder_transcripts;sasha-sloan;Sasha;When it comes to writing, I always start with a title. My boyfriend and I have a close friend, and he had a cousin who was like a sister to him, and we hung out with her a lot. She was in her early 30s and one day she was diagnosed with leukemia and a couple months later, she passed away. Henry and I were very shaken up by it, and just sitting and talking, and you know we were like, “You'll never really know what it's like until it happens to you,” because my boyfriend and I had never lost someone that close to us. We've both been to funerals but it was kind of, you know, at a distance, and it was just one of those things where I wanted to say, “Hey, I know what you're going through right now,” but I couldn't. I could only say, “I can only imagine what that feels like.” And it didn’t feel like enough, that’s kind of what inspired the title. That’s my friend Danny Silverstein. Danny came over to hang out and we were talking about song titles and I was like, “I have this song title called “Until It Happens To You.” And you know when I explained the concept to him, it really struck a chord with him and we went to the studio and Danny had this guitar part that was really beautiful. (Acoustic guitar)
song_exploder_transcripts;sasha-sloan;Sasha;(Acoustic guitar continues)
song_exploder_transcripts;sasha-sloan;Sasha;I love writing with Danny and Henry because they're great guitar players. I can play piano but I'm always usually more inspired by like a great guitar riﬀ. So I felt super inspired by that, and the title “Until It Happens To You” felt like it really ﬁt with that guitar part. For me, titles have to ﬁnd their partner ﬁrst in order for me to write them. It’s so much easier for me to write a melody when I have a concept that I’m starting with. It’s much harder for me to work oﬀ of melodies and then ﬁll in lyrics afterwards. You know there are songs where it takes painstakingly long to ﬁnd a good melody or a good lyric, and with this song, it kinda all just ﬂowed into each other. (Acoustic guitar along with lead vocals: “Somebody loses their somebody every day / But you’ll never really know what it’s like / ‘Til you wake up to some real bad news / You’ll never really know how it feels / ‘Til it happens to you / No, you’ll never really know what it’s like / ‘Til it happens to you”)
song_exploder_transcripts;sasha-sloan;Sasha;Sometimes it’s really hard to be simple without being boring. Not simple, but to the point, and you know not overthink the melody and not overthink the structure, and just let the song be what it’s supposed to be. So Danny just laid the guitar in and I think it probably took us like two hours to write, and yeah that’s what we did that night. (Acoustic guitar ends)
song_exploder_transcripts;sasha-sloan;Sasha;After I write a song, I listen to the demo about 400 times [laughter] and then for me, it’s super important that I step away from it. So I don’t think I heard the song for like two or three months after my epic listening session. And then you know I was thinking about what I was gonna put on the album and I was going through old songs ‘cause I had been writing a lot since then. That song came up in my demo folder and I was like, “oh man there’s really something to this.” But Henry, also known as King Henry, is my boyfriend / producer.
song_exploder_transcripts;sasha-sloan;Henry;My name is Henry.
song_exploder_transcripts;sasha-sloan;Sasha;He was like, you know it sounds a little like sweet right now. It sounds like a lullaby. (Acoustic guitar along with ﬁrst verse vocals: “You can have a friend get their heart broken / You can be there when they need it the most, but / You won’t be the one falling oﬀ the deep end”)
song_exploder_transcripts;sasha-sloan;Sasha;He was like how do we take it out of this folk guitar world, and make it more of like an emotional rollercoaster. It’s hard because a lot of times it’s better for a song that’s emotional like that and really like important to just be very simple. But I just kinda wanted it to tell a story in the music as much as the lyrics. But I was really attached to the demo. I had like the worst demoitis ever and I was like “come on, I love this guitar part.” He’s like, “let’s just take the a cappella and start from scratch and see what happens.” (Acoustic guitar along with ﬁrst verse vocals: “You can have a friend lose somebody close / And you can be there when they need it the most, but / You won’t be the one having trouble sleeping”)
song_exploder_transcripts;sasha-sloan;Henry;He started playing piano under it, and then he started playing you know electric guitar under it. Nothing really felt right until we found the Juno sound. (Juno synth) (First verse vocals join Juno: “You can have a friend lose somebody close / And you can be there when they need it the most, but / You won’t be the one having trouble sleeping”)
song_exploder_transcripts;sasha-sloan;Sasha;At ﬁrst, I really hated it. It was so diﬀerent and I missed the rhythm of the guitar underneath. I was like, “Henry I really just don’t think this is going in the right direction. We’re gonna need to change it back to guitar.” But the understanding
song_exploder_transcripts;sasha-sloan;Sasha;that Henry and I have between each other is he’s like, “ok well give me like one more try.” Luckily she’s very down for me to just experiment and I’ll basically tell her like, I know this is sounding insane but just let me sit here for like two or three hours and then if you hate it after that, we’ll just go back. The ﬁrst time Henry ever shows me something I usually don’t like it. I just have to trust in the process and that’s what I did. You know, if you don’t trust each other, then I should have just made the album myself. (Juno synth ends)
song_exploder_transcripts;sasha-sloan;Sasha;(Acoustic guitar with Juno) From there, we just kinda started playing with, well how do we make this move? How do we make this pick up? And Henry started playing that guitar part that comes in on the second verse.
song_exploder_transcripts;sasha-sloan;Sasha;Once I heard that guitar part come in, I was like okay I can get behind this. (Acoustic guitar and Juno along with second verse vocals: “You can do your best, call ‘em every night / Listen to ‘em say, say they’re alright / But you know there’s a chance they don’t really mean it”)
