dataset;session;speaker;speech_turn
song_exploder_transcripts;girl-in-red;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. Before this episode starts, I want to let you know that there is some frank discussion of mental health issues, including panic attacks, medical fears and thoughts of self-harm. There’s also some explicit language. (“Serotonin” by GIRL IN RED)
song_exploder_transcripts;girl-in-red;Hrishikesh;Marie Ulven is a singer, songwriter, and producer from Norway, who makes music under the name, girl in red. She just released her debut album in April 2021, but she’s already got a lot of fans and she’s gotten a lot of critical acclaim from two EPs and singles that she’s released online, including a couple of songs that went gold. The New York Times included her work in their best songs of the year in both 2018 and 2019. Last year she was nominated for Best Newcomer at the Norwegian Grammys, and this year she won their award International Success of the Year. “Do you listen to girl in red?” has also become code on TikTok, a sort of shibboleth, to ask if someone’s a lesbian. In this episode, Marie breaks down the song “Serotonin,” a song that started as a video she posted to her own TikTok in the early days of lockdown in 2020. You’ll hear the original version she recorded on her own, before she started working with producer Matias Téllez, and later, with Grammy-winning artist and producer Finneas O’Connell, who helped ﬁnish the song.
song_exploder_transcripts;girl-in-red;Marie;My name is Marie and I am the artist behind girl in red. (Music fades out)
song_exploder_transcripts;girl-in-red;Marie;My mom's house is in Horton, in Norway, which is a very small town, like an hour outside of Oslo. That's where I grew up, that's where I learned everything when it comes to music and yeah, that's where I became who I am. So it was the beginning of quarantine and I had gone back home to my mom because I was really mentally ill and I was completely dysfunctional. So I had to stay there. I was going through some really weird stuﬀ. I thought I was going to die, whether it was from like blood clots or like heart attacks, just like all these like weird health issues. Because I just had a feeling of illness. I really believed those feelings of illness to be real. And it was just really hard being home also because I was suddenly leaving my everyday life. And also the world was ending, it felt like at least to me. I don't know, it was a lot of things changing very fast. I think I had started therapy in January or something of 2020. And I found out I have OCD, which made a lot of sense. But then I could no longer meet my therapist. So we ended up doing Skype calls, which weren't really working for me. And then calling on the phone and I was like, I can't even see you. And I don't feel like you understand what I'm going through right now. I remember starting, thinking of the song, because I had just talked to my therapist and I’m pretty sure that's when I realized I don't want to talk to my therapist anymore. I was in my room and then I started ﬁlming a TikTok, messing around in Logic, like I always do. And the ﬁrst thing I wrote was the intro. (Intro electric guitar riﬀ)
song_exploder_transcripts;girl-in-red;Marie;And then I remember I recorded this really cool guitar thing. (Intro guitar chords along with guitar riﬀ) (Beat with the same harmonic progression)
song_exploder_transcripts;girl-in-red;Marie;And then I was like sporadically ﬁlming some parts and then ended up just being this little TikTok thing that, you know, didn't really take over the world, but it was just a beat at that time really. (Beat ends)
song_exploder_transcripts;girl-in-red;Marie;TikTok videos are fun to make, not necessarily like the editing part. But I think it's more of like the activity of just staying busy with something is good. Especially when you're in a really bad place, it's good to kind of be a little bit distracted, when it's very easy to spiral into your own mind. I have actually never had a TikTok turn into a song before. But after I made that TikTok, I just felt like there was something there. I was excited about the guitar. I was excited about this bass and I was just excited about the beat and I started singing like (First chorus vocals: “I’m running low on serotonin / Chemical imbalance got me twisting things / Stabilize with medicine / There’s no depth to these feelings”)
song_exploder_transcripts;girl-in-red;Marie;I feel like I learned about like serotonin in like pop culture. I also actually talked to my step-mom. And she just told me serotonin is this thing that levels your mood and your emotions. (Bass stem)
song_exploder_transcripts;girl-in-red;Marie;(Bass ends)
song_exploder_transcripts;girl-in-red;Marie;Your brain is just like this science project really. And we're all kind of our own testing rabbit to our own brain, this science project running by itself. (First chorus vocals along with bass: “Dig deep, can’t hide / From the corners of my mind / I’m terriﬁed of what’s inside”)
song_exploder_transcripts;girl-in-red;Marie;And then I was like, I don't know what to do anymore. I'm going to take this to the studio. Creating an album all by yourself is a very daunting task. I knew I couldn't do it all by myself. But it was really important for me to feel like I have full creative control and to not sit in the back of the studio and watch someone do something without me saying anything. But I also don't think it would be as fun to do it all by myself. So my A&R person, his name is Will, he texted me and suggested that Matias Téllez, this guy in Bergen, was the right guy for me. Really in the beginning of the studio version of “Serotonin,” I started getting like all these, like rap ideas, like faster lyricism. We did that together and made this like darker universe in this rap part. (Voice memo of Marie singing melodies over the beat)
song_exploder_transcripts;girl-in-red;Marie;So this is me singing over the audio from the computer, creating voice memos. (Voice memo ends)
song_exploder_transcripts;girl-in-red;Marie;I was in a total diﬀerent headspace at that time. I was about to get a dog and it was summer. I was feeling a lot more hopeful.  But reﬂecting what had happened earlier that year, I fell into lyrics that were a lot darker than maybe I had anticipated. (First verse vocals: “I get intrusive thoughts like cutting my hands oﬀ / Like jumping in front of a bus / Like how do I make this stop / When it feels like my therapist hates me? / Please don’t let me go crazy / Put me in a ﬁeld with daisies / Might not work, but I’ll take a maybe”)
