dataset;session;speaker;speech_turn
song_exploder_transcripts;haim;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Summer Girl” by HAIM)
song_exploder_transcripts;haim;Hrishikesh;This episode contains explicit language. HAIM is a band from Los Angeles, made up of the sisters Danielle, Este, and Alana Haim. They’ve released three albums, and they’ve been nominated for three Grammys. Over the years, they’ve worked extensively with Grammy-winning producer Ariel Rechtshaid. He and Danielle are also a couple - and I only mention that because it’s relevant to the story you’re about to hear. I spoke to Danielle and Ariel about the making of the song “Summer Girl” from HAIM’s third album, Women in Music Pt. III. In this episode, they break down the song, along with Este Haim and the song’s co-producer and co-writer Rostam.
song_exploder_transcripts;haim;Danielle;My name is Danielle Haim.
song_exploder_transcripts;haim;Ariel;My name is Ariel Rechtshaid. (Music fades out)
song_exploder_transcripts;haim;Danielle;I’ll never forget, I had heard a Cass McCombs song that I loved called “County Line,” and I remember like looking up, “who did this album? Who produced this? Like this is awesome.” And I saw this name, Ariel Rechtshaid. So then I think like a couple weeks later, I heard the Usher song, “Climax.” I looked it up and, “oh my gosh, there's that name again, Ariel Rechtshaid. Wait, he did Cass McCombs and then he did an Usher song?” So I remember telling my manager like, “hey, I wanna meet with this guy,” and that's how we met in 2012.
song_exploder_transcripts;haim;Ariel;We had a chemistry and did a few songs, and at one point I was in London mixing a record, and HAIM happened to be camped out there doing press and we sort of reconnected for the ﬁrst time in a while. I don't know if it was just a moment in time where like two Valley kids trapped in London, you know like that's kind of when it started to be like, “Hmm.” And it was a slow build after that, but that was I think when Danielle and I like suddenly had this connection. And so we had just kind of moved in together and then suddenly I got this scary news. While we were making our second album, Something to Tell You, we got the news that Ariel was diagnosed with cancer and it was right when we were kind of starting the album, and it was very hard. You know I was like, “Of course you guys should do this without me. Let me deal with this and I'll see you later.” You know and that didn't even register. They're just like, “What do you need? We're here,” you know, like by my side the whole time.
song_exploder_transcripts;haim;Danielle;I think we were just trying to get through, sorry, let me just get my shit together.
song_exploder_transcripts;haim;Ariel;I don't know if there are words for how supportive Danielle and her sisters were. Obviously, I just felt like I wanted to be there for Ariel, and nothing about our second album was about what was going on because it was happening at the same time, and I don't think I could process it. Yeah, we essentially like limped through the making of Something to Tell You. I mean we worked as hard as we could but it was a lot of hurdles, you know. That was really like an intense period and then we got through it.
song_exploder_transcripts;haim;Ariel;(Synth pad)
song_exploder_transcripts;haim;Danielle;I think it was the summer of 2018 and we had just come oﬀ of doing this like amazing sold out tour of the UK and Europe.  And at this point, Ariel, he was on the road to recovery and it was looking positive.
song_exploder_transcripts;haim;Ariel;I was very, very, very lucky, very fortunate. We were starting to like believe and accept the fact that it was just like, we're good.
song_exploder_transcripts;haim;Danielle;The idea of that era being over, it was like, “I can ﬁnally take a breath” and that summer we took a little vacation. I ﬁnally felt like I could process what was going on the last couple of years. (Synth pad fades out)
song_exploder_transcripts;haim;Danielle;I started thinking about this song that summer. For some reason, I just always think about drums when I'm thinking about how a song's gonna even start. Me and my two sisters were drummers ﬁrst. Our dad all taught us drums when we were like three. I just remember on this vacation, being like, I wanna use this drum pattern that I've never used [laughter]. I know, this is like so speciﬁc, but it's kind of a pattern that when you go to Guitar Center and a kid sits on the drums, it's the ﬁrst pattern that they play. It's (Danielle beatboxes a beat) (GarageBand drums)
song_exploder_transcripts;haim;Danielle;So I remember realizing that I also had GarageBand on my phone on this vacation because I didn't have anything with me, and I was like, “Oh, I can do something on my phone, amazing.” Let me try and like program this drum beat.
song_exploder_transcripts;haim;Danielle;And then I came up with this line, do-do-do-do that was like super swingy. (GarageBand bassline plays as Danielle vocalizes bassline)
song_exploder_transcripts;haim;Danielle;All of a sudden, like with the straight drum part and this cool like bassline, (GarageBand bass and drums together)
song_exploder_transcripts;haim;Danielle;I was like, “Wow. This is like cool. This is a cool vibe.” (GarageBand bass and drums end)
song_exploder_transcripts;haim;Danielle;And I just started kind of, I put like a bunch of reverb on my vocal and I just started like mumbling a melody that I had over the drums and the bass. (GarageBand bass and drums along with mumbled vocals)
song_exploder_transcripts;haim;Danielle;And I ended up writing a lot on my phone that summer. But for some reason, like that idea, every couple weeks, I'd just be like, “Oh, yeah. I should like listen to that thing again.” Whatever that thing was. Every time I'd think about it, I would think like, “Okay. What is it?” (GarageBand rhythm track ends)
song_exploder_transcripts;haim;Este;What I thought the song should be about started to form ‘cause there's this part that I wrote that was like da-da-da-da, like the chorus was just this melody. You know and I was like “I’m your somethin’…” You know, fuzzy girl or like I just thought like I wanted to be Ariel's kind of light in that gnarly time. And then after that vacation, just kept thinking about these little sketches that I wrote on GarageBand and I was like, “I need to really just sit down and start writing.” So I brought this idea to my sisters. My name is Este Haim and the thing that struck me as the bass player was the bassline. I was like...this is sick. And then Danielle kind of started opening up about what she wanted to write the song about. And then I was like, “wow! Okay. I mean, if you're willing to open up about this, I will go on this journey with you.” I remember her talking about this feeling of being on the road and really wanting to kind of be this ray of sunshine for Ariel when he was feeling down. And I thought that that was exactly what she was doing on tour. We're such a close knit group of people. We love Ariel more than anything. We love him and he's like a brother to me. And honestly like the words really just kind of poured out. (First verse lead vocals: “LA on my mind, I can’t breathe / You’re there when I close my eyes, so hard to reach”)
song_exploder_transcripts;haim;Danielle;I mean “L.A. on my mind, I can't breathe” was kind of the idea, you know, when we ﬁrst got the news, we were on tour. So this idea that he was dealing with this by himself at home was heartbreaking, and I felt guilty that I wasn't there. It was a lot of emotions. So the idea - sorry - the idea that he was here alone and you know I'd have a couple minutes to talk to him you know between soundcheck and the show and just kind of be positive and be kind of a light ‘cause I know he was going through it at home. (First verse lead vocals: “Your smiles turn into cryin’, it’s the same release / And you always know, and you always know”)
song_exploder_transcripts;haim;Danielle;Just thinking about that and that dynamic, that's what I envisioned because I had this idea of, “I'm your something girl.” And so at that point, I was like, okay. I don't know...maybe I should take this to Rostam and see if he's as excited as I am about it.
song_exploder_transcripts;haim;Rostam;I'm Rostam. I'm one of the producers of “Summer Girl” and I also helped write it.
song_exploder_transcripts;haim;Danielle;We worked a little bit with Rostam on our second album, and he's such a close friend and I'm such a huge fan of his. And I said, “I have this thing. I don't know. I think there's something to it.”
song_exploder_transcripts;haim;Rostam;You know oftentimes it's my job to hear that it could be a song and I deﬁnitely did think it could be a song. (Bass plays) (Drums join bass)
song_exploder_transcripts;haim;Danielle;So yeah when I showed it to Rostam I was like, “Okay, so it's a really simple melody but there's like this part that's like di-di-di, like a du-du-du part. Kind of like “Walk on the Wild Side” or something. He's like, “Okay, play it for me.” (Drums and bass along with the doo-doo-doo vocals)
song_exploder_transcripts;haim;Danielle;I can see him light up. And I'm like, “Oh my gosh, maybe there is something to this song.” (GarageBand demo ends) (MIDI drum beat)
song_exploder_transcripts;haim;Danielle;The ﬁrst thing that we did was I like recreated the demo from my phone onto Rostam's computer. So I did the drum part on his MIDI keyboard with some kind of live-ish roomy drum sound.
song_exploder_transcripts;haim;Rostam;And then I turned to her, I was like, “So do you have lyrics?” She's like, “Yeah, I have lyrics.”
song_exploder_transcripts;haim;Danielle;And then it came to the chorus part, I'm your sunny girl. And I was like, I was kind of just like, “I don’t know like should it be like sunny? Or like?”
song_exploder_transcripts;haim;Rostam;I said, “Try changing sunny girl to summer girl.” The word sunny, it conjures up these sort of like 60s, over the top, joyful sentiments. And I felt like the song was not just about over the top joy, there was complexity there and I felt like the word summer could embody more of that complexity. (Lead vocal chorus with drums: “I’m your summer girl / I’m your summer girl / doo-doo-doo”)
song_exploder_transcripts;haim;Rostam;As soon as we started working on this song, we were already referencing Lou Reed.
song_exploder_transcripts;haim;Danielle;Like “take a walk on the wild side,” it should have that kind of vibe. (Doo-doo-doo vocals continue) (Lou Reed’s “Walk on the Wild Side” doo-doo-doo vocals come in)
