dataset;session;speaker;speech_turn
song_exploder_transcripts;yusuf-cat-stevens;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Father & Son” by YUSUF / CAT STEVENS)
song_exploder_transcripts;yusuf-cat-stevens;Hrishikesh;The legendary singer/songwriter Yusuf / Cat Stevens released his ﬁrst album in 1967. He’s a member of the Rock & Roll Hall of Fame, and his albums have sold millions. In 2020, he released Tea for the Tillerman 2, a re-imagining of his hit 1970 album, Tea for the Tillerman. In the song “Father & Son,” he sings a duet between the two title characters, doing both voices. But in the 2020 version, he approached this song in kind of an astonishing way - he recorded the part of the father, but for the part of the son, he used a live recording of himself from 1970, taken from a show he played at The Troubadour in Los Angeles. So the two parts are still both sung in his voice, but 50 years apart. In this episode, the 200th episode of Song Exploder, Yusuf / Cat Stevens tells the story of how he created, and then re-created “Father & Son.” (“Father & Son” by YUSUF / CAT STEVENS)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;Yeah my name is Yusuf / Cat Stevens.
song_exploder_transcripts;yusuf-cat-stevens;Hrishikesh;The story begins with songs and lyrics that weren’t originally intended for an album. (Music fades out)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;They grew out of a whole project which I was working on, which was a musical. I'd always wanted to write a musical, because I lived in the West End, and so therefore, I was surrounded by theaters, and it shaped the background and the soundtrack to my life. And so, I was working with a man called Nigel Hawthorne, well known actor, comedian, and a writer. And we were chosen as a subject for the musical, The Russian Revolution. Well, the name of the musical was Revolussia, and there was this story going on in the countryside, this Russian family lived on a farm you know out there in the outskirts. Well, the son's name was Sasha, and the Father's name, it was Dad, you know, his father. And the son, in this scene, was wanting to join the revolution. (Guitar along with drums and bass)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;But the father loves you, you know he loves you. That's why he wants you to stay home. (Father’s ﬁrst verse vocals along with guitars: “It’s not time to make a change / Just relax, take it easy / You’re still young, that’s your fault / There’s so much you have to know / Find a girl, settle down / If you want you can marry / Look at me / I am old, but I’m happy”) I think as a writer, you know, you take on all sorts of characters and personalities. But when you're writing for a musical, of course, you have to do that much more seriously, you must enter the character that you're writing about. But a lot of my songs were very, very autobiographical, I would say. And so there was always two sides of me, you know, there was the side which, you know, wanted to get out and do things, and the other side was, “I kinda like things the way they are, for now.” So it was me talking to me, in two diﬀerent states of mind. And you know, all the nuances of what a young man would be thinking when there's a revolution outside his front door, you know, that was pretty simple to put together, and the words simply followed. The song itself wasn't diﬃcult to perform as two people, because I just simply shifted the octave up for the son and down for the father. And that kind of has its own impact on the emotion. (Son’s ﬁrst verse vocals along with full instrumental: “How can I try to explain? / When I do, he turns away again / It’s always been the same / Same old story”)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;At that point, we wanted to get some backing for the musical. So my manager, he had some connections with some pretty rich people, we met one of them. And when he heard this thing he wasn't really interested, but he knew someone who was in the music business, and his name was Chris Blackwell. Chris Blackwell, of course, ran Island Records. Now Island Records was a really you know elite label with a real leaning towards allowing artists to express themselves. Well, that's pretty great. So we played some of the songs, when we got to “Father & Son,” I think his jaw dropped. And he said, “Look, I want to talk some more about this.” But then when we met next, he oﬀered me, you know, a record contract. And that was really, you know, that took me right oﬀ course as far as my musical was concerned. So I said, “Yeah, well okay.” He said, “We'll put you together with a producer.” And that's where I got introduced to Paul Samwell-Smith. I used to go and listen to him, he was the bass player with The Yardbirds, so I used to dance to his music in the club, just down the road from where I lived in Oxford Street. So we work through all the songs, and of course, one of them would have been “Father and Son,” it was. But I didn't like the way it turned out, so it never ended up on the ﬁrst album I recorded, called Mona Bone Jakon. So the second album was where we were really primed, I think, after the ﬁrst and the second one just seemed to work. So that was Tea for the Tillerman. (Son’s ﬁrst verse vocals along with full instrumental: “From the moment I could talk / I was ordered to listen / Now there’s a way / And I know that I have to go away / I know, I have to go”)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;When I sang that song in Morgan Studios, which was where we ﬁnally got a hold of the song, it was a moment where I was singing the son's part, where I could actually hear the timbre, the sound of my own father's voice. And that was very strange because I was singing the son’s part. But I got my father's voice up there. He was from Cyprus, so he had a very strong Mediterranean passionate side, and you knew when he was angry, you know. And so I got that kind of anger out of me in the role of the son. And it was a very important moment in my recording memories, that moment where I sounded like my father but I was singing the son’s part, strange. (Fourth verse vocals along with full instrumental and backing vocals: “All the times that I’ve cried / Keeping all the things I knew inside / It’s hard / But it’s harder to ignore it”)
song_exploder_transcripts;yusuf-cat-stevens;Yusuf;But dad was always supportive of me. He was much more relaxed with me and you know he bought my ﬁrst guitar, you know. He didn't quite understand what the music business was all about, but he thought, “Well, if it makes a living, it's okay.” And he used to always ask my brother, “How's Stevie?” Because you know, he used to call me Stevie. He said, “How's Stevie, is he doing all right?” And they would say, “Yeah, he's doing very well dad.”
song_exploder_transcripts;yusuf-cat-stevens;Hrishikesh;In fact, Tea for the Tillerman went on to go triple platinum. And in 2003, Rolling Stone included it in their list of the greatest albums of all time. (Instrumental ends)
