dataset;session;speaker;speech_turn
song_exploder_transcripts;nathaniel-rateliff;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“And It’s Still Alright” by NATHANIEL RATELIFF)
song_exploder_transcripts;nathaniel-rateliff;Hrishikesh;A quick note that this episode contains explicit language and deals with some heavy subject matter, including alcoholism and death. Nathaniel Rateliﬀ is a singer and songwriter from Colorado. He’s released four solo albums, and two with his band, the Night Sweats. Those two Night Sweats albums were produced by Richard Swift, who passed away in 2018. In a statement, his family said that he “suﬀered from alcohol addiction, and it’s ultimately what took his life.” Nathaniel Rateliﬀ’s new solo album, And It’s Still Alright, was supposed to be produced by Richard Swift, as well, but Richard died before they could work together again. In this episode, Nathaniel breaks down the title track, which was inspired, in part, by his own complicated relationship with alcohol, and by his friendship with Richard Swift. (“And It’s Still Alright” by NATHANIEL RATELIFF)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;I’m Nathaniel Rateliﬀ. (Music fades out)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;I was in a hotel room in Portland, Oregon. I had just ﬂown in and I got in early, and so I was just kind of taking advantage of having time to myself. I don't get that a lot, and so I was playing around with the chords and then yeah. It was kind of a simple progression, but I was like, “ehh wait a second, I should probably record this.” (Acoustic guitar voice memo)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;Your playing sort of mimics your emotion or just like your feeling that day. I was trying not to get bummed and I thought, you know, working on something would keep me uplifted and keep me focused on trying to work. I was deﬁnitely thinking about Richard Swift, who I was going to make this record with. Richard Swift is a, or sorry, was a musician in his own right and a great songwriter in his own right. But also, a fantastic collaborator and producer. I met Richard years ago backstage at the Borderline in London when I was opening up solo for Delta Spirit. I felt like I was kind of just treading water as a musician at the time. So I was just kind of overall discouraged. I had just ﬁnished playing and he was the only one backstage and we were just having a drink. He's like, “Hey man, you sounded good.” I was like, “Thanks.” (Acoustic guitar voice memo ends)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;And then I didn't really hear or see much of Richard for a while, you know. And then, when I started the Night Sweats stuﬀ, it was just demos that I was doing in my attic. I always loved to just do like kind of crappy GarageBand recordings. So I sent him like two or three. And just kind of out of the blue, he gave me a call or, you know, he texted me and was like, “Man, I really dig this.” And then my A&R guy kind of came back to me and he was like, “Would you consider Richard Swift as a producer for this record, for the Night Sweats?” And I was like, “Yeah, I've already been talking to him.” So it kind of just happened naturally. And we did the ﬁrst Night Sweats record. (“S.O.B.” by NATHANIEL RATELIFF & THE NIGHT SWEATS)
song_exploder_transcripts;nathaniel-rateliff;Hrishikesh;That album includes this track, S.O.B., which became a breakout hit. The song went platinum and the album went gold. (“S.O.B.” by NATHANIEL RATELIFF & THE NIGHTSWEAT ends)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;And then we did the second full length, and then had also talked about doing this record, which I was really hoping to do. You know, you always felt good around Richard. When he left the room, you know, it's like, “Oh, the good times just left the room, I guess, you know.” For a lot of friends and musicians, they felt Richard's loss as something pretty devastating. And also at the time, you know, I was going through a lot of stuﬀ personally. My marriage of almost 10 years was falling apart and it led to a divorce, and I don’t know, I just ended up having a lot of stuﬀ I wanted to say as I went through all that. And then, you know, Richard's passing as well kind of added to things that I wanted to talk about. It was so heavy on my heart, I couldn't, I couldn’t not write about it. (Another acoustic guitar voice memo)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;The next variation of this recording is another voice memo where it starts to have a little bit more shape and form to what the song ends up being in the end. It's the next day that I was still in Oregon. (Voice memo of vocals along with acoustic guitar: “Close your eyes, run around / Say, hard times, you could ﬁnd / That it ain’t the way that you want / But it’s still alright”)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;I knew there was a lot of stuﬀ that I wanted to say about like he and I's journey together and like kind of the struggles that we shared. And so I wanted to be able to like tap into those feelings that I think we had in common together. (Voice memo of vocals along with acoustic guitar: “It ain’t alright / You keep spinning out ahead”)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;“It ain't alright. You keep spinning out ahead,” which I was like referencing Richard, like he kept spinning out. In the same way I would do sometimes, it's like you're holding it together and then you like fall back into the same bad routine or ideas of yourself or habits or whatever, you know. We talked a lot both about being sober. The second record and we did the Night Sweats was very drunk, excessively so. Like I think our ﬁrst day was like, we went to the bar and then like came back and then started tracking. There's this energy that happens when there's a lot of, you know, there’s like eight of us in a room and Richard, so you have this feeling amongst each other and you just keep like pushing, and, and that pushing us lets us be like, “Well let's keep drinking tequila straight,” you know like. It was exciting and fun at that time. But I didn't know how much it would contribute to my own personal hardship, and even Richard’s, you know. (Voice memo ends)
song_exploder_transcripts;nathaniel-rateliff;Nathaniel;I went to Richard's studio to start making this record in March of 2019, just after St. Patrick's day. He was based in Cottage Grove, Oregon, which is just South of Eugene. And you know, the spirit of Richard is still there.
song_exploder_transcripts;nathaniel-rateliff;Hrishikesh;Nathaniel met his bandmates Patrick Meese and James Barone at Richard’s studio, National Freedom.
