dataset;session;speaker;speech_turn
song_exploder_transcripts;jay-som;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Tenderness” by JAY SOM)
song_exploder_transcripts;jay-som;Thao;Melina Duterte goes by the name Jay Som. She’s a singer, songwriter, and multi-instrumentalist. She’s released three albums as Jay Som, and has produced, engineered, and mixed each one. Her third album, Anak Ko, came out in August 2019. And in this episode, Melina breaks down a song from it called “Tenderness.” (“Tenderness” by JAY SOM)
song_exploder_transcripts;jay-som;Melina;I’m Melina from Jay Som. (Music fades out)
song_exploder_transcripts;jay-som;Melina;I started writing “Tenderness” summer of 2018. I just moved to LA, and I was doing a lot of like production work for other people. This artist came over to like work with me for her whole record. And there was one day where I had to clean her entire hard drive, and I noticed that there was a folder that said “Vintage Drum Machines.” And I just like copied and pasted it onto my computer because I was like, “Well, it's right there [laughter].” She doesn't know that, but it's okay [laughter]. And I just like experimented with all of those. I started oﬀ by recording this Linn LM-1 drum machine. That's like the Prince drum sampler, and I know he used that on like all the hits. And at the time, I was listening to a lot of Steely Dan. They make a lot of songs that have like a shuﬄey beat, and I wanted to emulate that, because you don't get to hear that often, especially in like pop music too. Just like [Melina beatboxes the beat]. (Drum machine)
song_exploder_transcripts;jay-som;Melina;(Drum machine)
song_exploder_transcripts;jay-som;Melina;And I thought it'd be really cool to have this languid guitar part that strums as if it's a piano. (Guitar along with drum machine)
song_exploder_transcripts;jay-som;Melina;Just [Melina sings the guitar part] just pretty, like minor seventh chords. (Drum machine fades) (Guitar))
song_exploder_transcripts;jay-som;Melina;(Guitar ends)
song_exploder_transcripts;jay-som;Melina;The concept and like the meaning of the track came as I was writing it. Those chords are used in lots of like R&B songs. And it just felt right to like make a song about love. I was trying to like conceptualize this idea of sitting in your bed thinking about your new romantic partner that you just started dating, and you're kind of like wondering if they're thinking about you and wondering if you're like their right person. (First verse vocals along with guitar and drum machine: “Tell me / Did you fall in at ﬁrst glance? / Do you think you’ll take a chance? / Do you think on the weekend I could know?)
song_exploder_transcripts;jay-som;Melina;As I was doing the vocals, I really wanted that lo-ﬁ eﬀect. I imagine myself on my bed with like a old telephone, and you’re kind of like speaking into the telephone. I really wanted that conversational feeling as if like you're either leaving a voicemail or you're the only one that's speaking, and you really want to put your heart on the line. (Second verse vocals: “Show me / Before you haunt me on the screen / Will my aﬀection pull the strings? / Another forgotten memory”) (Guitar along with drum machine)
song_exploder_transcripts;jay-som;Melina;And that was originally supposed to be the whole song. It was going to be like a minute and 30 seconds. It was going to be like the intro of that and one chorus. (Chorus vocals along with drum machine, guitars and bass: I'm feeling like we’ve just begun / Nothing’s ever good enough / Tenderness is all I’ve got”)
song_exploder_transcripts;jay-som;Melina;But I sat with the demo for a couple months, and it just didn't sound right to me. That was the ﬁrst time for like an album-making process where I had demos. Usually when I write songs, I record them at the same time because I really like having the idea in my head and going through with it. But, this time, I started to get like a little frustrated because I was writing songs that I couldn't play, when it like goes into the part with the drum ﬁll and it comes into the rest of the song. (Pre-chorus into the chorus transition) That's just like drum samples and it started sounding too like rigid, it didn't have like a ﬂow. And that's when I decided like I need to have Zach play drums on it. That is my touring mate, Zach. We've been playing music together since middle school and high school like in jazz bands and like concert bands and indie cover bands. We just went up to his parents' house in our hometown, which is in the East Bay area. They have like this bonus room that he has his drum set in, and he usually records music in there because it’s always quiet. I just set up some mics on his drums, and he just like nailed it. He did more to it than I would if I played the drums. More taste and style and like ﬂavor. So I had the drums for “Tenderness,” and I was super happy because I was like, “Oh, I can ﬁnally have it sound the way that I want it to.” And then I went back to LA, and started doing bass. (Demo ends)
song_exploder_transcripts;jay-som;Melina;(Drums)
song_exploder_transcripts;jay-som;Melina;(Drums)
song_exploder_transcripts;jay-som;Melina;(Drums end)
song_exploder_transcripts;jay-som;Melina;(Bass)
song_exploder_transcripts;jay-som;Melina;Bass is my favorite instrument to play. I started playing the bass after I like really learned guitar. And then I realized that the bass was the most important instrument in every song. I think it just like has so much meaning in like the foundation of a song. It like really drives and like motivates the groove of it. With the bass, you can just do the roots. But I think I always like to do a little more. I like little nuggets of jazzy notes that work in the chord progression. (Bass along with with guitar) (Guitar along with bass end)
