dataset;session;speaker;speech_turn
song_exploder_transcripts;vampire-weekend;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Harmony Hall” by VAMPIRE WEEKEND)
song_exploder_transcripts;vampire-weekend;Hrishikesh;The band Vampire Weekend started in 2006, in New York. Their third album came out in 2013 and won a grammy. But six years passed before they put out their next album, Father of the Bride. This album’s also been nominated for a Grammy, for album of the year. And the lead single from it, “Harmony Hall,” was nominated for Best Rock Song. In this episode, Ezra Koenig from Vampire Weekend takes “Harmony Hall” apart. I spoke to him along with producer Ariel Rechtshaid, and the two of them detailed the winding path the song went down, over several years, before it ﬁnally took shape. (“Harmony Hall” by VAMPIRE WEEKEND)
song_exploder_transcripts;vampire-weekend;Ezra;I’m Ezra Koenig from Vampire Weekend. (Music fades out)
song_exploder_transcripts;vampire-weekend;Ezra;The very ﬁrst time there was any bit of this song was me walking down the street kind of mumbling and saying something about Harmony Hall. I found a voice memo that is the beginning of the song. And I'm outside, you can hear other voices. (Voice memo of Ezra mumbling the melody)
song_exploder_transcripts;vampire-weekend;Ezra;And I saw that was from 2011. I was actually surprised by how old that was, but, you know, time ﬂies. And so I remember thinking like, “Okay, there's a phrase, “Harmony Hall,” and there's like a vague idea.” And I deﬁnitely felt that it had potential as a song. You know maybe over the next year, try it once or twice with an eye to it being on Modern Vampires, our third album. But I just couldn’t quite crack it. You know there was a time where I tried some version of it or I played on the piano and it would be kind of like this more twee baroque sound. (Twee baroque piano)
song_exploder_transcripts;vampire-weekend;Ezra;But I never quite felt satisﬁed with it. So I probably wouldn't have really busted it out in earnest until 2015 or 2016. Those were the years when I, after doing all the promotional stuﬀ and touring behind the third album and taking time oﬀ, that's when I really started to think about making another album. And you know when you’re in that early days period, you think about “What am I interested in now? What's something to be excited about? What type of music do I want to make?” And one answer that I had was, “I want to dig deeper into the history of rock music.” There was something about like wanting to change the palette a little bit. There's this little iPhone recording of me playing piano in my apartment in New York. (Voice memo including piano and vocals)
song_exploder_transcripts;vampire-weekend;Ezra;There's something about the way that I was playing piano that started making me think about like Southern rock and Classic rock. (Voice memo including piano and vocals) (Voice memo ends)
song_exploder_transcripts;vampire-weekend;Ezra;I guess I always had these like weird feelings about rock music and what does rock music mean. I think there was something about, that I found interesting and funny about being in a moment when people were making these really sweeping statements about like, “Rock music is dead and it's like pointless, and there’s nothing interesting in it,” kind of like depressed Wall Street dude vibe of just being like, “Stocks’ in the toilet.” I started to think of it as kind of like, “Oh great, it's a bargain then!” People are like undervaluing this, or they're not understanding it, or they're missing the humor or they're missing, I don't know. So for me in some ways that was Classic rock. But I kind of felt like Vampire Weekend was very disconnected from rock music, especially when we came out, you get like corny little dudes like Alice Cooper making fun of us because we didn’t rock that hard. He had some like goofy quote where he was like “Oh I heard this name, Vampire Weekend, sounded pretty cool, checked it out.” He said something about like, we must have like low testosterone or something like that. Weird thing to say about a stranger, but for me the idea of referencing Classic rock when I felt like Vampire Weekend had been so kind of disconnected from it, that there was something funny about being like kind of what's in there. So yeah I was asking those questions and I was starting to at least come up (Staccato piano riﬀ)
song_exploder_transcripts;vampire-weekend;Ezra;(Staccato piano riﬀ ends) (Guitar riﬀ)
song_exploder_transcripts;vampire-weekend;Ezra;with an inclination or something. Because you know at ﬁrst, there's so many directions one can go in. And this is what happens is like just very slowly over time, you have a song, every time you sit down to the piano, you mess around and one day you start just going bump, bump, bump, bump, bump, bom bum-bom, you know, just another way to play the chords.
song_exploder_transcripts;vampire-weekend;Ezra;And you know I had this guitar riﬀ that I'd tried here and there, bom bubba dah, dah, dah, dah, dah. I was hanging out with Mark Ronson. He was working on this Lady Gaga album at the time, and I think I just stopped by to visit. I was talking to him and I was just kind of mindlessly playing something. It almost sounds like an exercise, you know, you're kind of going up and down. My memory is that it was like a split second decision about like, “Is this riﬀ that cool?” And I remember thinking like, “It sounds like an exercise. It's not that cool.” And then I remember like a voice in my head being like, “But you should always record right, always be recording. Like make a little memo of everything.” Musicians have to do that a lot because obviously you're already cursed with having kind of a wandering mind, but you also don't want to be a sociopath and just be like, kind of get an idea and be like standing there in the kitchen talking to somebody and being kind of like, (Guitar suddenly ends) (Guitar starts again)
song_exploder_transcripts;vampire-weekend;Ezra;“You have to excuse me. I have creative work to do.” That's like so [laughter] disrespectful and nutty. But I do ﬁnd sometimes a decent middle ground, very quickly,
song_exploder_transcripts;vampire-weekend;Ezra;don't disrupt the conversation, very quickly make a little memo, stop it immediately and then put the guitar down and say, “Okay.” (Guitar riﬀ ends)
song_exploder_transcripts;vampire-weekend;Ezra;(Piano riﬀ)
song_exploder_transcripts;vampire-weekend;Ezra;(Baroque piano) So when I ﬁnally sat down with Ariel and said, “Okay, I have this idea for a song called “Harmony Hall.” I had more to pull from. But I still wasn’t totally sure how it was all going to come together. I'm Ariel Rechtshaid. I, along with Ezra and some of our other friends, produced Father of the Bride. I showed him all these disparate parts and I didn't know how they worked together. And he very quickly came up with a structure. You know, it's almost like an old movie and the kind of pre-digital era where you see somebody like go to an accountant and they're just like, “Buddy, I'm in trouble.” And they just hand them like a banker's box, just full of like messed up, you know, napkins and stuﬀ, and the counselor, “Let me see what you got here. I can't make heads or tails of this right now, but let me arrange this and ﬁgure it out.” That’s sometimes how it feels like when I roll up to Ariel and I’m just like “I’ve got a lot of ideas,” and he’s like “Alright show me everything, let’s organise this.”
song_exploder_transcripts;vampire-weekend;Ariel;That was constantly the journey that we went down to complete a song.
