dataset;session;speaker;speech_turn
song_exploder_transcripts;the-cranberries;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“All Over Now” by THE CRANBERRIES)
song_exploder_transcripts;the-cranberries;Thao;The Cranberries formed in Limerick, Ireland in 1989. Singer Dolores O’Riordan joined a year later, and the group went on to become one of the deﬁning bands of the ‘90s, eventually selling over 40 million records worldwide. In January 2018, while the band was working on their eighth album, Dolores O’Riordan passed away unexpectedly. Later that year, remaining members Noel Hogan, Mike Hogan, and Fergal Lawler announced that they would end the band, and that this would be their ﬁnal album. It’s called In The End. It was released in April 2019, and in this episode, guitarist and songwriter Noel Hogan breaks down a song from the album called “All Over Now.” You’ll hear how Hogan and O’Riordan ﬁrst started the song, and how the remaining members worked to ﬁnish it without her. Also, after the full song plays, we’ve got more with Noel for another installment of our segment, This is Instrumental. So stick around for that. Here’s The Cranberries on Song Exploder. (“All Over Now” by THE CRANBERRIES)
song_exploder_transcripts;the-cranberries;Noel;I'm Noel Hogan from The Cranberries. Guitarist and co-songwriter with Dolores O’Riordan. (Music fades out)
song_exploder_transcripts;the-cranberries;Noel;We've always written separately from day one. Very ﬁrst day I met Dolores, gave her a cassette that had “Linger” on it. (“Linger” by THE CRANBERRIES) (“Linger” by THE CRANBERRIES)
song_exploder_transcripts;the-cranberries;Noel;And she took it away, and came back a week later with the version that everybody knows.
song_exploder_transcripts;the-cranberries;Noel;And really from that point on, that's how we wrote. It was cassettes for years and years, even when we lived in diﬀerent countries. I would courier cassettes over to her and she'd work on them. And it was a kind of a mutual respect in that way, writing-wise that you kind of knew what the other one was thinking without having to say it. (Music fades out)
song_exploder_transcripts;the-cranberries;Noel;So “All Over Now” came about is actually a conversation Dolores and I had. It was about the third last gig we ever did and we were just chatting outside of the stage. And Dolores had mentioned to me a couple of nights earlier, she'd seen The Cure live in concert. And she said to me that they play for so long. And half the time, it's like these musical interludes, and some of the intros would be like 20 minutes long sometimes even. She kind of liked that idea, and she was kind of half joking but half serious. She said to me, would it be possible for me to look at that and come up with a song that had this kind of long intro. So when we did the song live, she would get a break for a while from singing, and rest her voice. So then the tour ended and we went on our separate ways, but a few weeks later, Dolores and I began the writing process for this album. I went to France on my own to write. That was the plan, was I was going to spend three weeks alone down in the South of France. And I had that conversation we had with The Cure stuck in my head. And as much as a Cure fan that I was, I'd never really tried to write a song that would sound like them. The Cure song that stuck out the most at the time was “Pictures of You.”
song_exploder_transcripts;the-cranberries;Noel;And I had kind of forgotten about how great that song was, especially that intro. (“Pictures of You” by THE CURE) (“Pictures of You” by THE CURE)
song_exploder_transcripts;the-cranberries;Noel;Now “All Over Now” and “Pictures of You” are completely diﬀerent songs, but as in structure-wise, that was kind of what I was thinking at the time. So I kind of leaned very much in towards that idea.
song_exploder_transcripts;the-cranberries;Noel;It was like really, really late at night and I came up with this chord sequence. (Music fades out) (Demo guitar chords) (Demo guitar chords) (Demo guitar line) (Demo guitar line ends) (Demo beat) (Demo layered guitars)
