dataset;session;speaker;speech_turn
song_exploder_transcripts;sleater-kinney;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“The Future Is Here” by SLEATER-KINNEY)
song_exploder_transcripts;sleater-kinney;Thao;Sleater-Kinney was formed in 1994 by singer and guitarist Corin Tucker and singer and guitarist Carrie Brownstein. Drummer Janet Weiss was a member of the band from 1997 until 2019. In Time Magazine in 2001, author and critic Greil Marcus named Sleater-Kinney “America’s Best Band.” Over the years, they’ve made nine albums, including this year’s The Center Won’t Hold, which was produced by Annie Clark of St. Vincent. In this episode, Corin Tucker and Carrie Brownstein break down how the song “The Future Is Here” was made. It began with a visit to the LA music venue, Zebulon. (“The Future Is Here” by SLEATER-KINNEY) (Music fades out)
song_exploder_transcripts;sleater-kinney;Corin;This is Corin Tucker from Sleater-Kinney.
song_exploder_transcripts;sleater-kinney;Carrie;And this is Carrie Brownstein, also from Sleater-Kinney.
song_exploder_transcripts;sleater-kinney;Carrie;So Corin was visiting me in L.A. and I said there’s this really great performance art/comedy night that I go to once a month at Zebulon. It's called Weirdo Night, and we saw a performer named Joseph Keckler there, who is basically an opera singer.
song_exploder_transcripts;sleater-kinney;Corin;There was a whole performance art aspect to his performance as well. (“Strangers from the Internet” by JOSEPH KECKLER) (Music ends)
song_exploder_transcripts;sleater-kinney;Carrie;Yeah, it was beautiful and funny and
song_exploder_transcripts;sleater-kinney;Corin;Sad?
song_exploder_transcripts;sleater-kinney;Carrie;Yeah, a little heartbreaking. Anyway, I feel like you wrote this song after that.
song_exploder_transcripts;sleater-kinney;Corin;I did. It’s really energizing to leave a night of performance, especially something that isn’t necessarily right in your wheelhouse, and think, “Oh I want to go home and write music after this.” Yeah so I saw his performance and I was ﬂoored by his vocals, and we kept talking about like, “Oh, he's got such a gorgeous voice. What if we worked with him or someone like that? What if we had like a male voice on the album? You know what would it be like for me to write with like a male voice and a female voice? What if it's a duet?” And I just did it on a whim of like I got inspired by Weirdo Night and, you know, threw this thing down on my computer. (Beat along with bass) This was our ﬁrst record that we had written this way, demoed in GarageBand. You know, it was really the ﬁrst time where I had demoed a full song. I mean mostly, Carrie and I would work on things together and come up with guitar lines together, so this was a really diﬀerent process for me. So I was kind of fumbling my way through it.
song_exploder_transcripts;sleater-kinney;Corin;(Bass)
song_exploder_transcripts;sleater-kinney;Corin;That bass is just one of the like very basic Apple bass sounds that you can do. And I literally am there on my like computer-typewriter keyboard. (Bass ends)
song_exploder_transcripts;sleater-kinney;Carrie;That is crazy to me.
song_exploder_transcripts;sleater-kinney;Corin;[Laughter]
song_exploder_transcripts;sleater-kinney;Carrie;I don't think I knew that. I'm going to buy you a keyboard.
song_exploder_transcripts;sleater-kinney;Corin;I know [laughter]. That's just all I had and I was like brand new to like writing on the computer.
song_exploder_transcripts;sleater-kinney;Carrie;I like the novice quality to me, I feel like we’ve played guitar for so many years, and sometimes that rudimentary relationship to an instrument is actually the most inspired one. And I think that’s why we didn’t, we wrote very few songs on guitar. We also needed to kind of have more of a proof of concept, you know, when you’re sending things back and forth, you’re not in the same room as your bandmates to say, “Well this is my idea,” and you just start talking about it. You’re really actually sending it to ostensibly an audience. They’re your bandmates when they’re in the room, but when they’re just listening at home, they’re an audience and you have to kind of prove something to them. So I think we went further in the demo versions than we usually did.
song_exploder_transcripts;sleater-kinney;Corin;Yeah, I really loved it because I wrote the verse in a lower register than I've sang on a Sleater-Kinney record. (Demo vocals along with beat and bass: “I start my day on a tiny screen / Try to connect the words, they’re right in front of me”)
song_exploder_transcripts;sleater-kinney;Corin;And I think I sent it to Carrie and she was like, “Yeah, I like it.” Yeah. I don't hear Corin singing very low. You know, she doesn't use that register. And you know, as someone who appreciates the high caterwauls, scrawling version of Corin's voice, we've called that the “tool” before [laughter] in our band, it's a very powerful singing voice. But you know when you've been working with someone for so long and you hear something that sounds diﬀerent, I think your ear is drawn to that, and I was really enthused by it. And also, I don't know, it was kind of sexy but disaﬀected [laughter]. (Demo vocals along with beat and bass: “I read the news, I can’t make sense of it / And I don’t recognize what is my place in it”) And I was like, “Okay, well, should we get a hold of Joseph Keckler and ask him to sing it?” I think Annie was like, “No, I want you to sing it.” The producer on this album is Annie Clark, who also goes by St. Vincent. She is a very accomplished singer-songwriter-guitarist Grammy winning actually, and a friend of ours. And this is the ﬁrst album that she has produced so we feel lucky. It was actually Janet's idea to work with Annie. She's someone I've known for a long time, we've all known her. But also has a history with this band, was a fan, coming in to ﬁgure out a new way of putting things together with the same parts.
