dataset;session;speaker;speech_turn
song_exploder_transcripts;mumford-and-sons;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Beloved” by MUMFORD & SONS)
song_exploder_transcripts;mumford-and-sons;Thao;Mumford & Sons are a Grammy-winning band that formed in London in 2007. They’ve put out four albums, and sold millions of copies. Their last three albums have all debuted at number one on the Billboard charts. The most recent of those albums is Delta, which came out in November 2018. The band is made up of Marcus Mumford, Ben Lovett, Winston Marshall, and Ted Dwane, and in this episode, Marcus and Ben break down a song from Delta called “Beloved.” You’ll hear how the song went from Marcus’ original raw voice memo to the intricate ﬁnished track. (“Beloved” by MUMFORD & SONS) (Music fades out)
song_exploder_transcripts;mumford-and-sons;Ben;I'm Ben Lovett, and I principally play the keys in Mumford & Sons.
song_exploder_transcripts;mumford-and-sons;Marcus;My name is Marcus, I also play in Mumford & Sons. I sing and primarily, I'm a drummer, but I also try and fake it on the guitar.
song_exploder_transcripts;mumford-and-sons;Ben;The way that we have done things historically with the band is, songs can come from any four of us. And “Beloved” was one of Marcus’.
song_exploder_transcripts;mumford-and-sons;Marcus;I started it in October 2017, down at my studio in Devon, which is in the countryside in England. And I'd just bought a Hammond C3 organ. And I love new instruments, because most of the time, if you’ve bought a new instrument, you tend to write a song on it straight away. And that happened with this organ. I turned the organ up as loud as it could go, and I just started playing on it. (Voice memo organ)
song_exploder_transcripts;mumford-and-sons;Marcus;Generally, I try and capture what I'm messing around with on a voice memo. I was on my own, and I opened the doors. It was quite a sunny day, and you just see ﬁelds, you just see grass. It’s quite an emotive sound for me, it’s a sound I grew up hearing. And couple weeks before, I was hanging out with my grandma who was dying. And so I was kind of thinking about that a lot, and started writing that initial chorus idea. (Voice memo vocals along with organ: “And as you leave / Remember we are with you / And as you leave / See my children playing at your feet”) (Voice memo organ)
song_exploder_transcripts;mumford-and-sons;Marcus;I didn't complete it lyrically until she died. But that’s where the song came from.
song_exploder_transcripts;mumford-and-sons;Marcus;That form was just organ, banjo, and acoustic guitar. I was just capturing an idea, and playing these chords. (Voice memo organ fades out)
song_exploder_transcripts;mumford-and-sons;Marcus;Then next day, I did the ﬁrst demo of it. (First demo including organ, banjo and acoustic guitar) (First demo including organ, banjo and acoustic guitar)
song_exploder_transcripts;mumford-and-sons;Marcus;And then I took it into the lads. (First demo acoustic guitar) Marcus sent it over on email. And I remember thinking that it felt important and it was moving, you know, just those really simple things. It's funny, we've sent each other so many demos over the years, and sometimes we send each other stuﬀ that just doesn't sound important. And it can sound good without sounding important. Those are diﬀerent things, but this song had a weight to it.
song_exploder_transcripts;mumford-and-sons;Ben;(First demo acoustic guitar) (First demo acoustic guitar ends)
song_exploder_transcripts;mumford-and-sons;Marcus;When it came in, it was kind of two-step rhythm, which has become the starting place for a lot of the songs I write. And there was a song in it that we all recognized that was worth pursuing, but sonically it wasn't very interesting. And a lot of this, we kind of have to tip our hats to what a process it was working with Paul Epworth, because in hindsight, the direction that it went in, Paul heard immediately. Paul Epworth is a producer who’s won an Oscar and multiple Grammys for his work with Adele. He’s also worked with Paul McCartney, U2, and Lorde. And in 2012, he won the Grammy for Producer of the Year.
song_exploder_transcripts;mumford-and-sons;Marcus;We had a session with Paul in December. It was like out of the gate, and he couldn't even quite articulate it. He was there just running around the studio. And basically, what he managed to communicate was on the basis of talking about this Reich-esque rolling piano type thing, like “Six Pianos” by Steve Reich. (“Six Pianos” by STEVE REICH) “Six Pianos” is a piece from 1973 by composer Steve Reich, who’s one of the pioneers of American minimal music. It's a real touch point, bizarre touchpoint, for Mumford & Sons, but it was there. And that's what he heard when he heard the demo. It’s that kind of mantra stuﬀ that never lands, it's always moving onto the next bit.
song_exploder_transcripts;mumford-and-sons;Ben;That kind of triggered some thoughts and we just started messing around with some stuﬀ.
song_exploder_transcripts;mumford-and-sons;Ben;(Music fades) (Piano 1) (Piano 2 joins)
song_exploder_transcripts;mumford-and-sons;Ben;It was about layering this kind of intertwining rhythm.
song_exploder_transcripts;mumford-and-sons;Ben;It’s three pianos on top of each other. And they all stay doing what they do throughout the whole song. So the dynamic’s created by these like single parts that are built and then taken away again. (Piano 3 joins)
song_exploder_transcripts;mumford-and-sons;Ben;(Piano 2 ends) (All pianos fade out)
song_exploder_transcripts;mumford-and-sons;Marcus;(Banjo 1) (Banjo 2 joins)
