dataset;session;speaker;speech_turn
song_exploder_transcripts;the-1975;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“The Birthday Party” by The 1975)
song_exploder_transcripts;the-1975;Hrishikesh;This episode contains explicit language. The 1975 are a band from Manchester, England, made up of Matty Healy, Adam Hann, Ross MacDonald, and George Daniel. They started playing music together in 2002, when they were teenagers. Since then, they’ve released four albums, won three Brit awards, and gotten two Grammy nominations. Their most recent album, Notes on a Conditional Form, came out in May 2020. In this episode, Matty and George break down how they made the song “The Birthday Party.” (“The Birthday Party” by The 1975)
song_exploder_transcripts;the-1975;Matthew;My name’s Matthew Healy.
song_exploder_transcripts;the-1975;George;My name’s George Daniel. I guess I'm the primary producer and he is the primary songwriter. (Music fades out)
song_exploder_transcripts;the-1975;Matthew;We've been together since we were children, so we just try and support each other. The song started in LA, I spent a lot of my 20s in LA.
song_exploder_transcripts;the-1975;George;Normally either I'll start something on my laptop or Matthew will come to me with an idea and want to record it. But this actually for “The Birthday Party,” we were all playing in a room together.
song_exploder_transcripts;the-1975;Matthew;That was the ﬁrst time in years that we'd sat down to like work out the arrangement of a song because we don't do that when we're writing songs normally.
song_exploder_transcripts;the-1975;George;It was a product of something Matty wanted to try. (Acoustic guitar)
song_exploder_transcripts;the-1975;George;The very ﬁrst thing I heard was him playing the guitar and sitting on the sofa.
song_exploder_transcripts;the-1975;Matthew;I like simplicity of form and conceptual ideas built on top of that. It was an acoustic guitar but I had the idea that I wanted to play a C shape, and have the bassline just move around that. (Bass joins acoustic guitar)
song_exploder_transcripts;the-1975;Matthew;And then I got the guys in the room to see what it felt like. (Acoustic guitar along with bass fade out)
song_exploder_transcripts;the-1975;Matthew;I’m pretty sure I have a recording on my phone of us kind of ﬁguring that out. (Voice memo of the band jamming to the groove on guitar, bass, and drums)
song_exploder_transcripts;the-1975;Matthew;Ross was kind of just playing that repetitive bassline.
song_exploder_transcripts;the-1975;Matthew;And I played the drums, I remember it needed to be really light. Like we were using brushes, we just realized that the harder you played that beat, it just got more and more void of emotion. And that kind of became a little bit of a blueprint for the way we were going to approach most of the sounds, it was like to keep them kind of soft. I wanted this record to be quite simple or quite pure in its expression. I knew that the song was just going to be the same thing looping around again and again and again. It didn't feel like a big statement, you know, like a big reaching statement. And it felt like quite humble and it kind of set a pace at the way that I wanted to talk, and then I wrote to that. (Voice memo ends) (Acoustic guitar)
song_exploder_transcripts;the-1975;Matthew;The ﬁrst thing that you come up with is normally the best. The stuﬀ that I want to leave out is probably the stuﬀ that I should put in. So if something comes out and then I want to edit it to preserve my own ego, I try not to do that.
song_exploder_transcripts;the-1975;Matthew;I was going through a tough time. I was deﬁnitely reevaluating myself and my behaviors and stuﬀ like that, and I'd kind of lost a few things. I relapsed for like the ﬁrst time after coming out of rehab around about that time, and my relationship was kind of slowly coming to an end. And everything felt like it was drawing to an end in a kind of natural way, and I think that like you put it into a song and stuﬀ, and it becomes romantic and exciting but all those things are just like boring and sad in reality if you know what I mean. You know I try and make art out of the boring, sad parts of my life because it's better than them being boring and sad. (First verse vocals along with acoustic guitar: “Hello / There's a place / I've been going / There's a place I've been going / Now I'm clean / It would seem / Let's go somewhere I'll be seen / As sad as it seems)
song_exploder_transcripts;the-1975;Matthew;The song was kind of me at a party, like a house party. It was very conversational, almost like about a series of conversations that I was telling you that I was literally having. (First verse vocals along with acoustic guitar: “I seen Greg and he was like / “I seen your friends at the birthday party / They were kinda fucked up before it even started / They were”)
