dataset;session;speaker;speech_turn
song_exploder_transcripts;the-mountain-goats;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Cadaver Sniﬃng Dog” by THE MOUNTAIN GOATS)
song_exploder_transcripts;the-mountain-goats;Thao;John Darnielle has been writing and recording songs as The Mountain Goats since 1991. He’s released 17 studio albums, and also written two books of ﬁction. In April 2019, the Mountain Goats released the album In League with Dragons, and in this episode, John Darnielle breaks down a song from it, called “Cadaver Sniﬃng Dog.” We’ll hear his original demo, and then, hear how the song evolved at Blackbird Studios in Nashville, with the help of John’s band, some incredible session musicians, and producer Owen Pallett. Also, stick around after the song to hear more from John in our new segment, Instrumental. (“Cadaver Sniﬃng Dog” by THE MOUNTAIN GOATS)
song_exploder_transcripts;the-mountain-goats;John;My name is John Darnielle. I am the singer from The Mountain Goats. (Music fades out)
song_exploder_transcripts;the-mountain-goats;John;I keep little notebooks. They're not that much bigger than a credit card. And I've been carrying those around for over 10 years. The notebook has grocery lists, and it has notes I take if I'm watching a movie. But there's one page that just has song titles. I just write them when I get an idea. And “Cadaver Sniﬃng Dog” had been around for a while. I think it probably came at an airport. I'm in airports rather a lot and they have drug-sniﬀer dogs, and you're not allowed to pet them, and it sucks [laughter] because you want to give the dog a little pet, let them know it's doing a good job [laughter]. They have to wear little yellow jackets that say like, “Drug sniﬃng dog” or something like that. And I had crime stuﬀ in my brain, you know. So I had the title, and I'm reasonably certain that it was Christmas Day. And I just started riﬃng with the guitar. (Demo guitar)
song_exploder_transcripts;the-mountain-goats;John;The way that I write, usually, is I’ll be playing a riﬀ and I will just sort of ad-lib a line and go from there. And if this song is going to have that title, I was like, you know, crime scene will be the obvious place. (Demo vocals along with guitar: “Hustle up the spiral stair / See if anyone’s left up there”)
song_exploder_transcripts;the-mountain-goats;John;So I had the riﬀ, I had the couplet. And then I put down the guitar. (Demo ends)
song_exploder_transcripts;the-mountain-goats;John;And I sit there with my pen and notebook asking myself what happens next that makes narrative sense. So I asked myself whose voice is this? Who’s speaking? And I said, “Well it's a crime scene investigator of some kind, or, you know, a detective. Detective, it's a detective, right?” What's he describing? Then I write a couplet in the same metre. (Demo vocals along with guitar: “Teams on the scene from several stations / Everybody adjust your expectations”)
song_exploder_transcripts;the-mountain-goats;John;And I went back and forth like that between the notebook and the guitar asking myself questions that allow the rhyme to further explicate the line just before it. (Demo vocals along with guitar: “Stray clumps of hair and blood and brain / Fragments of bone in the drain”)
song_exploder_transcripts;the-mountain-goats;John;"The speaker is looking at a scene of utter devastation. He's inviting the investigation to continue and insisting there must be dead bodies in here. That's how bad things are; there can be no question that if there's anyone in here, they're dead. And I am interested in what it’s like to be that speaker, what it feels like to inhabit that speaker's skin for three minutes. It’s a theatrical experience, essentially. (Demo vocals along with guitar: “Rookies trying to keep the airway clear / But the damage is too severe”)"
song_exploder_transcripts;the-mountain-goats;John;Sometimes the chorus takes a long time. But I knew I like the phrase too much not to absolutely put it to work in the chorus. (Demo vocals along with guitar: “Bring in the cadaver sniﬃng dog”)
song_exploder_transcripts;the-mountain-goats;John;What a great thing to say [laughter]! Like I wanted to sing it a bunch of times. (Demo vocals along with guitar: “Bring in the cadaver sniﬃng dog”)
song_exploder_transcripts;the-mountain-goats;John;And I had the idea for the vocal harmony also. (Demo harmonized vocals along with guitar: “Bring in the cadaver sniﬃng dog”)
song_exploder_transcripts;the-mountain-goats;John;And I really enjoy getting elaborate with the backing vocals in Garageband. (Demo harmonized vocals along with guitar: “Bring in the cadaver sniﬃng dog”)
song_exploder_transcripts;the-mountain-goats;John;And I remember it was nearing dinner time, and both kids are swarming me. But I kind of liked the way that the tempo and the pace in the song reﬂects that I'm trying to get the idea ﬁnished as quickly as I can. (Demo ends)
