dataset;session;speaker;speech_turn
song_exploder_transcripts;semisonic;Hrishikesh;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Hrishikesh Hirway. (“Closing Time” by SEMISONIC)
song_exploder_transcripts;semisonic;Hrishikesh;There are some songs that you’ve heard over and over and over again throughout your life. “Closing Time” by Semisonic is one of those songs for me and I think for a lot of people. And I always ﬁgured I knew what the song was about, closing time at a bar. But it turns out there’s more to the story, and in this episode, Dan Wilson, the singer and songwriter of the band, Semisonic, tells the whole story. “Closing Time” came out in March 1998. It hit #1 on the Alternative charts, and was nominated for a Grammy for Best Rock Song. It gets played in stadiums, Weird AI covered it, and it’s the last song of the night in countless bars. In the year since the song came out, Dan has gone on to become a powerhouse songwriter who has written or co-written for artists like John Legend and Taylor Swift. And he’s won Grammys for his songwriting with the Dixie Chicks and Adele. But over two decades ago, Dan and his bandmates John Munson and Jacob Slichter were in Minneapolis, getting ready to start work on their second album, Feeling Strangely Fine. (“Closing Time” by SEMISONIC)
song_exploder_transcripts;semisonic;Dan;I’m Dan Wilson. (Music fades out)
song_exploder_transcripts;semisonic;Dan;I ﬁrst started writing “Closing Time” in a big batch of songs in late '96 or early ‘97. Semisonic had gotten oﬀ tour after a long stretch and John and Jacob and I were thinking about what to do for our next record and I speciﬁcally remember among their requests to me in this batch of music was a new song to end our shows with. Before Feeling Strangely Fine, I would write a song when I felt like it. But I was trying to write a song every day and eventually we had about 60 songs that I had written and a lot of them were not great. But I think I wrote “Closing Time” in the middle of that giant batch of songs. It was in John's basement that I ﬁrst played “Closing Time” for John and Jacob. And the ﬁrst demo is me down in that basement playing it for them. (Acoustic guitar)
song_exploder_transcripts;semisonic;Dan;Almost all of Semisonic's songs I wrote on a Guild F-30, a little acoustic guitar. And I thought of the title “Closing Time” literally because of the request from John and Jacob for a new closer for our sets. (Demo ﬁrst verse vocals along with acoustic guitar: “Closing time / Open all the doors and let you out into the world / Closing time / Turn all of the lights on over every boy and every girl”) Semisonic started in '92, and John and I had been in our previous band for eight years before that and had toured most of that time. So I lived in bars, you know, a lot of my time. I heard people yelling at us to get out a thousand times or probably more, and I immediately thought of this thing that one of the bartenders at the 400 Bar, where we would always hang out, would always yell, “You don't have to go home, but you can't stay here.” (Demo ﬁrst verse vocals along with acoustic guitar: “Closing time / You don’t have to go home, but you can’t stay here”)
song_exploder_transcripts;semisonic;Dan;I've always loved those very metaphorical poets like Elizabeth Bishop, where, you know, you're like, “Is this entire poem about an old decrepit gas station?” Well you know she's got something, like there’s an idea, you know, with those poets. Like it’s, they're writing you a poem about the time their dad dangled them down the laundry shoot in their house, you know, like that's not just about that, that's about a lot of other things. So at that time I had this theory that every line in my songs had to be about two things, and I didn't mind if people would only understand the one, but to me it always had to be about two things. At that time I thought that was my way of pushing myself to be more like Elizabeth Bishop. When I wrote “Closing Time,” I was on the couch in the living room of my wife, Diane, in my house. At that time we were expecting a baby, we had found out several months before. And so “Closing Time” deﬁnitely took on a kind of, for me, a double meaning of being born. This kind of funny double meaning about being bounced from the womb and bounced from the bar. I was about halfway done and I realized “Oh it's got this other meaning,” and I was very delighted by that because then I could think of lines, and they all didn't have to get generated by the workaday image of bar time and looking for someone to hook up with. It could be generated by other more mysterious images.
song_exploder_transcripts;semisonic;Dan;(Demo second verse vocals along with acoustic guitar: “Closing time / This room won’t be open ‘til your brothers or your sisters come”) It's funny because, you know, to be removed or kicked out of the uterus and, you know, enter a world of bright light, it's like going out under the streetlamps after being in a bar. Like you're in this wonderful like dreamland and then you get like kicked out and now you have to ﬁgure out what to do with your life. In utero you’re drinking the purest nourishment from your mother and you don't want it to end. I think you know like, I don't know, maybe babies are excited to be born, but I don't think so, you know. So I was just laughing to myself at the parallels. I just thought there was something sweet and beautiful about that. (Demo chorus vocals along with acoustic guitar: “I know who I want to take me home / I know who I want to take me home / Take me home”) Semisonic had a friend named John Kuker. He had golden ears for what sounded right in a guitar or a compressor or a keyboard, anything, he was a genius. And then John told us that he was gonna start a studio and he called it Seedy Underbelly and he built it in downtown Minneapolis, but the studio is not quite ﬁnished at this point, so we're working in the storefront next door, getting the songs together and waiting for John Kuker to ﬁnish the studio, and let us start recording the record. (Storefront demo) (Piano joins in demo) So this recording, this demo is us in that storefront rehearsal space with an upright piano that we were using to like show each other ideas. And that's where John Munson thought of that piano part of “Closing Time.” The producer of “Closing Time” is Nick Launay. We sent him the storefront recordings. And they were way more formative than we expected them to be because they became Nick's vision of what the songs were supposed to sound like, but actually they were literally just the way we played them on that day. Like if we had recorded “Closing Time” the day before, it wouldn't have had the same piano part. If we had recorded “Closing Time” the day before that, it would have no piano at all. You know, it was all basically like wherever it was, we just froze it and sent it to Nick. (Storefront demo: “Closing time / This room won’t be open ‘til your brothers and your sisters come / Closing time” slowly fades out)
song_exploder_transcripts;semisonic;Dan;(Strings)
song_exploder_transcripts;semisonic;Dan;Then a month after the storefront demos, Nick came to Minneapolis and we started recording in early April. And then our daughter Coco was born many, many weeks early and very tiny. She arrived after six months and she stayed in the hospital for a year, after she was born. We were very afraid for her survival the whole time. Nick and I had a heart to heart on the phone, a long conversation about what to do and my daughter's doctors, I discussed with them what to do and they said, “You need to just keep doing your job because if this goes well, it's still going to be a long process and you can't live at the hospital. You need to do your life.” So then I had a conversation with John and Jacob from the band and I told them, I was, we're gonna do this music, but I would not be present for a bunch of it, “I'm gonna do everything I can to like, I'll do all the singing and I'll play, you know, all the guitars I think of and we'll do all the takes of the songs, but then I'm gonna spend as much time as I can at the hospital with Coco.” So my life was very diﬃcult at that time, but the recording wasn't that diﬃcult and we didn't ﬁght really. Nick Launay had a hard job, but he was an easy person to work with. One of the things we really liked about Nick was that the recordings he had made were all really heavy. There was just something about the way he recorded things that gave everything this gravitas and heft. And it relates a little bit to John Kuker, whose studio we worked in. He would say, “Oh, I don't like that guitar because it doesn't sound mungy enough,” and I would never know what he meant by that word mungy, but getting to know him more, it was like everything had to be dark. And so all the amps were like really loud, but they weren't shrill and bright, they were dark and kind of dead sounding. (Electric guitar)
song_exploder_transcripts;semisonic;Dan;(More guitars join) And then Nick's secret was, I think, to have me play the parts a lot of times so it was all a little bit out of tune, and then just add them all together in this huge low mid range kind of mass. (Guitar solo)
