dataset;session;speaker;speech_turn
song_exploder_transcripts;sheryl-crow;Thao;You’re listening to Song Exploder, where musicians take apart their songs and piece by piece tell the story of how they were made. My name is Thao Nguyen. (“Redemption Day” by SHERYL CROW ft. JOHNNY CASH)
song_exploder_transcripts;sheryl-crow;Thao;Sheryl Crow is a singer-songwriter from Missouri. She’s released ten studio albums, sold over 50 million records, and has won nine Grammys. In April 2019, Sheryl Crow released a new version of her song “Redemption Day,” which was ﬁrst released on her self-titled album in 1996. This new version features vocals from Johnny Cash, who recorded a cover of the song that was released posthumously in 2010. And in this episode, Sheryl Crow breaks down how it all came together. (“Redemption Day” by SHERYL CROW ft. JOHNNY CASH)
song_exploder_transcripts;sheryl-crow;Thao;The story starts in 1995.
song_exploder_transcripts;sheryl-crow;Sheryl;Hi, I’m Sheryl Crow. (Music fades out)
song_exploder_transcripts;sheryl-crow;Sheryl;So “Redemption Day” was really inspired by having made a trip to Bosnia. And having performed for the troops over there and really just having been witness to what war can do to not only communities but the countryside and to the psyche of a country. (News reporting of Sheryl Crow’s live performance for the troops in Bosnia)
song_exploder_transcripts;sheryl-crow;Sheryl;I was really struck by not only what I'd seen but also by what I was seeing on TV, which was mostly coverage of what was going on in Rwanda simultaneously. And yet the questions that kept going through my mind were, “Why are we in this area and not in Rwanda trying to protect the people from the genocide that was happening? Why we would be using our human resources as well as our ﬁnancial resources in one area of the world and not in another.” A lot of times, those decisions are not made on human rights, but out of greed and out of wanting to continue a stronghold in a certain part of the world where we can have more control over oil and over decisions made that aﬀect our economy. And it felt careless and personal and egregious to me, and it still does. But I didn't sit down and write the lyric, in fact, I didn’t even have an idea for a song about that trip until I got home. And I sat down on my couch and was really wanting to write a song about this breakup that I'd had before I went to Bosnia, and instead what wound up coming out was a song that was not at all about a breakup. I opened up my computer and started typing, and what came out were seven stanzas, top to bottom basically, just in a complete thought, and it was really in the tradition of a Bob Dylan kind of lyric. When I read a Bob Dylan lyric, there's a very distinct cadence and that oftentimes dictates what you're going to sing. And that was really the case in “Redemption Day.” What followed that was a melody and a guitar groove that just fell in with the cadence of that lyric. (Vocals along with guitar and train beat: “I’ve wept for those who suﬀer long / But how I weep for those who’ve gone”)
song_exploder_transcripts;sheryl-crow;Sheryl;There's an old tradition of talking blues that oftentimes would apply what they used to call a train beat. (Train beat)
song_exploder_transcripts;sheryl-crow;Sheryl;And that was sort of the visual backdrop for the song, just the lonesome cry of a train beat. (Vocals along with guitar and train beat: “Into rooms of grief and questioned wrong / But keep on killing)
song_exploder_transcripts;sheryl-crow;Sheryl;It was very inspired by the feeling of lonesomeness and of standing there with these questions about why we make the decisions we do and how will it aﬀect our children, our children's children. And then, at the end of the day, we all get on the same train and we all go to the same place which is obviously death. But that being said, it still is a song of hope. (Vocals along with guitars, bass, and beat: “There is a train that’s headed straight / To Heaven’s gate, to Heaven’s gate / And on the way, child and man / And woman wait, watch and wait / For redemption day”) (Guitars along with train beat)
song_exploder_transcripts;sheryl-crow;Sheryl;It was a very quick song to record. We basically went in, in an afternoon, and it was done by the evening. And I put it out in 1996. I've had throughout my career a lot of songs I've written that have been very politically oriented. But generally the singles are the ones that are more accessible to commercial radio, not necessarily the political songs or the songs that have social meaning. I've been very lucky to have sold a lot of records that had the songs I cared about in the track listing. So I know a fair amount of people heard the songs that meant the most to me even though the singles were what got the most play at radio. (Guitars along with train beat end)
song_exploder_transcripts;sheryl-crow;Thao;One of the people who heard “Redemption Day” was Johnny Cash.
